"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"ANA202007280","fletd002",6,"troum001",8,"renda001",5,"uptoj001",7,"ohtas001",10,"pujoa001",3,"lastt001",4,"stasm001",2,"wardt002",9
"ANA202007290","fletd002",6,"troum001",8,"renda001",5,"ohtas001",10,"uptoj001",7,"lastt001",4,"walsj001",3,"castj006",2,"goodb001",9
"ANA202007300","fletd002",6,"goodb001",8,"renda001",5,"uptoj001",7,"ohtas001",10,"pujoa001",3,"wardt002",9,"stasm001",2,"rengl001",4
"ANA202007310","fletd002",6,"goodb001",9,"renda001",5,"ohtas001",10,"uptoj001",7,"lastt001",3,"rengl001",4,"castj006",2,"hermm001",8
"ANA202008010","fletd002",6,"goodb001",8,"renda001",5,"uptoj001",7,"pujoa001",10,"rengl001",4,"castj006",2,"wardt002",9,"thaim001",3
"ANA202008020","fletd002",6,"rengl001",4,"renda001",5,"uptoj001",7,"goodb001",8,"pujoa001",10,"wardt002",9,"stasm001",2,"thaim001",3
"ANA202008100","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"uptoj001",7,"stasm001",2,"adelj001",9
"ANA202008110","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"castj006",2,"uptoj001",7,"goodb001",9
"ANA202008120","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"castj006",2,"adelj001",9,"goodb001",7
"ANA202008140","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"uptoj001",7,"stasm001",2,"adelj001",9
"ANA202008150","fletd002",6,"lastt001",3,"troum001",8,"renda001",5,"ohtas001",10,"wardt002",7,"goodb001",9,"stasm001",2,"rengl001",4
"ANA202008160","fletd002",6,"lastt001",3,"troum001",8,"renda001",5,"ohtas001",10,"goodb001",7,"adelj001",9,"stasm001",2,"rengl001",4
"ANA202008170","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"pujoa001",3,"adelj001",9,"uptoj001",10,"stasm001",2,"goodb001",7
"ANA202008180","fletd002",6,"lastt001",3,"troum001",8,"renda001",5,"ohtas001",10,"goodb001",7,"adelj001",9,"bemba001",2,"rengl001",4
"ANA202008280","fletd002",4,"ohtas001",10,"troum001",8,"renda001",5,"pujoa001",3,"uptoj001",7,"adelj001",9,"castj006",2,"simma001",6
"ANA202008290","fletd002",4,"ohtas001",10,"troum001",8,"renda001",5,"pujoa001",3,"uptoj001",7,"adelj001",9,"bemba001",2,"simma001",6
"ANA202008300","fletd002",4,"ohtas001",10,"troum001",8,"renda001",5,"goodb001",7,"pujoa001",3,"adelj001",9,"bemba001",2,"simma001",6
"ANA202008310","simma001",6,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"adelj001",9,"walsj001",3,"rengl001",4,"bemba001",2
"ANA202009020","ohtas001",10,"troum001",8,"renda001",5,"uptoj001",7,"pujoa001",3,"simma001",6,"adelj001",9,"bemba001",2,"rengl001",4
"ANA202009030","simma001",6,"troum001",8,"renda001",5,"uptoj001",7,"ohtas001",10,"barrf001",4,"walsj001",3,"adelj001",9,"bemba001",2
"ANA202009040","simma001",6,"troum001",8,"renda001",5,"ohtas001",10,"wardt002",9,"walsj001",3,"barrf001",7,"rengl001",4,"bricj001",2
"ANA202009051","simma001",6,"walsj001",3,"troum001",8,"ohtas001",10,"uptoj001",7,"barrf001",5,"adelj001",9,"bemba001",2,"rengl001",4
"ANA202009060","simma001",6,"uptoj001",7,"renda001",5,"pujoa001",10,"adelj001",8,"stasm001",2,"walsj001",3,"wardt002",9,"barrf001",4
"ANA202009150","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"stasm001",2,"wardt002",9,"simma001",6
"ANA202009160","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"stasm001",2,"adelj001",9,"simma001",6
"ANA202009170","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"wardt002",9,"bemba001",2,"simma001",6
"ANA202009180","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"stasm001",2,"wardt002",9,"simma001",6
"ANA202009190","fletd002",4,"walsj001",9,"troum001",8,"renda001",5,"pujoa001",3,"ohtas001",10,"wardt002",7,"stasm001",2,"simma001",6
"ANA202009200","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"ohtas001",10,"uptoj001",7,"wardt002",9,"bemba001",2,"simma001",6
"ANA202009210","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"ohtas001",10,"uptoj001",7,"wardt002",9,"stasm001",2,"simma001",6
