"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"ANA202007280","longs001",4,"white005",3,"lewik001",8,"seagk001",5,"lopet001",10,"crawj002",6,"moord002",7,"smitm007",9,"odomj001",2
"ANA202007290","crawj002",6,"white005",3,"lewik001",8,"seagk001",5,"lopet001",9,"marmj001",10,"moord002",7,"gordd002",4,"odomj001",2
"ANA202007300","crawj002",6,"lopet001",7,"lewik001",8,"seagk001",5,"marmj001",3,"longs001",4,"voged001",10,"smitm007",9,"hudsj002",2
"ANA202007310","sprig001",8,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"reddj001",9,"tuckk001",7,"maldm001",2
"ANA202008010","sprig001",8,"altuj001",4,"brega001",5,"tuckk001",7,"gurry001",3,"corrc001",6,"reddj001",9,"toroa001",10,"maldm001",2
"ANA202008020","sprig001",8,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"reddj001",9,"tuckk001",7,"mayfj001",6,"garnd001",2
"ANA202008100","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"pindc001",4,"murps001",2
"ANA202008110","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",9,"grosr001",7,"davik003",10,"kempt001",4,"allea001",2
"ANA202008120","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"murps001",2
"ANA202008140","bettm001",9,"seagc001",6,"turnj001",5,"polla001",7,"bellc002",8,"taylc001",10,"herne001",4,"riose001",3,"barna001",2
"ANA202008150","bettm001",9,"seagc001",6,"turnj001",10,"polla001",8,"bellc002",3,"taylc001",7,"muncm001",5,"herne001",4,"barna001",2
"ANA202008160","bettm001",9,"seagc001",10,"muncm001",4,"bellc002",8,"taylc001",6,"pedej001",7,"riose001",5,"beatm001",3,"ruizk001",2
"ANA202008170","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"sandp001",10,"crawb001",6,"dubom001",8,"tromc001",2
"ANA202008180","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"sandp001",10,"crawb001",6,"heint001",2,"duggs001",8
"ANA202008280","crawj002",6,"haggs001",10,"lewik001",8,"seagk001",5,"nolaa002",2,"marmj001",3,"lopet001",7,"longs001",4,"bishb001",9
"ANA202008290","crawj002",6,"haggs001",7,"lewik001",8,"seagk001",5,"nolaa002",2,"marmj001",3,"lopet001",10,"longs001",4,"fralj001",9
"ANA202008300","crawj002",6,"haggs001",5,"lewik001",8,"seagk001",10,"marmj001",7,"white005",3,"fralj001",9,"gordd002",4,"odomj001",2
"ANA202008310","crawj002",6,"haggs001",7,"lewik001",8,"seagk001",5,"marmj001",10,"white005",3,"waltd002",4,"fralj001",9,"odomj001",2
"ANA202009020","grist001",8,"tatif002",6,"machm001",5,"hosme001",3,"morem001",10,"cronj001",4,"profj001",7,"castj006",2,"alleg002",9
"ANA202009030","profj001",7,"tatif002",6,"machm001",5,"hosme001",3,"nolaa002",2,"myerw001",9,"morem001",10,"cronj001",4,"matej003",8
"ANA202009040","sprig001",8,"reddj001",9,"branm003",10,"gurry001",3,"tuckk001",7,"corrc001",6,"toroa001",5,"diaza003",4,"maldm001",2
"ANA202009051","sprig001",10,"stram002",8,"branm003",7,"gurry001",3,"tuckk001",9,"corrc001",6,"maldm001",2,"toroa001",5,"mayfj001",4
"ANA202009060","sprig001",8,"reddj001",9,"branm003",10,"tuckk001",7,"corrc001",6,"diaza003",4,"toroa001",3,"maldm001",2,"mayfj001",5
"ANA202009150","rojaj001",4,"smitp002",10,"walkc002",3,"calhk001",9,"escoe001",5,"perad001",7,"ahmen001",6,"varsd001",8,"kellc002",2
"ANA202009160","rojaj001",10,"vanmj001",4,"walkc002",3,"calhk001",9,"escoe001",5,"perad001",7,"ahmen001",6,"vogts001",2,"varsd001",8
"ANA202009170","varsd001",8,"vanmj001",4,"walkc002",10,"calhk001",9,"escoe001",5,"perad001",7,"ahmen001",6,"smitp002",3,"kellc002",2
"ANA202009180","tavel001",8,"solan001",4,"kinei001",5,"gallj002",9,"guzmr001",3,"tejea001",6,"calhw001",10,"huffs001",2,"white006",7
"ANA202009190","tavel001",8,"solan001",7,"kinei001",5,"odorr001",4,"aposs001",3,"calhw001",10,"tejea001",6,"white006",9,"mathj001",2
"ANA202009200","tavel001",8,"calhw001",7,"kinei001",5,"gallj002",9,"odorr001",4,"tejea001",6,"dietd001",10,"guzmr001",3,"huffs001",2
"ANA202009210","tavel001",8,"calhw001",10,"kinei001",5,"gallj002",9,"solan001",7,"odorr001",4,"tejea001",6,"dietd001",3,"mathj001",2
