"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"ARI202007300","martk001",4,"calhk001",9,"marts002",8,"escoe001",5,"walkc002",3,"perad001",7,"kellc002",2,"lambj001",10,"ahmen001",6
"ARI202007310","martk001",6,"calhk001",9,"marts002",8,"escoe001",5,"walkc002",10,"perad001",7,"vogts001",2,"lambj001",3,"vargi001",4
"ARI202008010","martk001",4,"vargi001",3,"marts002",8,"escoe001",5,"walkc002",10,"perad001",7,"kellc002",2,"ahmen001",6,"locat001",9
"ARI202008020","martk001",4,"marts002",8,"walkc002",3,"escoe001",10,"calhk001",9,"kellc002",2,"perad001",7,"vargi001",5,"ahmen001",6
"ARI202008040","martk001",4,"calhk001",9,"marts002",8,"walkc002",3,"escoe001",5,"perad001",10,"kellc002",2,"varsd001",7,"ahmen001",6
"ARI202008050","martk001",4,"calhk001",9,"marts002",8,"walkc002",3,"escoe001",5,"perad001",7,"vogts001",2,"jay-j001",10,"ahmen001",6
"ARI202008060","martk001",4,"calhk001",9,"marts002",8,"walkc002",3,"escoe001",5,"perad001",7,"kellc002",2,"youna003",10,"ahmen001",6
"ARI202008140","calhk001",9,"martk001",4,"marts002",8,"perad001",10,"walkc002",3,"vogts001",2,"youna003",5,"varsd001",7,"ahmen001",6
"ARI202008150","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"kellc002",2,"varsd001",10,"ahmen001",6
"ARI202008160","calhk001",10,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"vogts001",2,"ahmen001",6,"jay-j001",9
"ARI202008170","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"kellc002",2,"cronk001",10,"ahmen001",6
"ARI202008180","calhk001",9,"vogts001",2,"marts002",8,"perad001",10,"walkc002",3,"escoe001",4,"ahmen001",6,"lambj001",5,"varsd001",7
"ARI202008240","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"ahmen001",6,"vogts001",2,"varsd001",10
"ARI202008250","calhk001",10,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"ahmen001",6,"jay-j001",9,"kellc002",2
"ARI202008260","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",10,"escoe001",5,"ahmen001",6,"vogts001",2,"lambj001",3
"ARI202008280","locat001",9,"martk001",4,"marts002",8,"walkc002",3,"perad001",7,"escoe001",5,"ahmen001",6,"youna003",10,"kellc002",2
"ARI202008290","calhk001",9,"martk001",4,"marts002",8,"perad001",10,"walkc002",3,"escoe001",5,"ahmen001",6,"vogts001",2,"jay-j001",7
"ARI202008300","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"ahmen001",6,"lambj001",10,"varsd001",2
"ARI202009080","rojaj001",6,"martk001",4,"walkc002",3,"calhk001",9,"escoe001",5,"perad001",7,"vogts001",10,"varsd001",2,"locat001",8
"ARI202009090","locat001",8,"ahmen001",6,"walkc002",3,"escoe001",10,"rojaj001",4,"mathw001",5,"varsd001",7,"kellc002",2,"jay-j001",9
"ARI202009100","rojaj001",10,"vanmj001",4,"walkc002",3,"calhk001",9,"escoe001",5,"perad001",7,"ahmen001",6,"varsd001",8,"kellc002",2
"ARI202009110","locat001",8,"rojaj001",7,"walkc002",3,"escoe001",4,"calhk001",9,"ahmen001",6,"mathw001",5,"vogts001",2,"kellc002",10
"ARI202009120","locat001",8,"ahmen001",6,"walkc002",3,"escoe001",10,"perad001",7,"mathw001",5,"vanmj001",4,"kellc002",2,"smitp002",9
"ARI202009130","rojaj001",4,"vanmj001",5,"walkc002",10,"calhk001",9,"perad001",7,"jay-j001",8,"ahmen001",6,"varsd001",2,"smitp002",3
"ARI202009220","varsd001",8,"martk001",4,"walkc002",10,"calhk001",9,"escoe001",5,"perad001",7,"ahmen001",6,"smitp002",3,"kellc002",2
"ARI202009230","locat001",7,"martk001",10,"walkc002",3,"escoe001",4,"calhk001",9,"ahmen001",6,"kellc002",2,"varsd001",8,"mathw001",5
"ARI202009251","varsd001",8,"martk001",4,"walkc002",3,"calhk001",9,"escoe001",5,"perad001",10,"ahmen001",6,"smitp002",7,"kellc002",2
"ARI202009252","locat001",8,"vanmj001",4,"walkc002",10,"perad001",7,"smitp002",3,"ahmen001",6,"vogts001",2,"mathw001",5,"jay-j001",9
"ARI202009260","varsd001",2,"martk001",6,"walkc002",3,"calhk001",10,"escoe001",5,"perad001",7,"smitp002",9,"vanmj001",4,"jay-j001",8
"ARI202009270","locat001",7,"martk001",4,"walkc002",3,"calhk001",9,"escoe001",10,"ahmen001",6,"varsd001",8,"mathw001",5,"kellc002",2
