"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"ARI202007300","bettm001",9,"muncm001",3,"turnj001",5,"bellc002",8,"polla001",7,"taylc001",6,"seagc001",10,"herne001",4,"smitw003",2
"ARI202007310","muncm001",10,"bettm001",9,"bellc002",8,"turnj001",5,"seagc001",6,"taylc001",4,"pedej001",7,"riose001",3,"barna001",2
"ARI202008010","muncm001",4,"bettm001",9,"seagc001",6,"turnj001",10,"pedej001",7,"polla001",8,"riose001",5,"smitw003",2,"beatm001",3
"ARI202008020","bettm001",9,"muncm001",3,"turnj001",5,"bellc002",8,"taylc001",6,"polla001",7,"pedej001",10,"herne001",4,"barna001",2
"ARI202008040","sprig001",8,"altuj001",4,"brega001",5,"gurry001",3,"corrc001",6,"reddj001",9,"toroa001",10,"tuckk001",7,"maldm001",2
"ARI202008050","sprig001",9,"altuj001",4,"brega001",5,"gurry001",3,"corrc001",6,"toroa001",10,"tuckk001",7,"stram002",8,"maldm001",2
"ARI202008060","sprig001",8,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"reddj001",9,"tuckk001",7,"maldm001",2
"ARI202008140","tatif002",6,"grist001",8,"machm001",5,"phamt001",10,"hosme001",3,"myerw001",9,"cronj001",4,"mejif001",2,"profj001",7
"ARI202008150","phamt001",7,"machm001",5,"tatif002",10,"hosme001",3,"myerw001",9,"profj001",4,"cronj001",6,"mejif001",2,"grist001",8
"ARI202008160","grist001",8,"machm001",5,"tatif002",6,"hosme001",3,"phamt001",10,"cronj001",4,"olive001",9,"hedga001",2,"matej003",7
"ARI202008170","semim001",6,"kempt001",4,"chapm001",5,"olsom001",3,"canhm001",8,"grosr001",7,"piscs001",9,"machv001",10,"allea001",2
"ARI202008180","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"murps001",2
"ARI202008240","tapir001",7,"stort001",6,"arenn001",5,"murpd006",3,"mcmar001",4,"kempm001",10,"hills005",9,"hampg001",8,"woltt001",2
"ARI202008250","tapir001",7,"stort001",6,"arenn001",5,"blacc001",9,"kempm001",10,"fuenj001",3,"rodgb002",4,"hampg001",8,"buted001",2
"ARI202008260","hampg001",8,"stort001",6,"arenn001",5,"blacc001",9,"fuenj001",3,"diaze005",10,"rodgb002",4,"hills005",7,"buted001",2
"ARI202008280","yastm001",8,"dicka001",7,"longe001",5,"beltb001",3,"florw001",10,"solad001",4,"crawb001",6,"bartj003",2,"rickj001",9
"ARI202008290","yastm001",9,"dicka001",7,"longe001",5,"beltb001",3,"florw001",4,"sandp001",10,"crawb001",6,"bartj003",2,"dubom001",8
"ARI202008300","yastm001",9,"dicka001",7,"longe001",5,"beltb001",3,"solad001",4,"sandp001",10,"crawb001",6,"dubom001",8,"tromc001",2
"ARI202009080","bettm001",9,"seagc001",6,"polla001",10,"bellc002",8,"muncm001",3,"taylc001",7,"lux-g001",4,"riose001",5,"barna001",2
"ARI202009090","bettm001",9,"seagc001",6,"taylc001",10,"bellc002",3,"muncm001",5,"polla001",8,"smitw003",2,"lux-g001",4,"herne001",7
"ARI202009100","bettm001",4,"seagc001",6,"polla001",7,"muncm001",5,"taylc001",8,"bellc002",3,"herne001",9,"smitw003",10,"barna001",2
"ARI202009110","moord002",7,"frant002",4,"lewik001",8,"seagk001",5,"white005",3,"torrl001",2,"marmj001",10,"ervip001",9,"gordd002",6
"ARI202009120","moord002",4,"frant002",10,"lewik001",8,"seagk001",5,"marmj001",7,"white005",3,"torrl001",2,"waltd002",6,"ervip001",9
"ARI202009130","moord002",8,"frant002",10,"seagk001",5,"marmj001",7,"white005",3,"ervip001",9,"gordd002",4,"waltd002",6,"odomj001",2
"ARI202009220","tavel001",8,"solan001",10,"kinei001",5,"gallj002",9,"odorr001",4,"tejea001",6,"huffs001",2,"aposs001",3,"white006",7
"ARI202009230","tavel001",8,"solan001",4,"kinei001",5,"gallj002",9,"huffs001",2,"calhw001",10,"tejea001",6,"aposs001",3,"white006",7
"ARI202009251","tapir001",7,"pillk001",8,"stort001",6,"blacc001",9,"fuenj001",3,"mcmar001",5,"kempm001",10,"diaze005",2,"hampg001",4
"ARI202009252","tapir001",7,"pillk001",8,"stort001",6,"blacc001",10,"fuenj001",3,"mcmar001",5,"hills005",9,"hampg001",4,"woltt001",2
"ARI202009260","tapir001",7,"pillk001",9,"blacc001",10,"stort001",6,"fuenj001",5,"murpd006",3,"diaze005",2,"mcmar001",4,"hampg001",8
"ARI202009270","tapir001",7,"fuenj001",3,"blacc001",9,"stort001",6,"diaze005",10,"mcmar001",5,"hampg001",4,"hills005",8,"woltt001",2
