"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"ATL202007290","acunr001",9,"albio001",4,"freef001",3,"ozunm001",7,"adamm002",10,"darnt001",2,"swand001",6,"rilea001",5,"incie001",8
"ATL202007300","acunr001",8,"albio001",4,"freef001",3,"ozunm001",10,"duvaa001",9,"swand001",6,"camaj001",5,"rilea001",7,"flowt001",2
"ATL202007310","acunr001",9,"swand001",6,"freef001",3,"ozunm001",7,"adamm002",10,"darnt001",2,"rilea001",5,"hecha001",4,"incie001",8
"ATL202008010","acunr001",9,"albio001",4,"freef001",10,"ozunm001",7,"adamm002",3,"swand001",6,"camaj001",5,"incie001",8,"flowt001",2
"ATL202008020","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"camaj001",5,"duvaa001",9,"rilea001",7,"hecha001",4
"ATL202008030","acunr001",9,"albio001",4,"freef001",3,"ozunm001",7,"adamm002",10,"darnt001",2,"swand001",6,"camaj001",5,"incie001",8
"ATL202008040","acunr001",9,"swand001",6,"freef001",3,"ozunm001",7,"adamm002",10,"rilea001",5,"albio001",4,"flowt001",2,"incie001",8
"ATL202008050","acunr001",9,"swand001",6,"ozunm001",10,"darnt001",2,"duvaa001",7,"rilea001",3,"camaj001",5,"culbc001",4,"incie001",8
"ATL202008060","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"markn001",9,"duvaa001",7,"camaj001",5,"flowt001",2,"hecha001",4
"ATL202008170","swand001",6,"freef001",3,"darnt001",2,"ozunm001",10,"markn001",9,"duvaa001",7,"camaj001",4,"rilea001",5,"incie001",8
"ATL202008180","swand001",6,"freef001",3,"darnt001",2,"ozunm001",9,"adamm002",10,"duvaa001",7,"camaj001",4,"rilea001",5,"incie001",8
"ATL202008210","swand001",6,"freef001",3,"darnt001",2,"ozunm001",10,"duvaa001",9,"rilea001",5,"camaj001",4,"incie001",8,"pachc001",7
"ATL202008220","swand001",6,"freef001",3,"ozunm001",7,"duvaa001",9,"adamm002",10,"rilea001",5,"camaj001",4,"flowt001",2,"incie001",8
"ATL202008230","swand001",6,"freef001",3,"darnt001",2,"ozunm001",7,"adamm002",10,"duvaa001",9,"rilea001",5,"camaj001",4,"incie001",8
"ATL202008261","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"markn001",9,"duvaa001",7,"rilea001",5,"flowt001",2,"camaj001",4
"ATL202008262","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"duvaa001",7,"rilea001",5,"camaj001",4
"ATL202009041","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"markn001",9,"rilea001",5,"duvaa001",7,"flowt001",2,"hecha001",4
"ATL202009042","acunr001",8,"swand001",6,"freef001",3,"ozunm001",7,"darnt001",2,"markn001",10,"rilea001",5,"duvaa001",9,"camaj001",4
"ATL202009050","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"rilea001",5,"duvaa001",7,"camaj001",4
"ATL202009060","acunr001",8,"swand001",6,"freef001",3,"ozunm001",7,"darnt001",10,"rilea001",5,"duvaa001",9,"flowt001",2,"hecha001",4
"ATL202009070","acunr001",9,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",7,"rilea001",5,"hecha001",4,"incie001",8
"ATL202009080","acunr001",9,"swand001",6,"freef001",3,"ozunm001",10,"rilea001",5,"duvaa001",7,"flowt001",2,"hecha001",4,"incie001",8
"ATL202009090","acunr001",9,"freef001",3,"ozunm001",10,"darnt001",2,"swand001",6,"rilea001",5,"duvaa001",7,"albio001",4,"incie001",8
"ATL202009210","acunr001",8,"freef001",3,"ozunm001",7,"darnt001",10,"duvaa001",9,"albio001",4,"rilea001",5,"flowt001",2,"swand001",6
"ATL202009220","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"duvaa001",7,"albio001",4,"markn001",9,"rilea001",5,"swand001",6
"ATL202009230","acunr001",9,"freef001",3,"ozunm001",10,"albio001",4,"markn001",7,"swand001",6,"hecha001",5,"flowt001",2,"incie001",8
"ATL202009240","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"albio001",4,"duvaa001",7,"swand001",6,"markn001",9,"hecha001",5
"ATL202009250","acunr001",8,"albio001",4,"ozunm001",10,"duvaa001",7,"swand001",6,"rilea001",3,"markn001",9,"flowt001",2,"hecha001",5
"ATL202009260","acunr001",9,"freef001",3,"ozunm001",10,"darnt001",2,"albio001",4,"duvaa001",7,"swand001",6,"hecha001",5,"incie001",8
"ATL202009270","albio001",4,"freef001",3,"ozunm001",10,"sandp001",5,"duvaa001",7,"markn001",9,"swand001",6,"flowt001",2,"incie001",8
