"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"ATL202007290","loweb001",4,"wendj002",5,"diazy001",3,"tsuty001",10,"margm001",7,"kierk001",8,"renfh001",9,"adamw002",6,"zunim001",2
"ATL202007300","diazy001",5,"martj008",10,"loweb001",7,"renfh001",9,"adamw002",6,"brosm001",3,"wendj002",4,"margm001",8,"zunim001",2
"ATL202007310","rosaa003",6,"nimmb001",8,"alonp001",3,"davij006",7,"confm001",9,"cespy001",10,"canor001",4,"ramow001",2,"gimea001",5
"ATL202008010","nimmb001",8,"mcnej002",5,"alonp001",3,"confm001",9,"canor001",4,"cespy001",10,"smitd008",7,"ramow001",2,"rosaa003",6
"ATL202008020","nimmb001",8,"mcnej002",5,"alonp001",3,"confm001",9,"canor001",4,"davij006",10,"smitd008",7,"rosaa003",6,"nidot001",2
"ATL202008030","nimmb001",8,"confm001",9,"alonp001",3,"canor001",4,"davij006",10,"smitd008",7,"ramow001",2,"gimea001",5,"rosaa003",6
"ATL202008040","bichb001",6,"biggc002",4,"hernt002",9,"gurrl001",10,"guerv002",3,"gricr001",8,"jansd001",2,"drurb001",5,"alfoa002",7
"ATL202008050","bichb001",6,"biggc002",4,"hernt002",9,"gurrl001",7,"guerv002",3,"gricr001",10,"jansd001",2,"drurb001",5,"alfoa002",8
"ATL202008060","bichb001",6,"biggc002",9,"gurrl001",7,"tellr001",3,"guerv002",10,"gricr001",8,"shawt001",5,"panij002",4,"mcgur002",2
"ATL202008170","turnt001",6,"eatoa002",9,"sotoj001",7,"cabra002",10,"suzuk001",2,"garcl006",4,"kiebc001",5,"thame001",3,"roblv001",8
"ATL202008180","turnt001",6,"eatoa002",9,"sotoj001",7,"cabra002",5,"suzuk001",10,"garcl006",4,"gomey001",2,"thame001",3,"roblv001",8
"ATL202008210","mccua001",7,"hoskr001",3,"realj001",2,"seguj002",4,"gossp001",10,"gregd001",6,"bohma001",5,"quinr003",9,"kings001",8
"ATL202008220","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"gossp001",7,"seguj002",5,"gregd001",6,"kings001",4,"quinr003",8
"ATL202008230","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",10,"gregd001",6,"seguj002",4,"bohma001",5,"knapa001",2,"hasea001",8
"ATL202008261","taucm001",9,"voitl001",3,"hicka001",8,"fordm002",10,"urshg001",5,"sancg002",2,"gardb001",7,"estrt001",4,"wadet002",6
"ATL202008262","hicka001",8,"judga001",9,"voitl001",3,"urshg001",5,"frazc001",7,"andum001",10,"krate001",2,"estrt001",4,"wadet002",6
"ATL202009041","roblv001",8,"turnt001",6,"kendh001",10,"cabra002",3,"gomey001",2,"harrj002",7,"taylm002",9,"garcl006",4,"difow001",5
"ATL202009042","roblv001",8,"turnt001",6,"cabra002",10,"suzuk001",2,"thame001",3,"harrj002",7,"garcl006",4,"taylm002",9,"holtb002",5
"ATL202009050","roblv001",8,"turnt001",6,"kendh001",10,"cabra002",3,"suzuk001",2,"kiebc001",5,"holtb002",7,"taylm002",9,"garcl006",4
"ATL202009060","roblv001",8,"eatoa002",9,"turnt001",6,"cabra002",10,"holtb002",7,"gomey001",2,"thame001",3,"kiebc001",5,"garcl006",4
"ATL202009070","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"coopg002",10,"bertj001",5,"chisj001",4,"rojam002",6,"alfaj002",2
"ATL202009080","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"chisj001",4,"rojam002",6,"alfaj002",2
"ATL202009090","rojam002",6,"marts002",8,"aguij001",10,"andeb006",5,"coopg002",3,"brinl001",7,"harrm003",9,"alfaj002",2,"chisj001",4
"ATL202009210","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"rojam002",6,"bertj001",4,"alfaj002",2
"ATL202009220","dickc002",7,"marts002",8,"coopg002",3,"joycm001",9,"andeb006",5,"aguij001",10,"rojam002",6,"bertj001",4,"alfaj002",2
"ATL202009230","rojam002",6,"marts002",8,"aguij001",3,"andeb006",5,"coopg002",10,"brinl001",9,"dickc002",7,"bertj001",4,"alfaj002",2
"ATL202009240","dickc002",7,"marts002",8,"aguij001",10,"andeb006",5,"coopg002",3,"joycm001",9,"rojam002",6,"wallc001",2,"bertj001",4
"ATL202009250","verda001",9,"arroc001",6,"martj006",10,"bradj001",8,"plawk001",2,"dalbb001",5,"lin-t001",7,"chavm001",3,"arauj001",4
"ATL202009260","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"bradj001",8,"dalbb001",3,"chavm001",7,"arroc001",4
"ATL202009270","bradj001",8,"dever001",5,"bogax001",6,"martj006",10,"plawk001",2,"dalbb001",3,"chavm001",7,"lin-t001",9,"arauj001",4
