"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"BOS202007240","benia002",7,"martj006",10,"dever001",5,"bogax001",6,"pillk001",9,"vazqc001",2,"chavm001",3,"bradj001",8,"peraj003",4
"BOS202007250","benia002",7,"martj006",10,"dever001",5,"morem001",3,"peraj003",4,"verda001",9,"bradj001",8,"plawk001",2,"lin-t001",6
"BOS202007260","peraj003",4,"martj006",10,"dever001",5,"bogax001",6,"pillk001",9,"vazqc001",2,"verda001",7,"chavm001",3,"bradj001",8
"BOS202007270","benia002",7,"martj006",10,"dever001",5,"bogax001",6,"morem001",3,"vazqc001",2,"verda001",9,"bradj001",8,"peraj003",4
"BOS202007280","peraj003",4,"martj006",10,"dever001",5,"bogax001",6,"pillk001",9,"chavm001",3,"bradj001",8,"plawk001",2,"benia002",7
"BOS202008070","benia002",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"verda001",9,"bradj001",8,"peraj003",4
"BOS202008080","verda001",9,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"benia002",7,"bradj001",8,"peraj003",4
"BOS202008090","verda001",9,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"benia002",7,"bradj001",8,"lin-t001",4
"BOS202008100","pillk001",9,"verda001",7,"martj006",10,"bogax001",6,"chavm001",3,"plawk001",2,"peraj003",4,"bradj001",8,"arauj001",5
"BOS202008110","benia002",7,"verda001",9,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"chavm001",4,"bradj001",8,"arauj001",5
"BOS202008120","pillk001",9,"dever001",5,"martj006",10,"bogax001",6,"vazqc001",2,"chavm001",3,"verda001",7,"bradj001",8,"peraj003",4
"BOS202008130","verda001",7,"dever001",5,"martj006",10,"morem001",3,"pillk001",9,"plawk001",2,"arauj001",4,"bradj001",8,"peraj003",6
"BOS202008180","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"pillk001",9,"chavm001",4,"lin-t001",8,"plawk001",2
"BOS202008190","verda001",7,"pillk001",9,"dever001",5,"bogax001",10,"morem001",3,"vazqc001",2,"bradj001",8,"lin-t001",6,"peraj003",4
"BOS202008280","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"peraj003",4
"BOS202008290","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"chavm001",4
"BOS202008300","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"pillk001",9,"plawk001",2,"bradj001",8,"dalbb001",3,"peraj003",4
"BOS202008310","verda001",9,"vazqc001",2,"dever001",5,"bogax001",6,"chavm001",3,"dalbb001",10,"bradj001",8,"arauj001",4,"peraj003",7
"BOS202009010","verda001",9,"vazqc001",2,"dever001",5,"bogax001",6,"chavm001",3,"bradj001",8,"munoy001",10,"lin-t001",7,"arauj001",4
"BOS202009020","verda001",9,"dever001",5,"bogax001",6,"martj006",7,"plawk001",2,"chavm001",10,"bradj001",8,"dalbb001",3,"peraj003",4
"BOS202009030","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"bradj001",8,"chavm001",4,"dalbb001",3,"munoy001",7
"BOS202009041","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"plawk001",2,"bradj001",8,"munoy001",7,"chavm001",3,"peraj003",4
"BOS202009050","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"munoy001",7,"bradj001",8,"chavm001",4,"dalbb001",3
"BOS202009060","munoy001",9,"vazqc001",10,"bogax001",6,"martj006",7,"plawk001",2,"chavm001",3,"bradj001",8,"dalbb001",5,"peraj003",4
"BOS202009180","verda001",9,"dever001",5,"bogax001",6,"martj006",7,"vazqc001",2,"plawk001",10,"bradj001",8,"chavm001",3,"arroc001",4
"BOS202009190","arroc001",4,"dever001",5,"bogax001",6,"martj006",10,"plawk001",2,"bradj001",8,"dalbb001",3,"chavm001",7,"puelc001",9
"BOS202009200","vazqc001",2,"dever001",5,"martj006",10,"dalbb001",3,"bradj001",8,"chavm001",7,"puelc001",9,"lin-t001",4,"arauj001",6
"BOS202009220","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"bradj001",8,"dalbb001",3,"chavm001",7,"arauj001",4
"BOS202009230","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"bradj001",8,"plawk001",2,"dalbb001",3,"chavm001",7,"arroc001",4
"BOS202009240","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"bradj001",8,"dalbb001",3,"chavm001",7,"arroc001",4
