"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"BOS202007240","haysa001",8,"santa003",9,"iglej001",6,"nuner001",10,"davic003",3,"albeh001",4,"ruizr002",5,"sevep001",2,"stewd002",7
"BOS202007250","haysa001",8,"albeh001",4,"iglej001",6,"santa003",7,"nuner001",10,"sevep001",2,"davic003",3,"valap001",5,"mullc002",9
"BOS202007260","haysa001",8,"santa003",9,"iglej001",6,"ruizr002",5,"albeh001",4,"davic003",3,"nuner001",10,"siscc001",2,"stewd002",7
"BOS202007270","rosaa003",6,"alonp001",3,"mcnej002",5,"davij006",7,"confm001",9,"ramow001",2,"canor001",4,"smitd008",10,"nimmb001",8
"BOS202007280","rosaa003",6,"alonp001",3,"mcnej002",5,"davij006",7,"confm001",9,"cespy001",10,"canor001",4,"ramow001",2,"nimmb001",8
"BOS202008070","biggc002",4,"bichb001",6,"gurrl001",7,"tellr001",10,"guerv002",3,"gricr001",8,"shawt001",5,"hernt002",9,"jansd001",2
"BOS202008080","biggc002",4,"bichb001",6,"shawt001",5,"hernt002",9,"gurrl001",7,"guerv002",10,"gricr001",8,"tellr001",3,"jansd001",2
"BOS202008090","biggc002",4,"bichb001",6,"shawt001",5,"hernt002",9,"gurrl001",7,"guerv002",3,"gricr001",8,"tellr001",10,"mcgur002",2
"BOS202008100","meada001",7,"loweb001",4,"diazy001",10,"choij001",3,"wendj002",6,"tsuty001",5,"margm001",9,"kierk001",8,"perem005",2
"BOS202008110","brosm001",4,"diazy001",5,"meada001",7,"martj008",10,"renfh001",9,"choij001",3,"adamw002",6,"margm001",8,"zunim001",2
"BOS202008120","meada001",10,"loweb001",9,"diazy001",5,"choij001",3,"wendj002",4,"tsuty001",7,"adamw002",6,"kierk001",8,"perem005",2
"BOS202008130","brosm001",5,"martj008",3,"diazy001",10,"renfh001",9,"loweb001",4,"adamw002",6,"margm001",8,"tsuty001",7,"zunim001",2
"BOS202008180","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"bohma001",5,"brucj001",10,"kings001",4,"quinr003",8
"BOS202008190","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"gossp001",4,"gregd001",6,"bohma001",5,"kings001",8,"garlk001",7
"BOS202008280","turnt001",6,"sotoj001",10,"kendh001",3,"cabra002",5,"suzuk001",2,"eatoa002",9,"harrj002",4,"taylm002",7,"roblv001",8
"BOS202008290","turnt001",6,"sotoj001",7,"kendh001",10,"cabra002",5,"eatoa002",9,"suzuk001",2,"garcl006",4,"thame001",3,"roblv001",8
"BOS202008300","turnt001",6,"sotoj001",7,"cabra002",10,"thame001",3,"gomey001",2,"eatoa002",9,"harrj002",5,"garcl006",4,"roblv001",8
"BOS202008310","swand001",6,"freef001",3,"ozunm001",10,"markn001",7,"rilea001",5,"duvaa001",9,"camaj001",4,"flowt001",2,"incie001",8
"BOS202009010","swand001",6,"freef001",3,"ozunm001",10,"markn001",7,"darnt001",2,"rilea001",5,"duvaa001",9,"camaj001",4,"incie001",8
"BOS202009020","swand001",6,"freef001",3,"ozunm001",10,"markn001",7,"darnt001",2,"rilea001",5,"duvaa001",9,"camaj001",4,"incie001",8
"BOS202009030","biggc002",9,"gricr001",8,"hernt002",10,"guerv002",3,"gurrl001",7,"villj001",4,"panij002",5,"jansd001",2,"espis001",6
"BOS202009041","biggc002",4,"gricr001",8,"tellr001",3,"hernt002",9,"guerv002",10,"gurrl001",7,"shawt001",5,"panij002",6,"jansd001",2
"BOS202009050","villj001",6,"gricr001",8,"tellr001",10,"hernt002",9,"shawt001",5,"guerv002",3,"panij002",4,"jansd001",2,"fishd001",7
"BOS202009060","biggc002",8,"villj001",6,"guerv002",3,"tellr001",10,"shawt001",5,"gurrl001",7,"panij002",4,"josec002",2,"fishd001",9
"BOS202009180","lemad001",4,"judga001",9,"stanm004",10,"voitl001",3,"torrg001",6,"hicka001",8,"urshg001",5,"sancg002",2,"frazc001",7
"BOS202009190","lemad001",4,"judga001",10,"gardb001",8,"voitl001",3,"urshg001",5,"frazc001",7,"taucm001",9,"higak001",2,"wadet002",6
"BOS202009200","lemad001",5,"voitl001",3,"hicka001",8,"stanm004",10,"torrg001",6,"gardb001",7,"frazc001",9,"sancg002",2,"wadet002",4
"BOS202009220","mullc002",8,"haysa001",9,"mounr001",3,"nuner001",10,"stewd002",7,"sevep001",2,"albeh001",4,"ruizr002",5,"uriar001",6
"BOS202009230","mullc002",8,"stewd002",7,"mounr001",3,"nuner001",10,"siscc001",2,"haysa001",9,"ruizr002",5,"valap001",4,"uriar001",6
"BOS202009240","albeh001",4,"iglej001",10,"mounr001",7,"sevep001",2,"haysa001",9,"valap001",3,"ruizr002",5,"uriar001",6,"mullc002",8
