"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"CHA202007240","andet001",6,"moncy001",5,"abrej003",3,"grany001",2,"encae001",10,"jimee001",7,"robel002",8,"delmn001",9,"garcl004",4
"CHA202007250","andet001",6,"moncy001",5,"abrej003",3,"encae001",10,"jimee001",7,"delmn001",9,"robel002",8,"mccaj001",2,"garcl004",4
"CHA202007260","andet001",6,"delmn001",9,"abrej003",3,"grany001",2,"encae001",10,"jimee001",7,"robel002",8,"mendd002",5,"garcl004",4
"CHA202008050","robel002",8,"moncy001",5,"abrej003",3,"grany001",10,"jimee001",7,"mazan001",9,"mccaj001",2,"garcl004",6,"mendd002",4
"CHA202008060","robel002",8,"moncy001",5,"abrej003",3,"grany001",2,"jimee001",7,"mazan001",9,"garcl004",6,"collz001",10,"mendd002",4
"CHA202008070","robel002",8,"moncy001",5,"abrej003",3,"jimee001",7,"mccaj001",2,"garcl004",6,"mendd002",4,"collz001",10,"engea001",9
"CHA202008080","moncy001",5,"jimee001",10,"abrej003",3,"grany001",2,"mazan001",9,"robel002",8,"garcl004",6,"mendd002",4,"engea001",7
"CHA202008090","garcl004",6,"moncy001",5,"grany001",3,"abrej003",10,"jimee001",7,"mazan001",9,"robel002",8,"mccaj001",2,"mendd002",4
"CHA202008151","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"encae001",10,"jimee001",7,"robel002",8,"mazan001",9,"mendd002",4
"CHA202008152","andet001",6,"moncy001",5,"grany001",10,"abrej003",3,"jimee001",7,"mccaj001",2,"robel002",8,"mazan001",9,"mendd002",4
"CHA202008160","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"mendd002",4
"CHA202008170","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"mendd002",4
"CHA202008180","andet001",6,"moncy001",5,"abrej003",3,"jimee001",7,"encae001",10,"mccaj001",2,"robel002",8,"mazan001",9,"mendd002",4
"CHA202008190","andet001",6,"moncy001",5,"abrej003",3,"jimee001",7,"encae001",10,"mazan001",9,"mendd002",4,"collz001",2,"engea001",8
"CHA202008200","andet001",6,"moncy001",5,"abrej003",3,"jimee001",7,"encae001",10,"mazan001",9,"mccaj001",2,"mendd002",4,"engea001",8
"CHA202008250","andet001",6,"jimee001",7,"abrej003",3,"encae001",10,"moncy001",5,"robel002",8,"mccaj001",2,"mendd002",4,"engea001",9
"CHA202008260","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"mendd002",4
"CHA202008280","andet001",6,"jimee001",7,"grany001",2,"abrej003",3,"encae001",10,"moncy001",5,"robel002",8,"mendd002",4,"engea001",9
"CHA202008290","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"madrn001",4
"CHA202008300","andet001",6,"jimee001",7,"grany001",3,"abrej003",10,"mccaj001",2,"robel002",8,"mendd002",5,"engea001",9,"madrn001",4
"CHA202009110","andet001",6,"jimee001",7,"abrej003",3,"encae001",10,"mccaj001",2,"robel002",8,"mazan001",9,"sancc001",5,"madrn001",4
"CHA202009120","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"madrn001",4
"CHA202009130","andet001",6,"grany001",3,"abrej003",10,"jimee001",7,"mccaj001",2,"moncy001",5,"mazan001",9,"mendd002",4,"dysoj001",8
"CHA202009140","andet001",6,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"moncy001",5,"robel002",8,"mazan001",9,"madrn001",4
"CHA202009150","andet001",6,"moncy001",5,"grany001",10,"abrej003",3,"jimee001",7,"mccaj001",2,"robel002",8,"engea001",9,"madrn001",4
"CHA202009160","andet001",6,"grany001",3,"abrej003",10,"jimee001",7,"moncy001",5,"mccaj001",2,"robel002",8,"mazan001",9,"madrn001",4
"CHA202009170","andet001",6,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"moncy001",5,"robel002",8,"dysoj001",9,"madrn001",4
"CHA202009250","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"encae001",10,"mazan001",9,"robel002",8,"engea001",7,"madrn001",4
"CHA202009260","andet001",6,"moncy001",5,"abrej003",3,"encae001",10,"mccaj001",2,"robel002",8,"engea001",7,"mazan001",9,"madrn001",4
"CHA202009270","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"encae001",10,"robel002",8,"mazan001",9,"engea001",7,"madrn001",4
