"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"CHA202007240","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"garvm001",2,"cavej001",8,"sanom001",3,"arral001",4
"CHA202007250","garvm001",2,"donaj001",5,"cruzn002",10,"polaj001",6,"sanom001",3,"rosae001",7,"gonzm002",9,"keplm001",8,"adrie001",4
"CHA202007260","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"cavej001",8,"arral001",4,"gonzm002",3,"avila001",2
"CHA202008050","healr001",3,"hiurk001",10,"garca003",8,"gyorj001",5,"gameb001",9,"pinam001",2,"mathm002",7,"arcio002",6,"sogae001",4
"CHA202008060","gameb001",8,"hiurk001",4,"yelic001",7,"garca003",10,"gyorj001",5,"smoaj001",3,"narvo001",2,"mathm002",9,"arcio002",6
"CHA202008070","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"zimmb001",9,"merco003",7,"leons001",2,"deshd002",8
"CHA202008080","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"santd002",9,"luplj001",7,"taylb003",2,"deshd002",8
"CHA202008090","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"santd002",9,"freem002",7,"leons001",2,"zimmb001",8
"CHA202008151","wongk001",4,"edmat001",6,"goldp001",3,"oneit001",10,"carpm002",5,"carld002",7,"fowld001",9,"kniza001",2,"badeh001",8
"CHA202008152","edmat001",6,"carpm002",10,"goldp001",3,"oneit001",7,"millb002",5,"carld002",9,"wietm001",2,"schrm001",4,"badeh001",8
"CHA202008160","wongk001",4,"edmat001",6,"goldp001",10,"oneit001",7,"carpm002",5,"carld002",8,"kniza001",2,"fowld001",9,"nogoj001",3
"CHA202008170","jonej006",8,"castw003",6,"cabrm001",10,"schoj001",4,"candj002",3,"maybc001",9,"romia002",2,"parei001",5,"reyev001",7
"CHA202008180","goodn002",6,"casth001",9,"cabrm001",10,"schoj001",4,"stewc002",7,"candj002",3,"jonej006",8,"romia002",2,"parei001",5
"CHA202008190","candj002",3,"goodn002",6,"cabrm001",10,"schoj001",4,"reyev001",7,"bonij002",9,"jonej006",8,"greig001",2,"parei001",5
"CHA202008200","candj002",3,"jonej006",8,"cabrm001",10,"schoj001",4,"goodn002",6,"stewc002",7,"maybc001",9,"romia002",2,"castw003",5
"CHA202008250","gonze004",6,"fraza001",4,"reynb001",7,"bellj005",3,"polag001",10,"riddj001",5,"tuckc001",9,"dysoj001",8,"murpj001",2
"CHA202008260","tuckc001",8,"gonze004",6,"reynb001",7,"bellj005",10,"polag001",9,"stalj001",2,"fraza001",4,"osunj001",3,"riddj001",5
"CHA202008280","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4,"gallc001",2
"CHA202008290","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4,"vilom001",2
"CHA202008300","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4,"gallc001",2
"CHA202009110","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",7,"camed001",9,"romia002",2,"parei001",5
"CHA202009120","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",7,"camed001",9,"greig001",2,"alcas002",5
"CHA202009130","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"bonij002",7,"camed001",9,"romia002",2,"parei001",5,"alcas002",4
"CHA202009140","keplm001",9,"donaj001",5,"cruzn002",10,"polaj001",6,"wadel001",3,"buxtb001",8,"cavej001",7,"astuw001",2,"adrie001",4
"CHA202009150","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"blant002",4,"buxtb001",8,"jeffr002",2
"CHA202009160","keplm001",9,"donaj001",5,"cruzn002",10,"rosae001",7,"sanom001",3,"buxtb001",8,"gonzm002",4,"adrie001",6,"avila001",2
"CHA202009170","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"buxtb001",8,"gonzm002",4,"jeffr002",2
"CHA202009250","happi001",8,"rizza001",3,"contw001",10,"heywj001",9,"baezj001",6,"schwk001",7,"carav001",2,"kipnj001",4,"hoern001",5
"CHA202009260","happi001",8,"rizza001",3,"contw001",2,"heywj001",9,"bryak001",5,"schwk001",7,"baezj001",6,"kipnj001",4,"carav001",10
"CHA202009270","hamib001",8,"maybc001",9,"schwk001",7,"bryak001",5,"baezj001",10,"carav001",2,"boted002",4,"kipnj001",3,"hoern001",6
