"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"CHN202007240","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"carav001",10,"hoern001",4,"happi001",8
"CHN202007250","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"carav001",2,"kipnj001",4,"happi001",8
"CHN202007260","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"hoern001",4,"carav001",10,"happi001",8
"CHN202007310","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"carav001",2,"kipnj001",4,"happi001",8
"CHN202008010","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"hoern001",4,"boted002",5,"carav001",10
"CHN202008020","boted002",5,"rizza001",3,"baezj001",6,"contw001",2,"schwk001",7,"souzs001",9,"phegj001",10,"hoern001",4,"almoa002",8
"CHN202008030","bryak001",7,"rizza001",3,"baezj001",6,"contw001",2,"schwk001",10,"boted002",5,"heywj001",9,"hoern001",4,"happi001",8
"CHN202008040","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",10,"contw001",2,"heywj001",9,"souzs001",7,"kipnj001",4,"happi001",8
"CHN202008130","hoern001",4,"rizza001",3,"baezj001",6,"contw001",10,"schwk001",7,"happi001",8,"boted002",5,"souzs001",9,"carav001",2
"CHN202008140","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"boted002",5,"kipnj001",10,"hoern001",4
"CHN202008150","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"happi001",8,"heywj001",9,"carav001",10,"kipnj001",4
"CHN202008160","bryak001",10,"rizza001",3,"contw001",2,"schwk001",7,"souzs001",9,"happi001",8,"boted002",5,"kipnj001",4,"hoern001",6
"CHN202008171","bryak001",7,"rizza001",3,"baezj001",6,"contw001",2,"happi001",9,"boted002",5,"phegj001",10,"almoa002",8,"hoern001",4
"CHN202008180","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"boted002",5,"carav001",2,"kipnj001",4
"CHN202008191","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"kipnj001",4,"carav001",10,"hoern001",5
"CHN202008210","happi001",7,"rizza001",3,"baezj001",6,"contw001",2,"schwk001",10,"boted002",5,"heywj001",9,"pereh001",4,"almoa002",8
"CHN202008220","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"carav001",10,"kipnj001",4,"boted002",5
"CHN202008230","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"carav001",2,"hoern001",5,"kipnj001",4
"CHN202009040","schwk001",7,"bryak001",5,"rizza001",3,"baezj001",6,"heywj001",9,"contw001",10,"carav001",2,"maybc001",8,"kipnj001",4
"CHN202009051","happi001",8,"bryak001",5,"rizza001",3,"baezj001",6,"schwk001",10,"contw001",2,"heywj001",9,"souzs001",7,"hoern001",4
"CHN202009060","happi001",8,"bryak001",10,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"boted002",5,"kipnj001",4
"CHN202009070","happi001",8,"bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"carav001",2,"maybc001",9,"kipnj001",4
"CHN202009080","happi001",8,"bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"kipnj001",10,"boted002",4,"maybc001",9
"CHN202009090","happi001",8,"contw001",10,"rizza001",3,"baezj001",6,"schwk001",7,"carav001",2,"heywj001",9,"boted002",5,"vargi001",4
"CHN202009100","happi001",8,"bryak001",5,"rizza001",3,"baezj001",6,"contw001",2,"heywj001",9,"maybc001",7,"boted002",10,"hoern001",4
"CHN202009150","happi001",8,"bryak001",5,"rizza001",3,"contw001",10,"schwk001",7,"baezj001",6,"heywj001",9,"kipnj001",4,"carav001",2
"CHN202009160","happi001",8,"bryak001",5,"rizza001",3,"contw001",2,"schwk001",10,"baezj001",6,"heywj001",9,"maybc001",7,"hoern001",4
"CHN202009180","rizza001",3,"bryak001",5,"contw001",2,"schwk001",7,"baezj001",6,"heywj001",9,"maybc001",8,"kipnj001",10,"hoern001",4
"CHN202009190","happi001",8,"bryak001",5,"rizza001",3,"contw001",2,"schwk001",7,"baezj001",6,"heywj001",9,"boted002",10,"hoern001",4
"CHN202009200","happi001",8,"rizza001",3,"bryak001",5,"schwk001",7,"contw001",10,"heywj001",9,"baezj001",6,"carav001",2,"kipnj001",4
