"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"CHN202007240","sogae001",5,"yelic001",7,"hiurk001",4,"smoaj001",3,"braur002",10,"garca003",9,"narvo001",2,"cainl001",8,"arcio002",6
"CHN202007250","sogae001",5,"yelic001",10,"hiurk001",4,"smoaj001",3,"garca003",9,"narvo001",2,"cainl001",8,"gameb001",7,"arcio002",6
"CHN202007260","sogae001",5,"yelic001",7,"hiurk001",4,"smoaj001",3,"morrl001",10,"narvo001",2,"cainl001",8,"gameb001",9,"arcio002",6
"CHN202007310","fraza001",4,"newmk001",6,"bellj005",3,"morac001",5,"reynb001",7,"polag001",10,"tuckc001",9,"stalj001",2,"dysoj001",8
"CHN202008010","fraza001",4,"newmk001",6,"bellj005",3,"morac001",10,"reynb001",7,"polag001",9,"evanp001",5,"dysoj001",8,"murpj001",2
"CHN202008020","fraza001",4,"newmk001",6,"osunj001",3,"morac001",10,"evanp001",7,"tuckc001",8,"hereg002",9,"stalj001",2,"gonze004",5
"CHN202008030","merrw001",4,"solej001",10,"ohear001",3,"peres002",2,"cordf003",9,"franm004",5,"gorda001",7,"mondr003",6,"philb002",8
"CHN202008040","merrw001",4,"solej001",9,"ohear001",3,"peres002",2,"mcbrr001",10,"mondr003",6,"gorda001",7,"franm004",5,"starb001",8
"CHN202008130","sogae001",4,"hiurk001",10,"yelic001",7,"garca003",8,"smoaj001",3,"narvo001",2,"gameb001",9,"arcio002",6,"holtb002",5
"CHN202008140","sogae001",5,"hiurk001",4,"yelic001",10,"garca003",8,"smoaj001",3,"gameb001",9,"pinam001",2,"holtb002",7,"urial001",6
"CHN202008150","narvo001",2,"hiurk001",10,"yelic001",7,"garca003",8,"smoaj001",3,"braur002",9,"sogae001",5,"urial001",4,"arcio002",6
"CHN202008160","braur002",9,"hiurk001",4,"yelic001",7,"gyorj001",3,"garca003",8,"smoaj001",10,"pinam001",2,"urial001",5,"arcio002",6
"CHN202008171","wongk001",4,"edmat001",6,"goldp001",3,"oneit001",7,"carpm002",10,"carld002",8,"millb002",5,"fowld001",9,"wietm001",2
"CHN202008180","wongk001",4,"edmat001",6,"goldp001",3,"carpm002",10,"millb002",5,"carld002",7,"fowld001",9,"wietm001",2,"badeh001",8
"CHN202008191","wongk001",4,"edmat001",6,"goldp001",10,"carpm002",3,"millb002",5,"oneit001",7,"fowld001",9,"carld002",8,"wietm001",2
"CHN202008210","andet001",6,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mendd002",4,"engea001",9,"goinr001",5
"CHN202008220","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"mendd002",4
"CHN202008230","andet001",6,"moncy001",5,"grany001",10,"abrej003",3,"jimee001",7,"robel002",8,"mccaj001",2,"mazan001",9,"mendd002",4
"CHN202009040","wongk001",4,"edmat001",9,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"carpm002",5,"oneit001",7,"carld002",8
"CHN202009051","wongk001",4,"edmat001",9,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"carpm002",5,"carld002",7,"thoml002",8
"CHN202009060","wongk001",4,"edmat001",5,"goldp001",3,"dejop001",6,"oneit001",7,"raver001",10,"moliy001",2,"thoml002",9,"badeh001",8
"CHN202009070","wongk001",4,"edmat001",9,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"carpm002",5,"oneit001",7,"badeh001",8
"CHN202009080","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"aquia001",7,"akiys001",8,"garcj007",6,"barnt001",2
"CHN202009090","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"akiys001",7,"goodb001",8,"galvf001",6,"barnt001",2
"CHN202009100","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"akiys001",7,"stept001",2,"goodb001",8,"garcj007",6
"CHN202009150","lindf001",6,"freem002",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"perer003",2,"naylj001",7,"deshd002",8
"CHN202009160","lindf001",6,"deshd002",8,"ramij003",5,"santc002",3,"reyef001",10,"luplj001",9,"merco003",7,"hedga001",2,"chany001",4
"CHN202009180","buxtb001",8,"donaj001",5,"cruzn002",10,"rosae001",7,"sanom001",3,"garvm001",2,"cavej001",9,"polaj001",6,"gonzm002",4
"CHN202009190","wadel001",7,"buxtb001",8,"rosae001",10,"sanom001",3,"keplm001",9,"polaj001",6,"gonzm002",4,"adrie001",5,"avila001",2
"CHN202009200","keplm001",9,"donaj001",5,"rosae001",7,"sanom001",10,"wadel001",3,"polaj001",6,"garvm001",2,"cavej001",8,"gonzm002",4
