"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"CIN202007240","ervip001",7,"vottj001",3,"suare001",5,"castn001",9,"mousm001",4,"davim005",10,"senzn001",8,"galvf001",6,"casac001",2
"CIN202007250","winkj002",10,"vottj001",3,"suare001",5,"mousm001",4,"castn001",9,"akiys001",7,"senzn001",8,"galvf001",6,"casac001",2
"CIN202007260","winkj002",10,"vottj001",3,"suare001",5,"castn001",9,"vanmj001",4,"akiys001",7,"galvf001",6,"jankt001",8,"casac001",2
"CIN202007270","ervip001",8,"vottj001",3,"suare001",5,"castn001",9,"aquia001",7,"coloc002",10,"farmk001",4,"galvf001",6,"casac001",2
"CIN202007280","akiys001",8,"vottj001",3,"suare001",5,"winkj002",10,"castn001",9,"vanmj001",4,"aquia001",7,"galvf001",6,"casac001",2
"CIN202007290","akiys001",7,"vottj001",3,"suare001",5,"mousm001",4,"castn001",9,"winkj002",10,"senzn001",8,"galvf001",6,"barnt001",2
"CIN202008030","akiys001",8,"vottj001",3,"castn001",9,"mousm001",4,"suare001",5,"winkj002",7,"galvf001",6,"coloc002",10,"barnt001",2
"CIN202008040","akiys001",7,"vottj001",3,"castn001",9,"mousm001",4,"suare001",5,"winkj002",10,"senzn001",8,"galvf001",6,"barnt001",2
"CIN202008110","senzn001",8,"castn001",9,"vottj001",3,"suare001",5,"davim005",10,"winkj002",7,"casac001",2,"coloc002",4,"farmk001",6
"CIN202008120","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"winkj002",10,"senzn001",8,"galvf001",6,"farmk001",4,"barnt001",2
"CIN202008130","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"winkj002",10,"senzn001",8,"vanmj001",4,"galvf001",6,"barnt001",2
"CIN202008140","akiys001",7,"castn001",9,"vottj001",3,"winkj002",10,"senzn001",8,"vanmj001",4,"galvf001",6,"barnt001",2,"farmk001",5
"CIN202008280","akiys001",8,"castn001",9,"winkj002",7,"suare001",5,"mousm001",3,"davim005",10,"galvf001",4,"garcj007",6,"barnt001",2
"CIN202008291","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"galvf001",6,"akiys001",8,"paytm001",7,"barnt001",2
"CIN202008292","vottj001",10,"castn001",9,"winkj002",7,"suare001",5,"mousm001",3,"garcj007",6,"akiys001",8,"farmk001",4,"casac001",2
"CIN202008300","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"garcj007",6,"paytm001",7,"akiys001",8,"barnt001",2
"CIN202008310","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"aquia001",7,"akiys001",8,"galvf001",6,"barnt001",2
"CIN202009010","vottj001",3,"castn001",9,"davim005",10,"suare001",5,"mousm001",4,"aquia001",7,"garcj007",6,"akiys001",8,"casac001",2
"CIN202009020","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"goodb001",8,"garcj007",6,"akiys001",7,"barnt001",2
"CIN202009042","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"goodb001",8,"akiys001",7,"garcj007",6,"barnt001",2
"CIN202009141","akiys001",7,"castn001",10,"vottj001",3,"suare001",5,"mousm001",4,"aquia001",9,"senzn001",8,"barnt001",2,"garcj007",6
"CIN202009142","akiys001",7,"castn001",9,"vottj001",10,"suare001",5,"mousm001",3,"goodb001",8,"galvf001",4,"farmk001",6,"casac001",2
"CIN202009150","akiys001",7,"castn001",9,"vottj001",3,"winkj002",10,"mousm001",5,"goodb001",8,"galvf001",4,"garcj007",6,"barnt001",2
"CIN202009160","akiys001",7,"castn001",9,"vottj001",3,"winkj002",10,"mousm001",5,"senzn001",8,"galvf001",4,"garcj007",6,"casac001",2
"CIN202009180","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"mousm001",4,"winkj002",10,"goodb001",8,"garcj007",6,"barnt001",2
"CIN202009190","aquia001",7,"castn001",9,"vottj001",3,"suare001",5,"stept001",10,"mousm001",4,"senzn001",8,"garcj007",6,"casac001",2
"CIN202009200","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"mousm001",4,"winkj002",10,"goodb001",8,"galvf001",6,"barnt001",2
"CIN202009210","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"mousm001",4,"winkj002",10,"goodb001",8,"galvf001",6,"casac001",2
"CIN202009220","aquia001",7,"castn001",9,"vottj001",3,"suare001",5,"mousm001",4,"stept001",10,"senzn001",8,"farmk001",6,"casac001",2
"CIN202009230","akiys001",8,"castn001",9,"vottj001",3,"suare001",5,"mousm001",4,"winkj002",10,"aquia001",7,"galvf001",6,"barnt001",2
