"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"CIN202007240","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"candj002",5,"maybc001",9,"romia002",2,"jonej006",8
"CIN202007250","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"candj002",5,"maybc001",9,"romia002",2,"jonej006",8
"CIN202007260","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"casth001",5,"reyev001",9,"greig001",2,"jonej006",8
"CIN202007270","bryak001",7,"rizza001",3,"baezj001",6,"schwk001",10,"contw001",2,"souzs001",9,"boted002",5,"hoern001",4,"almoa002",8
"CIN202007280","rizza001",3,"carav001",2,"baezj001",6,"schwk001",7,"happi001",8,"heywj001",9,"boted002",5,"kipnj001",10,"hoern001",4
"CIN202007290","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"happi001",8,"carav001",10,"hoern001",4
"CIN202008030","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"johnd006",9,"merco003",8,"leons001",2,"alleg002",7
"CIN202008040","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"zimmb001",9,"luplj001",7,"leons001",2,"merco003",8
"CIN202008110","merrw001",8,"solej001",10,"peres002",2,"dozih001",9,"ohear001",3,"mondr003",6,"franm004",5,"gorda001",7,"lopen001",4
"CIN202008120","merrw001",8,"solej001",10,"peres002",2,"dozih001",9,"mcbrr001",7,"franm004",5,"ohear001",3,"mondr003",6,"lopen001",4
"CIN202008130","fraza001",4,"newmk001",6,"bellj005",10,"morac001",3,"reynb001",7,"polag001",9,"gonze004",5,"dysoj001",8,"stalj001",2
"CIN202008140","fraza001",4,"newmk001",6,"bellj005",3,"morac001",10,"reynb001",7,"polag001",9,"gonze004",5,"tuckc001",8,"stalj001",2
"CIN202008280","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"boted002",5,"carav001",2,"kipnj001",4
"CIN202008291","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"carav001",2,"kipnj001",4,"hoern001",5
"CIN202008292","happi001",7,"schwk001",10,"rizza001",3,"contw001",2,"heywj001",9,"boted002",5,"kipnj001",4,"hoern001",6,"almoa002",8
"CIN202008300","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"kipnj001",10,"boted002",5,"hoern001",4
"CIN202008310","wongk001",4,"edmat001",7,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"carpm002",5,"fowld001",9,"carld002",8
"CIN202009010","wongk001",4,"edmat001",7,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"carpm002",5,"fowld001",9,"thoml002",8
"CIN202009020","wongk001",4,"edmat001",9,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"carpm002",5,"oneit001",7,"thoml002",8
"CIN202009042","newmk001",6,"fraza001",4,"reynb001",7,"morac001",3,"polag001",9,"bellj005",10,"hayek001",5,"alfoa002",8,"murpj001",2
"CIN202009141","gonze004",6,"fraza001",7,"hayek001",5,"morac001",3,"bellj005",10,"reynb001",8,"newmk001",4,"tuckc001",9,"murpj001",2
"CIN202009142","gonze004",6,"fraza001",7,"hayek001",5,"morac001",10,"bellj005",3,"reynb001",8,"polag001",9,"newmk001",4,"stalj001",2
"CIN202009150","gonze004",6,"reynb001",7,"hayek001",5,"morac001",3,"bellj005",10,"polag001",9,"tuckc001",8,"riddj001",4,"stalj001",2
"CIN202009160","fraza001",7,"hayek001",5,"morac001",10,"bellj005",3,"gonze004",6,"newmk001",4,"polag001",9,"tuckc001",8,"murpj001",2
"CIN202009180","madrn001",4,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"moncy001",5,"robel002",8,"mazan001",9,"sancc001",6
"CIN202009190","andet001",6,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"moncy001",5,"robel002",8,"mazan001",9,"madrn001",4
"CIN202009200","andet001",6,"madrn001",4,"abrej003",3,"jimee001",7,"encae001",10,"mccaj001",2,"mazan001",9,"robel002",8,"sancc001",5
"CIN202009210","garca003",8,"yelic001",7,"braur002",10,"voged001",3,"hiurk001",4,"gyorj001",5,"petej002",9,"arcio002",6,"narvo001",2
"CIN202009220","petej002",4,"yelic001",7,"braur002",9,"voged001",10,"gyorj001",3,"arcio002",6,"sogae001",5,"taylt002",8,"nottj001",2
"CIN202009230","garca003",8,"yelic001",7,"gyorj001",3,"voged001",10,"hiurk001",4,"petej002",9,"arcio002",6,"sogae001",5,"nottj001",2
