"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"CLE202007240","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"perer003",2,"merco003",8
"CLE202007250","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"johnd006",9,"merco003",8,"perer003",2,"zimmb001",7
"CLE202007260","hernc005",4,"ramij003",10,"lindf001",6,"santc002",3,"reyef001",7,"santd002",9,"zimmb001",8,"leons001",2,"chany001",5
"CLE202007281","hernc005",4,"ramij003",5,"lindf001",10,"santc002",3,"freem002",6,"johnd006",9,"zimmb001",8,"perer003",2,"alleg002",7
"CLE202007282","luplj001",7,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"santd002",9,"chany001",4,"leons001",2,"merco003",8
"CLE202007290","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"zimmb001",7,"santd002",9,"taylb003",2,"merco003",8
"CLE202008050","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"zimmb001",9,"luplj001",7,"leons001",2,"merco003",8
"CLE202008060","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"santd002",9,"merco003",7,"taylb003",2,"deshd002",8
"CLE202008110","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"leons001",2,"deshd002",8
"CLE202008120","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"freem002",7,"naqut001",9,"leons001",2,"zimmb001",8
"CLE202008210","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"perer003",2,"deshd002",8
"CLE202008220","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"perer003",2,"deshd002",8
"CLE202008230","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"taylb003",2,"alleg002",8
"CLE202008240","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"freem002",7,"perer003",2,"alleg002",8
"CLE202008250","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"perer003",2,"deshd002",8
"CLE202008260","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"alleg002",7,"perer003",2,"deshd002",8
"CLE202009040","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"hedga001",2,"deshd002",8
"CLE202009050","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"leons001",2,"merco003",8
"CLE202009060","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"perer003",2,"naqut001",9,"merco003",8
"CLE202009070","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"perer003",2,"merco003",8
"CLE202009080","hernc005",4,"freem002",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"leons001",2,"deshd002",8
"CLE202009090","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",9,"merco003",7,"perer003",2,"deshd002",8
"CLE202009100","hernc005",4,"freem002",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"hedga001",2,"deshd002",8
"CLE202009210","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"perer003",2,"naylj001",7,"deshd002",8
"CLE202009220","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"perer003",2,"naylj001",7,"deshd002",8
"CLE202009230","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"luplj001",7,"perer003",2,"merco003",8
"CLE202009240","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"luplj001",9,"merco003",7,"perer003",2,"deshd002",8
"CLE202009250","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"leons001",2,"deshd002",8
"CLE202009260","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"luplj001",7,"perer003",2,"deshd002",8
"CLE202009270","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naylj001",7,"luplj001",9,"perer003",2,"merco003",8
