"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"CLE202007240","merrw001",9,"mondr003",6,"solej001",10,"peres002",2,"gorda001",7,"mcbrr001",3,"franm004",5,"lopen001",4,"starb001",8
"CLE202007250","merrw001",9,"mondr003",6,"solej001",10,"peres002",2,"gorda001",7,"mcbrr001",3,"franm004",5,"lopen001",4,"starb001",8
"CLE202007260","merrw001",4,"mondr003",6,"solej001",10,"peres002",2,"gorda001",7,"franm004",3,"cordf003",9,"mejie001",5,"philb002",8
"CLE202007281","andet001",6,"moncy001",5,"abrej003",3,"grany001",2,"encae001",10,"delmn001",7,"robel002",8,"garcl004",4,"engea001",9
"CLE202007282","andet001",6,"moncy001",5,"abrej003",3,"delmn001",7,"collz001",10,"mccaj001",2,"robel002",8,"garcl004",9,"mendd002",4
"CLE202007290","andet001",6,"moncy001",5,"abrej003",3,"grany001",2,"encae001",10,"jimee001",7,"robel002",8,"garcl004",4,"engea001",9
"CLE202008050","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"winkj002",10,"senzn001",8,"vanmj001",4,"galvf001",6,"barnt001",2
"CLE202008060","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"winkj002",10,"senzn001",8,"galvf001",6,"farmk001",4,"barnt001",2
"CLE202008110","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"happi001",8,"heywj001",9,"carav001",10,"kipnj001",4
"CLE202008120","bryak001",7,"rizza001",3,"baezj001",6,"contw001",2,"happi001",8,"heywj001",9,"boted002",5,"carav001",10,"kipnj001",4
"CLE202008210","goodn002",6,"reyev001",7,"cabrm001",10,"schoj001",4,"candj002",3,"jonej006",8,"bonij002",9,"romia002",2,"parei001",5
"CLE202008220","reyev001",9,"castw003",6,"cabrm001",10,"schoj001",4,"candj002",3,"jonej006",8,"stewc002",7,"romia002",2,"parei001",5
"CLE202008230","reyev001",7,"castw003",4,"cabrm001",10,"candj002",3,"goodn002",6,"jonej006",8,"bonij002",9,"greig001",2,"parei001",5
"CLE202008240","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"cavej001",8,"gonzm002",5,"arral001",4,"avila001",2
"CLE202008250","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"wadel001",8,"gonzm002",5,"arral001",4,"jeffr002",2
"CLE202008260","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"arral001",4,"sanom001",3,"wadel001",8,"avila001",2
"CLE202009040","gameb001",8,"hiurk001",4,"yelic001",7,"gyorj001",3,"voged001",10,"arcio002",6,"petej002",9,"urial001",5,"nottj001",2
"CLE202009050","gameb001",8,"hiurk001",4,"yelic001",7,"braur002",9,"voged001",10,"arcio002",6,"narvo001",2,"urial001",5,"petej002",3
"CLE202009060","gameb001",9,"hiurk001",4,"yelic001",7,"voged001",10,"arcio002",6,"urial001",5,"petej002",3,"taylt002",8,"nottj001",2
"CLE202009070","merrw001",4,"dozih001",3,"franm004",5,"ohear001",10,"gorda001",7,"starb001",8,"olive001",9,"mondr003",6,"gallc001",2
"CLE202009080","merrw001",9,"mondr003",6,"dozih001",3,"franm004",10,"gorda001",7,"reynm003",5,"olive001",8,"lopen001",4,"gallc001",2
"CLE202009090","merrw001",9,"mondr003",6,"dozih001",3,"franm004",10,"gorda001",7,"reynm003",5,"olive001",8,"lopen001",4,"gallc001",2
"CLE202009100","merrw001",9,"mondr003",6,"dozih001",3,"franm004",10,"gorda001",7,"reynm003",5,"olive001",8,"lopen001",4,"gallc001",2
"CLE202009210","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"madrn001",4
"CLE202009220","andet001",6,"moncy001",5,"abrej003",3,"jimee001",7,"encae001",10,"mccaj001",2,"robel002",8,"mazan001",9,"madrn001",4
"CLE202009230","andet001",6,"moncy001",5,"abrej003",3,"jimee001",7,"encae001",10,"mccaj001",2,"robel002",8,"engea001",9,"madrn001",4
"CLE202009240","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"mazan001",9,"sancc001",4,"dysoj001",8
"CLE202009250","fraza001",4,"hayek001",5,"morac001",3,"bellj005",10,"polag001",9,"reynb001",8,"gonze004",6,"olivj003",7,"stalj001",2
"CLE202009260","fraza001",4,"hayek001",5,"morac001",10,"bellj005",3,"polag001",9,"reynb001",8,"gonze004",6,"osunj001",7,"stalj001",2
"CLE202009270","fraza001",4,"hayek001",5,"morac001",10,"bellj005",3,"reynb001",8,"gonze004",6,"riddj001",7,"osunj001",9,"susaa001",2
