"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"COL202007310","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"mcmar001",4,"hills005",7,"tapir001",10,"woltt001",2
"COL202008010","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"kempm001",10,"mcmar001",3,"hampg001",7,"owinc001",4,"buted001",2
"COL202008020","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"mcmar001",4,"kempm001",10,"owinc001",7,"woltt001",2
"COL202008030","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"mcmar001",4,"kempm001",10,"owinc001",7,"woltt001",2
"COL202008040","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"kempm001",10,"hills005",7,"owinc001",4,"woltt001",2
"COL202008050","dahld001",8,"stort001",6,"blacc001",10,"arenn001",5,"murpd006",3,"mcmar001",4,"tapir001",9,"hills005",7,"woltt001",2
"COL202008060","dahld001",8,"stort001",10,"blacc001",9,"arenn001",5,"kempm001",7,"mcmar001",3,"hampg001",4,"owinc001",6,"buted001",2
"COL202008100","hampg001",7,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"kempm001",10,"dahld001",8,"owinc001",4,"woltt001",2
"COL202008110","hampg001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"mcmar001",4,"dahld001",10,"tapir001",7,"woltt001",2
"COL202008120","hampg001",8,"stort001",6,"blacc001",10,"arenn001",5,"dahld001",7,"owinc001",4,"tapir001",9,"mcmar001",3,"diaze005",2
"COL202008140","hampg001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"tapir001",10,"mcmar001",4,"dahld001",7,"woltt001",2
"COL202008150","hampg001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"kempm001",10,"tapir001",7,"mcmar001",4,"woltt001",2
"COL202008160","hampg001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"kempm001",10,"tapir001",7,"mcmar001",4,"buted001",2
"COL202008190","hampg001",8,"stort001",6,"blacc001",9,"arenn001",5,"kempm001",10,"tapir001",7,"owinc001",4,"mcmar001",3,"buted001",2
"COL202008200","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",10,"mcmar001",3,"rodgb002",4,"hills005",8,"woltt001",2
"COL202008280","tapir001",7,"stort001",6,"arenn001",5,"blacc001",9,"murpd006",3,"kempm001",10,"mcmar001",4,"hills005",8,"woltt001",2
"COL202008290","tapir001",7,"stort001",6,"arenn001",5,"blacc001",9,"kempm001",10,"mcmar001",4,"hampg001",8,"fuenj001",3,"woltt001",2
"COL202008300","tapir001",7,"stort001",10,"arenn001",5,"blacc001",9,"mcmar001",4,"hampg001",6,"fuenj001",3,"hills005",8,"buted001",2
"COL202008310","tapir001",7,"stort001",6,"arenn001",5,"blacc001",9,"murpd006",3,"kempm001",10,"mcmar001",4,"hills005",8,"woltt001",2
"COL202009010","tapir001",7,"pillk001",8,"arenn001",5,"blacc001",9,"murpd006",3,"kempm001",10,"mcmar001",4,"hampg001",6,"woltt001",2
"COL202009020","tapir001",10,"stort001",6,"arenn001",5,"blacc001",9,"pillk001",8,"hampg001",4,"hills005",7,"fuenj001",3,"woltt001",2
"COL202009110","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"pillk001",8,"kempm001",10,"mcmar001",4,"fuenj001",3,"woltt001",2
"COL202009120","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",10,"fuenj001",3,"dahld001",8,"mcmar001",4,"woltt001",2
"COL202009130","tapir001",7,"stort001",6,"pillk001",8,"blacc001",9,"kempm001",10,"fuenj001",3,"hampg001",4,"mcmar001",5,"buted001",2
"COL202009150","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"pillk001",8,"kempm001",10,"fuenj001",3,"diaze005",2,"hampg001",4
"COL202009160","tapir001",7,"stort001",6,"blacc001",10,"arenn001",5,"pillk001",8,"fuenj001",3,"dahld001",9,"mcmar001",4,"woltt001",2
"COL202009170","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"pillk001",8,"kempm001",10,"fuenj001",3,"hampg001",4,"woltt001",2
"COL202009180","tapir001",10,"stort001",6,"arenn001",5,"blacc001",9,"pillk001",8,"fuenj001",3,"dahld001",7,"diaze005",2,"mcmar001",4
"COL202009190","tapir001",7,"stort001",6,"arenn001",5,"blacc001",9,"pillk001",8,"fuenj001",3,"kempm001",10,"hampg001",4,"buted001",2
"COL202009200","tapir001",7,"pillk001",10,"blacc001",9,"stort001",6,"fuenj001",3,"dahld001",8,"diaze005",2,"mcmar001",5,"hampg001",4
