"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"COL202007310","tatif002",6,"grist001",8,"machm001",5,"phamt001",7,"profj001",4,"myerw001",9,"naylj001",10,"hedga001",2,"cronj001",3
"COL202008010","tatif002",6,"machm001",5,"phamt001",10,"profj001",4,"myerw001",9,"grist001",8,"frant002",3,"mejif001",2,"olive001",7
"COL202008020","tatif002",6,"grist001",8,"machm001",10,"phamt001",7,"garcg002",5,"myerw001",9,"profj001",4,"mejif001",2,"cronj001",3
"COL202008030","yastm001",8,"dicka001",9,"solad001",4,"beltb001",3,"longe001",5,"florw001",10,"crawb001",6,"tromc001",2,"duggs001",7
"COL202008040","yastm001",8,"dicka001",9,"beltb001",3,"longe001",5,"sandp001",10,"heint001",2,"crawb001",6,"dubom001",4,"duggs001",7
"COL202008050","yastm001",8,"dicka001",9,"solad001",5,"beltb001",3,"florw001",4,"sandp001",10,"crawb001",6,"heint001",2,"duggs001",7
"COL202008060","slata001",7,"florw001",4,"solad001",6,"longe001",5,"pench001",9,"ruf-d001",10,"sandp001",3,"tromc001",2,"dubom001",8
"COL202008100","calhk001",9,"martk001",4,"marts002",8,"perad001",10,"walkc002",3,"escoe001",5,"vogts001",2,"jay-j001",7,"ahmen001",6
"COL202008110","youna003",10,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"kellc002",2,"locat001",9,"ahmen001",6
"COL202008120","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",10,"escoe001",5,"vogts001",2,"lambj001",3,"ahmen001",6
"COL202008140","choos001",7,"kinei001",5,"calhw001",10,"gallj002",9,"frazt001",3,"solan001",8,"odorr001",4,"andre001",6,"mathj001",2
"COL202008150","choos001",7,"kinei001",5,"calhw001",10,"gallj002",9,"solan001",8,"odorr001",4,"dietd001",3,"andre001",6,"trevj001",2
"COL202008160","choos001",10,"solan001",8,"calhw001",7,"gallj002",9,"frazt001",5,"odorr001",4,"dietd001",3,"andre001",6,"mathj001",2
"COL202008190","sprig001",8,"altuj001",4,"brega001",5,"reddj001",9,"gurry001",3,"corrc001",6,"tuckk001",7,"jonet005",10,"maldm001",2
"COL202008200","sprig001",8,"altuj001",4,"corrc001",6,"reddj001",9,"gurry001",10,"tuckk001",7,"toroa001",5,"jonet005",3,"maldm001",2
"COL202008280","grist001",8,"tatif002",6,"machm001",5,"hosme001",3,"myerw001",9,"cronj001",4,"frant002",10,"matej003",7,"hedga001",2
"COL202008290","grist001",8,"tatif002",6,"machm001",5,"hosme001",3,"cronj001",4,"myerw001",9,"garcg002",10,"naylj001",7,"torrl001",2
"COL202008300","grist001",8,"tatif002",6,"machm001",10,"hosme001",3,"cronj001",4,"myerw001",9,"frant002",5,"profj001",7,"hedga001",2
"COL202008310","grist001",8,"tatif002",6,"machm001",5,"hosme001",10,"morem001",3,"myerw001",9,"cronj001",4,"nolaa002",2,"profj001",7
"COL202009010","yastm001",9,"dicka001",7,"longe001",5,"beltb001",3,"florw001",10,"solad001",4,"crawb001",6,"bartj003",2,"dubom001",8
"COL202009020","solad001",4,"yastm001",9,"longe001",5,"florw001",3,"ruf-d001",10,"dicka001",7,"bartj003",2,"robed004",6,"dubom001",8
"COL202009110","simma001",6,"walsj001",3,"troum001",8,"renda001",5,"uptoj001",7,"ohtas001",10,"wardt002",9,"bemba001",2,"rengl001",4
"COL202009120","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"stasm001",2,"adelj001",9,"simma001",6
"COL202009130","fletd002",4,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"stasm001",2,"adelj001",9,"simma001",6
"COL202009150","lastt001",5,"semim001",6,"grosr001",7,"olsom001",3,"canhm001",9,"lambj001",10,"laurr001",8,"heimj001",2,"kempt001",4
"COL202009160","semim001",6,"grosr001",7,"lastt001",10,"olsom001",3,"canhm001",9,"lambj001",5,"murps001",2,"laurr001",8,"kempt001",4
"COL202009170","bettm001",9,"seagc001",6,"turnj001",10,"muncm001",3,"smitw003",2,"bellc002",8,"taylc001",4,"herne001",7,"riose001",5
"COL202009180","bettm001",9,"seagc001",6,"taylc001",7,"muncm001",3,"bellc002",8,"polla001",10,"riose001",5,"lux-g001",4,"barna001",2
"COL202009190","bettm001",9,"muncm001",3,"turnj001",10,"bellc002",8,"taylc001",6,"polla001",7,"riose001",5,"lux-g001",4,"barna001",2
"COL202009200","polla001",7,"seagc001",6,"turnj001",10,"muncm001",3,"bellc002",8,"smitw003",2,"riose001",5,"lux-g001",4,"mckiz001",9
