"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"DET202007270","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"mercj002",5,"maybc001",9,"reyev001",7,"romia002",2,"jonej006",8
"DET202007280","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"candj002",5,"maybc001",9,"romia002",2,"jonej006",8
"DET202007290","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"candj002",5,"stewc002",7,"reyev001",9,"greig001",2,"jonej006",8
"DET202007300","casth001",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"maybc001",9,"candj002",5,"romia002",2,"jonej006",8
"DET202007310","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"casth001",5,"reyev001",9,"stewc002",7,"romia002",2,"jonej006",8
"DET202008021","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"reyev001",9,"candj002",5,"romia002",2,"jonej006",8
"DET202008022","reyev001",8,"casth001",6,"cabrm001",10,"schoj001",4,"stewc002",7,"mercj002",3,"demet001",9,"greig001",2,"lugod001",5
"DET202008100","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"candj002",5,"reyev001",7,"demet001",9,"romia002",2,"jonej006",8
"DET202008110","goodn002",6,"reyev001",7,"cabrm001",10,"schoj001",4,"candj002",3,"demet001",9,"lugod001",5,"romia002",2,"jonej006",8
"DET202008120","goodn002",6,"schoj001",4,"cabrm001",10,"stewc002",7,"candj002",3,"reyev001",9,"casth001",8,"greig001",2,"castw003",5
"DET202008140","goodn002",6,"reyev001",7,"cabrm001",10,"schoj001",4,"candj002",3,"castw003",5,"maybc001",9,"romia002",2,"jonej006",8
"DET202008150","goodn002",6,"castw003",5,"cabrm001",10,"schoj001",4,"candj002",3,"stewc002",7,"maybc001",9,"romia002",2,"reyev001",8
"DET202008160","goodn002",6,"casth001",9,"cabrm001",10,"schoj001",4,"candj002",3,"stewc002",7,"castw003",5,"greig001",2,"jonej006",8
"DET202008240","reyev001",9,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"jonej006",8,"stewc002",7,"romia002",2,"castw003",5
"DET202008250","reyev001",7,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"jonej006",8,"maybc001",9,"romia002",2,"parei001",5
"DET202008260","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"bonij002",7,"maybc001",9,"romia002",2,"parei001",5
"DET202008291","reyev001",9,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"jonej006",8,"stewc002",7,"romia002",2,"castw003",5
"DET202008292","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"stewc002",7,"maybc001",9,"greig001",2,"parei001",5
"DET202008300","reyev001",9,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"jonej006",8,"stewc002",7,"greig001",2,"parei001",5
"DET202009042","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"stewc002",7,"bonij002",9,"greig001",2,"parei001",5
"DET202009080","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",9,"stewc002",7,"romia002",2,"alcas002",5
"DET202009090","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",7,"camed001",9,"greig001",2,"parei001",5
"DET202009150","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"goodn002",4,"bonij002",7,"romia002",2,"parei001",5,"camed001",9
"DET202009160","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"goodn002",4,"bonij002",9,"haase001",2,"demet001",7,"alcas002",5
"DET202009170","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"goodn002",4,"bonij002",7,"romia002",2,"parei001",5,"camed001",9
"DET202009180","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"casth001",9,"bonij002",7,"goodn002",4,"romia002",2,"parei001",5
"DET202009190","reyev001",8,"castw003",6,"candj002",3,"casth001",10,"bonij002",7,"goodn002",4,"haase001",2,"camed001",9,"parei001",5
"DET202009200","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"bonij002",7,"goodn002",4,"romia002",2,"camed001",9,"parei001",5
