"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"DET202007270","merrw001",4,"solej001",9,"mondr003",6,"peres002",2,"ohear001",3,"franm004",5,"gorda001",7,"cordf003",10,"philb002",8
"DET202007280","merrw001",4,"solej001",9,"mondr003",6,"peres002",10,"ohear001",3,"franm004",5,"gorda001",7,"herno002",2,"philb002",8
"DET202007290","merrw001",9,"solej001",10,"peres002",2,"franm004",5,"mcbrr001",3,"mondr003",6,"cordf003",7,"starb001",8,"lopen001",4
"DET202007300","merrw001",4,"solej001",10,"peres002",2,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"cordf003",9,"philb002",8
"DET202007310","akiys001",7,"vottj001",3,"suare001",5,"mousm001",4,"castn001",9,"winkj002",10,"senzn001",8,"galvf001",6,"barnt001",2
"DET202008021","akiys001",7,"castn001",9,"mousm001",4,"suare001",5,"winkj002",10,"senzn001",8,"vanmj001",3,"galvf001",6,"barnt001",2
"DET202008022","ervip001",7,"castn001",9,"suare001",5,"davim005",3,"casac001",2,"senzn001",8,"coloc002",4,"aquia001",10,"farmk001",6
"DET202008100","garcl004",6,"moncy001",5,"grany001",10,"abrej003",3,"jimee001",7,"mazan001",9,"mccaj001",2,"mendd002",4,"engea001",8
"DET202008110","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"encae001",10,"jimee001",7,"robel002",8,"mendd002",4,"engea001",9
"DET202008120","andet001",6,"jimee001",7,"abrej003",3,"encae001",10,"mccaj001",2,"robel002",8,"mazan001",9,"mendd002",4,"goinr001",5
"DET202008140","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"leons001",2,"deshd002",8
"DET202008150","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"leons001",2,"merco003",8
"DET202008160","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"leons001",2,"deshd002",8
"DET202008240","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"carav001",10,"boted002",5,"hoern001",4
"DET202008250","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"carav001",10,"boted002",5,"kipnj001",4
"DET202008260","happi001",9,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"kipnj001",10,"boted002",5,"hoern001",4,"almoa002",8
"DET202008291","polaj001",6,"sanom001",3,"cruzn002",10,"gonzm002",9,"vargi001",4,"rosae001",7,"adrie001",5,"keplm001",8,"avila001",2
"DET202008292","polaj001",6,"keplm001",9,"cruzn002",10,"rosae001",7,"sanom001",3,"gonzm002",5,"arral001",4,"cavej001",8,"jeffr002",2
"DET202008300","keplm001",9,"polaj001",6,"cruzn002",10,"sanom001",3,"cavej001",8,"arral001",4,"gonzm002",5,"wadel001",7,"avila001",2
"DET202009042","polaj001",6,"sanom001",3,"cruzn002",10,"rookb001",9,"rosae001",7,"gonzm002",4,"buxtb001",8,"adrie001",5,"avila001",2
"DET202009080","gameb001",9,"hiurk001",4,"yelic001",7,"gyorj001",3,"voged001",10,"garca003",8,"arcio002",6,"narvo001",2,"urial001",5
"DET202009090","garca003",8,"hiurk001",4,"yelic001",7,"gyorj001",3,"braur002",10,"arcio002",6,"urial001",5,"taylt002",9,"nottj001",2
"DET202009150","merrw001",9,"mondr003",6,"peres002",2,"franm004",10,"dozih001",3,"olive001",7,"gutik001",5,"starb001",8,"lopen001",4
"DET202009160","merrw001",9,"mondr003",6,"peres002",2,"franm004",10,"dozih001",3,"olive001",7,"mejie001",5,"starb001",8,"lopen001",4
"DET202009170","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"perer003",2,"naylj001",7,"merco003",8
"DET202009180","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"luplj001",7,"perer003",2,"deshd002",8
"DET202009190","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"perer003",2,"naylj001",7,"merco003",8
"DET202009200","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"luplj001",9,"merco003",7,"leons001",2,"deshd002",8
