"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"HOU202007240","sprig001",8,"altuj001",4,"brega001",5,"branm003",7,"gurry001",3,"corrc001",6,"reddj001",9,"diaza003",10,"maldm001",2
"HOU202007250","sprig001",8,"altuj001",4,"brega001",5,"branm003",7,"gurry001",3,"corrc001",6,"reddj001",9,"tuckk001",10,"maldm001",2
"HOU202007260","sprig001",8,"altuj001",4,"branm003",7,"brega001",5,"gurry001",3,"corrc001",6,"jonet005",10,"reddj001",9,"maldm001",2
"HOU202007270","sprig001",8,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"reddj001",9,"tuckk001",7,"garnd001",2
"HOU202007280","sprig001",8,"altuj001",4,"brega001",5,"branm003",7,"gurry001",3,"corrc001",6,"reddj001",9,"tuckk001",10,"maldm001",2
"HOU202007290","tuckk001",7,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"reddj001",9,"stram002",8,"maldm001",2
"HOU202008100","altuj001",4,"reddj001",9,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"tuckk001",7,"maldm001",2,"stram002",8
"HOU202008110","altuj001",4,"reddj001",9,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"tuckk001",7,"maldm001",2,"stram002",8
"HOU202008120","sprig001",10,"reddj001",9,"brega001",5,"gurry001",3,"corrc001",6,"tuckk001",7,"toroa001",4,"maldm001",2,"stram002",8
"HOU202008140","sprig001",8,"reddj001",9,"altuj001",4,"brega001",5,"alvay001",10,"gurry001",3,"corrc001",6,"tuckk001",7,"maldm001",2
"HOU202008150","sprig001",8,"reddj001",9,"brega001",5,"alvay001",10,"gurry001",3,"corrc001",6,"altuj001",4,"tuckk001",7,"maldm001",2
"HOU202008160","sprig001",8,"reddj001",9,"brega001",5,"gurry001",3,"corrc001",6,"altuj001",4,"tuckk001",7,"toroa001",10,"maldm001",2
"HOU202008170","sprig001",9,"toroa001",10,"brega001",5,"gurry001",3,"corrc001",6,"altuj001",4,"tuckk001",7,"stram002",8,"garnd001",2
"HOU202008180","stram002",8,"reddj001",9,"brega001",5,"gurry001",3,"tuckk001",7,"altuj001",4,"toroa001",10,"maldm001",2,"mayfj001",6
"HOU202008240","sprig001",8,"altuj001",4,"corrc001",6,"tuckk001",7,"gurry001",3,"branm003",10,"reddj001",9,"maldm001",2,"mayfj001",5
"HOU202008251","stram002",8,"altuj001",4,"corrc001",6,"gurry001",3,"tuckk001",7,"jonet005",10,"reddj001",9,"maldm001",2,"mayfj001",5
"HOU202008252","stram002",8,"altuj001",4,"branm003",10,"gurry001",3,"tuckk001",7,"corrc001",6,"reddj001",9,"toroa001",5,"garnd001",2
"HOU202008291","sprig001",8,"altuj001",4,"branm003",7,"gurry001",3,"tuckk001",10,"corrc001",6,"reddj001",9,"maldm001",2,"mayfj001",5
"HOU202008292","sprig001",8,"altuj001",4,"branm003",10,"gurry001",3,"tuckk001",7,"corrc001",6,"reddj001",9,"diaza003",5,"maldm001",2
"HOU202009010","sprig001",8,"altuj001",4,"branm003",7,"gurry001",3,"tuckk001",10,"corrc001",6,"reddj001",9,"toroa001",5,"garnd001",2
"HOU202009020","sprig001",8,"altuj001",4,"branm003",7,"gurry001",3,"tuckk001",9,"corrc001",6,"reddj001",10,"diaza003",5,"maldm001",2
"HOU202009030","sprig001",8,"altuj001",4,"branm003",10,"gurry001",3,"tuckk001",7,"diaza003",5,"reddj001",9,"maldm001",2,"mayfj001",6
"HOU202009052","sprig001",8,"diaza003",4,"branm003",10,"gurry001",3,"tuckk001",7,"corrc001",6,"reddj001",9,"mayfj001",5,"stubg001",2
"HOU202009081","sprig001",8,"brega001",5,"branm003",7,"gurry001",3,"tuckk001",10,"corrc001",6,"reddj001",9,"maldm001",2,"mayfj001",4
"HOU202009150","sprig001",8,"altuj001",4,"branm003",10,"brega001",5,"tuckk001",7,"gurry001",3,"corrc001",6,"reddj001",9,"maldm001",2
"HOU202009160","sprig001",8,"altuj001",4,"branm003",7,"brega001",5,"tuckk001",10,"gurry001",3,"corrc001",6,"reddj001",9,"maldm001",2
"HOU202009170","sprig001",8,"altuj001",4,"branm003",10,"brega001",5,"tuckk001",7,"gurry001",3,"corrc001",6,"reddj001",9,"maldm001",2
"HOU202009180","sprig001",8,"altuj001",4,"branm003",7,"brega001",5,"tuckk001",10,"gurry001",3,"corrc001",6,"reddj001",9,"maldm001",2
"HOU202009190","sprig001",8,"altuj001",4,"branm003",7,"brega001",5,"tuckk001",9,"corrc001",6,"diaza003",3,"reddj001",10,"maldm001",2
"HOU202009200","sprig001",9,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"tuckk001",7,"corrc001",6,"stram002",8,"garnd001",2
