"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"HOU202007240","longs001",4,"white005",3,"seagk001",5,"lewik001",8,"voged001",10,"nolaa002",2,"marmj001",7,"crawj002",6,"smitm007",9
"HOU202007250","longs001",4,"white005",3,"seagk001",5,"lewik001",8,"nolaa002",2,"voged001",10,"gordd002",7,"crawj002",6,"smitm007",9
"HOU202007260","longs001",4,"crawj002",6,"lewik001",8,"seagk001",5,"white005",3,"marmj001",10,"lopet001",7,"smitm007",9,"hudsj002",2
"HOU202007270","longs001",4,"crawj002",6,"lewik001",8,"seagk001",5,"white005",3,"marmj001",10,"nolaa002",2,"lopet001",9,"gordd002",7
"HOU202007280","bettm001",9,"muncm001",3,"turnj001",5,"bellc002",8,"taylc001",10,"seagc001",6,"polla001",7,"herne001",4,"smitw003",2
"HOU202007290","muncm001",3,"bettm001",9,"bellc002",8,"turnj001",5,"seagc001",6,"taylc001",4,"pedej001",7,"beatm001",10,"barna001",2
"HOU202008100","yastm001",8,"dicka001",7,"solad001",5,"beltb001",3,"florw001",10,"crawb001",6,"slata001",9,"tromc001",2,"dubom001",4
"HOU202008110","yastm001",8,"dicka001",7,"beltb001",3,"longe001",5,"florw001",10,"slata001",9,"crawb001",6,"tromc001",2,"dubom001",4
"HOU202008120","yastm001",8,"dicka001",7,"florw001",10,"beltb001",3,"longe001",5,"pench001",9,"crawb001",6,"heint001",2,"dubom001",4
"HOU202008140","crawj002",6,"moord002",9,"lewik001",8,"seagk001",5,"nolaa002",2,"lopet001",10,"longs001",4,"white005",3,"gordd002",7
"HOU202008150","crawj002",6,"moord002",7,"lewik001",8,"seagk001",5,"nolaa002",2,"voged001",10,"longs001",4,"white005",3,"smitm007",9
"HOU202008160","crawj002",6,"moord002",9,"lewik001",8,"seagk001",5,"voged001",10,"lopet001",7,"white005",3,"gordd002",4,"odomj001",2
"HOU202008170","hampg001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"tapir001",7,"mcmar001",4,"dahld001",10,"woltt001",2
"HOU202008180","hampg001",4,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",10,"tapir001",7,"mcmar001",3,"hills005",8,"woltt001",2
"HOU202008240","fletd002",4,"ohtas001",10,"troum001",8,"renda001",5,"pujoa001",3,"adelj001",9,"uptoj001",7,"simma001",6,"bemba001",2
"HOU202008251","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"castj006",2,"uptoj001",7,"goodb001",9
"HOU202008252","troum001",8,"lastt001",3,"fletd002",5,"ohtas001",10,"simma001",6,"goodb001",7,"adelj001",9,"bemba001",2,"rengl001",4
"HOU202008291","semim001",6,"grosr001",7,"piscs001",9,"chapm001",5,"olsom001",3,"canhm001",10,"laurr001",8,"kempt001",4,"murps001",2
"HOU202008292","laurr001",8,"lastt001",4,"chapm001",6,"canhm001",10,"olsom001",3,"grosr001",7,"piscs001",9,"heimj001",2,"machv001",5
"HOU202009010","choos001",10,"kinei001",5,"trevj001",2,"gallj002",9,"solan001",4,"andre001",6,"tavel001",8,"guzmr001",3,"white006",7
"HOU202009020","tavel001",8,"kinei001",5,"choos001",10,"solan001",7,"gallj002",9,"andre001",6,"dietd001",3,"tejea001",4,"mathj001",2
"HOU202009030","tavel001",8,"kinei001",5,"choos001",10,"solan001",4,"gallj002",9,"trevj001",2,"guzmr001",3,"andre001",6,"white006",7
"HOU202009052","rengl001",4,"uptoj001",7,"troum001",10,"renda001",5,"pujoa001",3,"adelj001",8,"wardt002",9,"barrf001",6,"bricj001",2
"HOU202009081","lastt001",4,"semim001",6,"laurr001",8,"olsom001",3,"grosr001",7,"canhm001",9,"davik003",10,"pindc001",5,"murps001",2
"HOU202009150","tavel001",8,"calhw001",10,"kinei001",5,"gallj002",9,"solan001",7,"odorr001",4,"tejea001",6,"guzmr001",3,"huffs001",2
"HOU202009160","tavel001",8,"calhw001",10,"kinei001",5,"gallj002",9,"solan001",7,"odorr001",4,"tejea001",6,"guzmr001",3,"mathj001",2
"HOU202009170","tavel001",8,"kinei001",5,"solan001",10,"gallj002",9,"odorr001",4,"aposs001",3,"tejea001",6,"white006",7,"mathj001",2
"HOU202009180","rojaj001",4,"vanmj001",5,"walkc002",3,"calhk001",9,"perad001",7,"ahmen001",6,"smitp002",10,"varsd001",8,"kellc002",2
"HOU202009190","varsd001",2,"vanmj001",4,"rojaj001",6,"calhk001",9,"escoe001",5,"perad001",7,"smitp002",3,"mathw001",10,"jay-j001",8
"HOU202009200","rojaj001",4,"smitp002",7,"walkc002",3,"calhk001",9,"escoe001",5,"perad001",10,"ahmen001",6,"varsd001",8,"kellc002",2
