"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"KCA202007310","merrw001",9,"mondr003",6,"peres002",2,"solej001",10,"franm004",5,"mcbrr001",3,"gorda001",7,"starb001",8,"lopen001",4
"KCA202008010","merrw001",7,"solej001",9,"peres002",2,"mcbrr001",10,"franm004",5,"mondr003",6,"ohear001",3,"starb001",8,"lopen001",4
"KCA202008020","merrw001",4,"solej001",10,"peres002",3,"cordf003",9,"franm004",5,"gorda001",7,"mondr003",6,"philb002",8,"gallc001",2
"KCA202008050","merrw001",8,"solej001",9,"ohear001",3,"peres002",2,"gorda001",7,"mcbrr001",10,"mondr003",6,"franm004",5,"lopen001",4
"KCA202008060","merrw001",9,"solej001",10,"peres002",2,"ohear001",3,"mondr003",6,"gorda001",7,"franm004",5,"lopen001",4,"heatn002",8
"KCA202008070","merrw001",9,"solej001",10,"peres002",2,"mcbrr001",3,"mondr003",6,"gorda001",7,"franm004",5,"lopen001",4,"heatn002",8
"KCA202008080","merrw001",9,"solej001",10,"peres002",2,"ohear001",3,"mondr003",6,"gorda001",7,"franm004",5,"lopen001",4,"philb002",8
"KCA202008090","merrw001",8,"solej001",9,"peres002",10,"dozih001",3,"mondr003",6,"gorda001",7,"franm004",5,"lopen001",4,"gallc001",2
"KCA202008191","merrw001",8,"lopen001",4,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"gallc001",2
"KCA202008192","merrw001",8,"lopen001",4,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"philb002",7,"mondr003",6,"vilom001",2
"KCA202008210","merrw001",8,"lopen001",4,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"gallc001",2
"KCA202008220","merrw001",8,"lopen001",4,"dozih001",9,"solej001",10,"mcbrr001",3,"franm004",5,"gorda001",7,"mondr003",6,"gallc001",2
"KCA202008230","merrw001",9,"lopen001",4,"dozih001",3,"solej001",10,"franm004",5,"gorda001",7,"mondr003",6,"starb001",8,"vilom001",2
"KCA202008310","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4,"gallc001",2
"KCA202009010","merrw001",4,"dozih001",7,"solej001",9,"ohear001",3,"franm004",5,"mcbrr001",10,"lopen001",6,"starb001",8,"vilom001",2
"KCA202009020","merrw001",8,"dozih001",9,"solej001",10,"franm004",5,"mcbrr001",3,"gorda001",7,"mondr003",6,"lopen001",4,"gallc001",2
"KCA202009030","merrw001",9,"dozih001",3,"ohear001",10,"franm004",5,"gorda001",7,"olive001",8,"lopen001",4,"mondr003",6,"gallc001",2
"KCA202009040","merrw001",9,"dozih001",3,"solej001",10,"franm004",5,"gorda001",7,"olive001",8,"lopen001",4,"mondr003",6,"vilom001",2
"KCA202009050","merrw001",4,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"starb001",8,"gallc001",2
"KCA202009060","merrw001",7,"dozih001",3,"franm004",5,"mcbrr001",10,"starb001",8,"olive001",9,"mondr003",6,"gallc001",2,"lopen001",4
"KCA202009110","merrw001",9,"mondr003",6,"peres002",2,"franm004",5,"dozih001",3,"mcbrr001",10,"olive001",7,"starb001",8,"lopen001",4
"KCA202009120","merrw001",9,"mondr003",6,"peres002",2,"franm004",10,"dozih001",3,"gorda001",7,"gutik001",5,"olive001",8,"lopen001",4
"KCA202009130","merrw001",9,"mondr003",6,"peres002",2,"franm004",10,"dozih001",3,"gorda001",7,"gutik001",5,"heatn002",8,"lopen001",4
"KCA202009210","merrw001",9,"mondr003",6,"peres002",2,"solej001",10,"franm004",5,"dozih001",3,"gorda001",7,"starb001",8,"lopen001",4
"KCA202009220","merrw001",9,"mondr003",6,"peres002",2,"solej001",10,"franm004",5,"dozih001",3,"olive001",7,"starb001",8,"lopen001",4
"KCA202009230","merrw001",9,"mondr003",6,"peres002",2,"solej001",10,"franm004",5,"dozih001",3,"gorda001",7,"cordf003",8,"lopen001",4
"KCA202009240","merrw001",9,"mondr003",6,"peres002",2,"franm004",5,"dozih001",3,"ohear001",10,"gorda001",7,"cordf003",8,"lopen001",4
"KCA202009250","merrw001",9,"mondr003",6,"peres002",2,"franm004",5,"ohear001",10,"dozih001",3,"gorda001",7,"cordf003",8,"lopen001",4
"KCA202009260","merrw001",9,"mondr003",6,"peres002",2,"franm004",5,"dozih001",3,"mcbrr001",10,"gorda001",7,"olive001",8,"lopen001",4
"KCA202009270","gorda001",7,"merrw001",9,"mondr003",6,"peres002",2,"franm004",5,"dozih001",3,"mcbrr001",10,"olive001",8,"lopen001",4
