"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"KCA202007310","andet001",6,"moncy001",5,"abrej003",3,"grany001",10,"jimee001",7,"robel002",8,"mccaj001",2,"engea001",9,"madrn001",4
"KCA202008010","robel002",8,"moncy001",5,"abrej003",3,"grany001",2,"encae001",10,"jimee001",7,"garcl004",6,"engea001",9,"madrn001",4
"KCA202008020","robel002",8,"moncy001",5,"abrej003",3,"grany001",2,"encae001",10,"jimee001",7,"delmn001",9,"mendd002",6,"madrn001",4
"KCA202008050","bryak001",5,"rizza001",3,"baezj001",6,"contw001",10,"schwk001",7,"boted002",4,"heywj001",9,"hoern001",8,"carav001",2
"KCA202008060","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"carav001",10,"hoern001",4,"happi001",8
"KCA202008070","keplm001",9,"polaj001",6,"sanom001",3,"rosae001",10,"cavej001",7,"gonzm002",4,"garvm001",2,"adrie001",5,"buxtb001",8
"KCA202008080","garvm001",2,"keplm001",9,"cruzn002",10,"sanom001",3,"rosae001",7,"gonzm002",5,"arral001",4,"buxtb001",8,"adrie001",6
"KCA202008090","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"sanom001",3,"arral001",4,"buxtb001",8,"avila001",2
"KCA202008191","vottj001",3,"castn001",9,"winkj002",7,"suare001",5,"mousm001",10,"akiys001",8,"vanmj001",4,"galvf001",6,"barnt001",2
"KCA202008192","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"akiys001",7,"galvf001",6,"casac001",2,"jankt001",8
"KCA202008210","gonzm002",5,"cavej001",8,"cruzn002",10,"sanom001",3,"rosae001",7,"vargi001",4,"adrie001",6,"keplm001",9,"jeffr002",2
"KCA202008220","keplm001",9,"polaj001",6,"rosae001",10,"gonzm002",5,"cavej001",8,"sanom001",3,"arral001",4,"wadel001",7,"avila001",2
"KCA202008230","polaj001",6,"keplm001",9,"cruzn002",10,"sanom001",3,"rosae001",7,"gonzm002",5,"vargi001",4,"cavej001",8,"jeffr002",2
"KCA202008310","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"luplj001",7,"perer003",2,"deshd002",8
"KCA202009010","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"perer003",2,"deshd002",8
"KCA202009020","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"perer003",2,"deshd002",8
"KCA202009030","andet001",6,"jimee001",7,"grany001",2,"abrej003",3,"encae001",10,"moncy001",5,"robel002",8,"mendd002",4,"engea001",9
"KCA202009040","andet001",6,"moncy001",5,"abrej003",3,"encae001",10,"robel002",8,"jimee001",7,"mccaj001",2,"mazan001",9,"madrn001",4
"KCA202009050","andet001",6,"grany001",3,"abrej003",10,"jimee001",7,"moncy001",5,"robel002",8,"mccaj001",2,"engea001",9,"madrn001",4
"KCA202009060","andet001",6,"grany001",2,"abrej003",3,"encae001",10,"jimee001",7,"robel002",8,"mazan001",9,"mendd002",4,"sancc001",5
"KCA202009110","gonze004",6,"newmk001",4,"hayek001",5,"reynb001",8,"morac001",10,"bellj005",3,"stalj001",2,"fraza001",7,"tuckc001",9
"KCA202009120","gonze004",6,"fraza001",7,"hayek001",5,"morac001",10,"bellj005",3,"polag001",9,"reynb001",8,"newmk001",4,"stalj001",2
"KCA202009130","fraza001",4,"newmk001",6,"morac001",10,"bellj005",3,"polag001",9,"reynb001",7,"riddj001",5,"tuckc001",8,"murpj001",2
"KCA202009210","wongk001",4,"edmat001",5,"goldp001",3,"dejop001",6,"moliy001",2,"carpm002",10,"oneit001",7,"fowld001",9,"carld002",8
"KCA202009220","wongk001",4,"edmat001",6,"goldp001",3,"carpm002",5,"moliy001",2,"millb002",10,"fowld001",9,"carld002",7,"badeh001",8
"KCA202009230","wongk001",4,"edmat001",5,"goldp001",3,"dejop001",6,"moliy001",2,"raver001",10,"fowld001",9,"carld002",7,"badeh001",8
"KCA202009240","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"goodn002",4,"dixob001",7,"romia002",2,"parei001",5,"camed001",9
"KCA202009250","reyev001",8,"castw003",6,"cabrm001",10,"casth001",3,"goodn002",4,"stewc002",7,"haase001",2,"parei001",5,"camed001",9
"KCA202009260","casth001",3,"castw003",6,"cabrm001",10,"stewc002",7,"goodn002",4,"romia002",2,"parei001",5,"hilld002",8,"camed001",9
"KCA202009270","reyev001",8,"camed001",9,"goodn002",6,"dixob001",3,"stewc002",10,"bonij002",7,"haase001",2,"parei001",5,"alcas002",4
