"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"LAN202007230","muncm001",3,"bettm001",9,"bellc002",8,"turnj001",5,"seagc001",6,"herne001",4,"pedej001",7,"polla001",10,"barna001",2
"LAN202007240","bettm001",9,"muncm001",3,"turnj001",5,"bellc002",8,"herne001",4,"seagc001",6,"taylc001",7,"pedej001",10,"smitw003",2
"LAN202007250","muncm001",3,"bettm001",9,"bellc002",8,"turnj001",5,"seagc001",6,"taylc001",10,"pedej001",7,"herne001",4,"barna001",2
"LAN202007260","bettm001",9,"muncm001",3,"turnj001",5,"bellc002",8,"taylc001",7,"seagc001",6,"herne001",4,"polla001",10,"smitw003",2
"LAN202008070","pedej001",7,"bettm001",9,"bellc002",8,"turnj001",10,"seagc001",6,"muncm001",3,"taylc001",4,"riose001",5,"smitw003",2
"LAN202008080","pedej001",10,"bettm001",9,"bellc002",8,"turnj001",5,"muncm001",3,"polla001",7,"taylc001",6,"herne001",4,"barna001",2
"LAN202008090","pedej001",7,"bettm001",9,"bellc002",8,"turnj001",5,"muncm001",4,"polla001",10,"beatm001",3,"smitw003",2,"herne001",6
"LAN202008100","pedej001",7,"bettm001",9,"bellc002",8,"turnj001",5,"muncm001",4,"taylc001",6,"beatm001",10,"riose001",3,"smitw003",2
"LAN202008110","pedej001",7,"bettm001",9,"bellc002",3,"turnj001",5,"polla001",8,"muncm001",10,"taylc001",6,"herne001",4,"barna001",2
"LAN202008120","pedej001",7,"bettm001",9,"bellc002",10,"turnj001",5,"muncm001",4,"polla001",8,"taylc001",6,"riose001",3,"smitw003",2
"LAN202008130","bettm001",9,"seagc001",10,"turnj001",5,"bellc002",3,"polla001",8,"muncm001",4,"pedej001",7,"taylc001",6,"barna001",2
"LAN202008170","bettm001",10,"seagc001",6,"turnj001",5,"bellc002",8,"polla001",7,"muncm001",4,"pedej001",9,"beatm001",3,"barna001",2
"LAN202008180","bettm001",9,"seagc001",6,"turnj001",5,"polla001",10,"bellc002",8,"taylc001",7,"muncm001",3,"herne001",4,"barna001",2
"LAN202008210","pedej001",9,"seagc001",6,"turnj001",5,"bellc002",10,"muncm001",4,"polla001",8,"beatm001",3,"taylc001",7,"barna001",2
"LAN202008220","bettm001",9,"seagc001",6,"turnj001",10,"polla001",8,"bellc002",3,"taylc001",7,"muncm001",5,"herne001",4,"barna001",2
"LAN202008230","bettm001",9,"seagc001",6,"taylc001",7,"bellc002",8,"pedej001",10,"muncm001",5,"herne001",4,"beatm001",3,"smitw003",2
"LAN202009010","bettm001",9,"seagc001",6,"polla001",10,"muncm001",3,"taylc001",8,"smitw003",2,"herne001",7,"riose001",5,"lux-g001",4
"LAN202009020","bettm001",9,"seagc001",6,"polla001",8,"muncm001",3,"taylc001",7,"pedej001",10,"smitw003",2,"riose001",5,"lux-g001",4
"LAN202009030","bettm001",9,"seagc001",6,"muncm001",5,"bellc002",3,"taylc001",8,"pedej001",7,"beatm001",10,"herne001",4,"barna001",2
"LAN202009040","bettm001",9,"seagc001",10,"muncm001",5,"bellc002",3,"polla001",8,"pedej001",7,"taylc001",6,"smitw003",2,"lux-g001",4
"LAN202009050","bettm001",9,"seagc001",6,"muncm001",3,"bellc002",8,"pedej001",10,"polla001",7,"lux-g001",4,"riose001",5,"barna001",2
"LAN202009060","lux-g001",4,"seagc001",6,"muncm001",5,"bellc002",3,"polla001",7,"smitw003",2,"taylc001",8,"beatm001",10,"herne001",9
"LAN202009120","bettm001",9,"seagc001",6,"polla001",7,"muncm001",5,"smitw003",2,"bellc002",3,"taylc001",8,"herne001",4,"lux-g001",10
"LAN202009130","bettm001",9,"seagc001",6,"polla001",7,"muncm001",5,"smitw003",2,"bellc002",3,"taylc001",4,"pedej001",10,"herne001",8
"LAN202009220","bettm001",9,"seagc001",6,"muncm001",3,"bellc002",8,"smitw003",2,"taylc001",4,"pedej001",10,"polla001",7,"riose001",5
"LAN202009230","bettm001",9,"seagc001",6,"turnj001",5,"muncm001",3,"smitw003",2,"polla001",10,"bellc002",8,"taylc001",7,"herne001",4
"LAN202009240","bettm001",9,"seagc001",6,"turnj001",5,"muncm001",3,"smitw003",2,"bellc002",8,"polla001",7,"pedej001",10,"taylc001",4
"LAN202009250","bettm001",9,"seagc001",6,"turnj001",5,"muncm001",3,"smitw003",10,"bellc002",8,"polla001",7,"herne001",4,"barna001",2
"LAN202009260","bettm001",9,"seagc001",10,"turnj001",5,"muncm001",4,"bellc002",3,"smitw003",2,"pedej001",7,"taylc001",6,"polla001",8
"LAN202009270","polla001",8,"seagc001",6,"turnj001",5,"muncm001",3,"smitw003",10,"taylc001",4,"herne001",9,"barna001",2,"pedej001",7
