"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"LAN202007230","yastm001",8,"florw001",5,"sandp001",3,"dicka001",7,"pench001",10,"mccaj002",9,"dubom001",4,"crawb001",6,"heint001",2
"LAN202007240","yastm001",8,"florw001",5,"sandp001",3,"dicka001",10,"mccaj002",7,"dubom001",4,"crawb001",6,"davij008",9,"branr002",2
"LAN202007250","slata001",7,"solad001",5,"florw001",4,"ruf-d001",3,"pench001",10,"yastm001",8,"davij008",9,"dubom001",6,"heint001",2
"LAN202007260","yastm001",7,"florw001",4,"ruf-d001",3,"pench001",10,"solad001",5,"heint001",2,"davij008",9,"crawb001",6,"dubom001",8
"LAN202008070","slata001",9,"yastm001",8,"solad001",4,"longe001",5,"florw001",10,"beltb001",3,"ruf-d001",7,"tromc001",2,"dubom001",6
"LAN202008080","slata001",9,"solad001",4,"yastm001",8,"longe001",5,"florw001",3,"pench001",7,"ruf-d001",10,"tromc001",2,"dubom001",6
"LAN202008090","yastm001",8,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"sandp001",10,"crawb001",6,"slata001",9,"heint001",2
"LAN202008100","tatif002",6,"grist001",8,"machm001",5,"phamt001",10,"hosme001",3,"myerw001",9,"cronj001",4,"hedga001",2,"profj001",7
"LAN202008110","tatif002",6,"grist001",8,"machm001",5,"phamt001",10,"hosme001",3,"myerw001",9,"cronj001",4,"hedga001",2,"profj001",7
"LAN202008120","tatif002",6,"grist001",8,"machm001",5,"phamt001",7,"cronj001",3,"myerw001",9,"garcg002",10,"mejif001",2,"profj001",4
"LAN202008130","tatif002",6,"machm001",5,"phamt001",10,"hosme001",3,"myerw001",9,"profj001",4,"olive001",8,"hedga001",2,"matej003",7
"LAN202008170","crawj002",6,"moord002",9,"lewik001",8,"seagk001",5,"nolaa002",2,"voged001",10,"white005",3,"longs001",4,"lopet001",7
"LAN202008180","crawj002",6,"moord002",9,"lewik001",8,"seagk001",5,"nolaa002",2,"voged001",10,"white005",3,"longs001",4,"gordd002",7
"LAN202008210","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"kempm001",10,"mcmar001",4,"hills005",8,"buted001",2
"LAN202008220","tapir001",7,"stort001",6,"blacc001",10,"arenn001",5,"murpd006",3,"mcmar001",4,"hampg001",8,"hills005",9,"woltt001",2
"LAN202008230","tapir001",10,"hampg001",8,"blacc001",9,"stort001",6,"murpd006",3,"mcmar001",5,"rodgb002",4,"hills005",7,"diaze005",2
"LAN202009010","locat001",7,"martk001",4,"walkc002",3,"escoe001",5,"calhk001",9,"ahmen001",6,"youna003",10,"varsd001",8,"kellc002",2
"LAN202009020","calhk001",9,"martk001",4,"walkc002",3,"perad001",7,"escoe001",5,"rojaj001",10,"ahmen001",6,"varsd001",8,"kellc002",2
"LAN202009030","locat001",8,"calhk001",9,"walkc002",3,"perad001",7,"ahmen001",6,"rojaj001",4,"youna003",5,"varsd001",10,"kellc002",2
"LAN202009040","tapir001",10,"stort001",6,"arenn001",5,"blacc001",9,"pillk001",8,"murpd006",3,"hampg001",4,"hills005",7,"woltt001",2
"LAN202009050","tapir001",7,"stort001",6,"arenn001",5,"blacc001",10,"pillk001",8,"murpd006",3,"hampg001",4,"hills005",9,"woltt001",2
"LAN202009060","tapir001",7,"stort001",6,"arenn001",5,"blacc001",9,"pillk001",8,"kempm001",10,"fuenj001",3,"hampg001",4,"diaze005",2
"LAN202009120","sprig001",8,"brega001",5,"branm003",7,"gurry001",3,"tuckk001",10,"corrc001",6,"diaza003",4,"reddj001",9,"maldm001",2
"LAN202009130","sprig001",9,"brega001",5,"branm003",7,"corrc001",6,"reddj001",10,"maldm001",2,"toroa001",3,"stram002",8,"mayfj001",4
"LAN202009220","lastt001",10,"grosr001",7,"semim001",6,"olsom001",3,"canhm001",8,"lambj001",5,"piscs001",9,"kempt001",4,"murps001",2
"LAN202009230","lastt001",4,"grosr001",7,"semim001",6,"lambj001",5,"canhm001",3,"piscs001",9,"davik003",10,"laurr001",8,"heimj001",2
"LAN202009240","lastt001",4,"grosr001",7,"semim001",6,"olsom001",3,"canhm001",10,"laurr001",8,"lambj001",5,"piscs001",9,"murps001",2
"LAN202009250","fletd002",6,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"stasm001",2,"wardt002",9,"rengl001",4
"LAN202009260","fletd002",5,"walsj001",9,"pujoa001",3,"ohtas001",10,"stasm001",2,"wardt002",7,"adelj001",8,"jonej007",4,"sotoe001",6
"LAN202009270","fletd002",5,"walsj001",3,"wardt002",9,"ohtas001",10,"adelj001",8,"bemba001",2,"uptoj001",7,"jonej007",4,"sotoe001",6
