"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"MIA202008052","villj001",6,"bertj001",4,"dickc002",7,"aguij001",10,"andeb006",3,"joycm001",9,"lavar001",2,"alvae001",5,"sierm002",8
"MIA202008060","villj001",10,"bertj001",6,"cervf001",2,"aguij001",3,"andeb006",5,"brinl001",9,"forsl001",4,"sierm002",7,"harrm003",8
"MIA202008140","villj001",6,"aguij001",3,"dickc002",10,"joycm001",7,"andeb006",5,"cervf001",2,"alvae001",4,"bertj001",9,"sierm002",8
"MIA202008150","villj001",6,"aguij001",3,"cervf001",2,"andeb006",10,"forsl001",4,"brinl001",7,"bertj001",9,"alvae001",5,"harrm003",8
"MIA202008160","villj001",6,"aguij001",10,"andeb006",5,"diazl001",3,"brinl001",7,"bertj001",9,"forsl001",4,"lavar001",2,"harrm003",8
"MIA202008170","villj001",6,"aguij001",10,"joycm001",7,"andeb006",5,"diazl001",3,"cervf001",2,"alvae001",4,"bertj001",9,"sierm002",8
"MIA202008180","villj001",6,"joycm001",7,"aguij001",3,"dickc002",10,"andeb006",5,"cervf001",2,"forsl001",4,"sierm002",9,"harrm003",8
"MIA202008190","sierm002",8,"aguij001",3,"dickc002",7,"joycm001",10,"andeb006",5,"cervf001",2,"alvae001",6,"forsl001",4,"brinl001",9
"MIA202008222","villj001",6,"sierm002",8,"joycm001",7,"dickc002",10,"andeb006",5,"sancj003",9,"cervf001",2,"forsl001",3,"bertj001",4
"MIA202008252","bertj001",8,"aguij001",10,"dickc002",7,"andeb006",5,"diazl001",3,"villj001",6,"forsl001",4,"sancj003",9,"navab001",2
"MIA202008280","bertj001",8,"dickc002",7,"andeb006",5,"coopg002",10,"villj001",4,"alfaj002",2,"diazl001",3,"brinl001",9,"rojam002",6
"MIA202008290","bertj001",8,"villj001",4,"coopg002",10,"andeb006",5,"diazl001",3,"alfaj002",2,"brinl001",7,"sancj003",9,"rojam002",6
"MIA202008300","bertj001",8,"dickc002",7,"coopg002",3,"andeb006",5,"brinl001",9,"villj001",4,"rojam002",6,"diazl001",10,"wallc001",2
"MIA202009010","dickc002",7,"marts002",8,"coopg002",10,"joycm001",9,"andeb006",5,"diazl001",3,"rojam002",6,"alfaj002",2,"bertj001",4
"MIA202009020","bertj001",4,"marts002",8,"coopg002",3,"aguij001",10,"andeb006",5,"dickc002",7,"brinl001",9,"alfaj002",2,"chisj001",6
"MIA202009100","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"rojam002",6,"chisj001",4,"alfaj002",2
"MIA202009111","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"rojam002",6,"chisj001",4,"wallc001",2
"MIA202009112","dickc002",7,"marts002",8,"joycm001",10,"andeb006",5,"coopg002",3,"diazi001",4,"rojam002",6,"brinl001",9,"alfaj002",2
"MIA202009120","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"diazi001",4,"rojam002",6,"alfaj002",2
"MIA202009131","dickc002",7,"marts002",8,"joycm001",10,"andeb006",5,"coopg002",3,"diazi001",4,"brinl001",9,"chisj001",6,"alfaj002",2
"MIA202009132","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"chisj001",4,"rojam002",6,"wallc001",2
"MIA202009140","dickc002",7,"marts002",8,"aguij001",10,"joycm001",9,"coopg002",3,"chisj001",6,"rojam002",5,"diazi001",4,"wallc001",2
"MIA202009150","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"rojam002",6,"chisj001",4,"alfaj002",2
"MIA202009160","rojam002",6,"aguij001",10,"andeb006",5,"coopg002",3,"brinl001",9,"alfaj002",2,"rodrs002",7,"chisj001",4,"harrm003",8
"MIA202009170","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"rojam002",6,"chisj001",4,"wallc001",2
"MIA202009181","dickc002",7,"marts002",8,"aguij001",3,"joycm001",9,"andeb006",5,"coopg002",10,"rojam002",6,"chisj001",4,"alfaj002",2
"MIA202009182","dickc002",7,"marts002",8,"coopg002",3,"aguij001",10,"andeb006",5,"rojam002",6,"brinl001",9,"rodrs002",4,"wallc001",2
"MIA202009190","rojam002",6,"marts002",8,"coopg002",3,"aguij001",10,"andeb006",5,"brinl001",9,"dickc002",7,"rodrs002",4,"wallc001",2
"MIA202009201","dickc002",7,"aguij001",3,"coopg002",10,"andeb006",5,"joycm001",9,"rojam002",6,"bertj001",4,"brinl001",8,"alfaj002",2
"MIA202009202","bertj001",4,"marts002",8,"coopg002",3,"andeb006",5,"aguij001",10,"joycm001",7,"brinl001",9,"wallc001",2,"chisj001",6
