"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"MIA202008052","albeh001",4,"santa003",9,"iglej001",10,"nuner001",3,"sevep001",2,"stewd002",7,"valap001",5,"velaa001",6,"mullc002",8
"MIA202008060","albeh001",4,"santa003",9,"iglej001",6,"smitd007",7,"nuner001",10,"siscc001",2,"haysa001",8,"davic003",3,"valap001",5
"MIA202008140","swand001",6,"darnt001",2,"freef001",3,"ozunm001",10,"markn001",9,"duvaa001",7,"camaj001",4,"rilea001",5,"incie001",8
"MIA202008150","swand001",6,"darnt001",2,"freef001",3,"ozunm001",10,"duvaa001",9,"camaj001",5,"rilea001",7,"hecha001",4,"incie001",8
"MIA202008160","swand001",6,"freef001",3,"ozunm001",10,"markn001",9,"duvaa001",7,"camaj001",4,"flowt001",2,"rilea001",5,"incie001",8
"MIA202008170","nimmb001",8,"mcnej002",10,"davij006",5,"confm001",9,"canor001",4,"alonp001",3,"smitd008",7,"ramow001",2,"rosaa003",6
"MIA202008180","nimmb001",8,"mcnej002",4,"davij006",5,"confm001",9,"canor001",10,"alonp001",3,"smitd008",7,"rosaa003",6,"nidot001",2
"MIA202008190","nimmb001",8,"confm001",9,"davij006",5,"smitd008",7,"canor001",10,"alonp001",3,"guill001",4,"ramow001",2,"rosaa003",6
"MIA202008222","turnt001",6,"eatoa002",9,"sotoj001",7,"cabra002",10,"thame001",3,"harrj002",5,"garcl006",4,"gomey001",2,"roblv001",8
"MIA202008252","nimmb001",8,"davij006",5,"confm001",9,"alonp001",10,"smitd008",3,"mcnej002",7,"rosaa003",6,"guill001",4,"sanca009",2
"MIA202008280","meada001",7,"loweb001",9,"diazy001",5,"choij001",3,"adamw002",6,"wendj002",4,"margm001",8,"tsuty001",10,"perem005",2
"MIA202008290","meada001",10,"loweb001",7,"diazy001",5,"choij001",3,"adamw002",6,"wendj002",4,"margm001",9,"kierk001",8,"perem005",2
"MIA202008300","wendj002",4,"choij001",3,"diazy001",5,"tsuty001",10,"adamw002",6,"ograb001",7,"renfh001",9,"kierk001",8,"smitk002",2
"MIA202009010","biggc002",4,"gricr001",8,"villj001",6,"guerv002",10,"tellr001",3,"gurrl001",7,"shawt001",5,"fishd001",9,"mcgur002",2
"MIA202009020","biggc002",8,"gricr001",10,"villj001",4,"hernt002",9,"tellr001",3,"gurrl001",7,"shawt001",5,"espis001",6,"jansd001",2
"MIA202009100","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",4,"knapa001",10,"bohma001",5,"hasea001",8
"MIA202009111","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",10,"bohma001",5,"hasea001",8
"MIA202009112","mccua001",7,"hoskr001",3,"harpb003",8,"realj001",10,"seguj002",4,"gossp001",9,"bohma001",5,"knapa001",2,"torrr001",6
"MIA202009120","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",4,"bohma001",5,"hasea001",8,"garlk001",7
"MIA202009131","mccua001",10,"seguj002",4,"harpb003",9,"bohma001",5,"gossp001",3,"knapa001",2,"hasea001",8,"garlk001",7,"torrr001",6
"MIA202009132","mccua001",7,"seguj002",4,"harpb003",10,"bohma001",5,"gregd001",6,"gossp001",3,"garlk001",9,"knapa001",2,"torrr001",8
"MIA202009140","mccua001",7,"harpb003",9,"bohma001",5,"gregd001",6,"seguj002",10,"gossp001",3,"hasea001",8,"kings001",4,"marcr001",2
"MIA202009150","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"bradj001",8,"dalbb001",3,"arroc001",4,"munoy001",7
"MIA202009160","verda001",8,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"munoy001",9,"dalbb001",3,"chavm001",7,"arroc001",4
"MIA202009170","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"plawk001",2,"bradj001",8,"munoy001",7,"dalbb001",3,"arroc001",4
"MIA202009181","turnt001",6,"sotoj001",7,"cabra002",3,"thame001",10,"gomey001",2,"garcl006",4,"kiebc001",5,"steva001",9,"roblv001",8
"MIA202009182","turnt001",6,"sotoj001",7,"cabra002",10,"suzuk001",2,"harrj002",4,"kiebc001",5,"nollj001",3,"taylm002",9,"roblv001",8
"MIA202009190","turnt001",6,"sotoj001",7,"cabra002",3,"thame001",10,"gomey001",2,"garcl006",4,"kiebc001",5,"steva001",9,"roblv001",8
"MIA202009201","turnt001",6,"sotoj001",7,"cabra002",10,"thame001",3,"holtb002",9,"gomey001",2,"garcl006",4,"kiebc001",5,"steva001",8
"MIA202009202","turnt001",6,"sotoj001",7,"cabra002",10,"suzuk001",2,"harrj002",4,"kiebc001",5,"nollj001",3,"taylm002",9,"roblv001",8
