"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"MIL202008030","healr001",10,"hiurk001",4,"yelic001",7,"garca003",8,"gyorj001",5,"smoaj001",3,"pinam001",2,"arcio002",6,"gameb001",9
"MIL202008040","sogae001",6,"hiurk001",4,"yelic001",7,"garca003",8,"smoaj001",3,"morrl001",10,"narvo001",2,"gameb001",9,"holtb002",5
"MIL202008070","holtb002",5,"hiurk001",4,"yelic001",7,"morrl001",10,"smoaj001",3,"gameb001",8,"narvo001",2,"mathm002",9,"arcio002",6
"MIL202008080","sogae001",10,"hiurk001",4,"yelic001",7,"morrl001",3,"garca003",8,"gameb001",9,"narvo001",2,"holtb002",5,"arcio002",6
"MIL202008090","sogae001",6,"hiurk001",4,"yelic001",7,"morrl001",10,"garca003",8,"smoaj001",3,"holtb002",5,"mathm002",9,"pinam001",2
"MIL202008100","sogae001",5,"hiurk001",10,"yelic001",7,"smoaj001",3,"garca003",8,"gameb001",9,"urial001",4,"narvo001",2,"arcio002",6
"MIL202008110","garca003",8,"hiurk001",4,"yelic001",7,"gyorj001",3,"braur002",10,"pinam001",2,"gameb001",9,"urial001",5,"arcio002",6
"MIL202008120","sogae001",6,"hiurk001",4,"yelic001",7,"garca003",8,"smoaj001",3,"braur002",10,"gameb001",9,"narvo001",2,"holtb002",5
"MIL202008240","garca003",8,"yelic001",7,"hiurk001",10,"smoaj001",3,"braur002",9,"narvo001",2,"urial001",4,"sogae001",5,"arcio002",6
"MIL202008250","garca003",8,"yelic001",10,"hiurk001",4,"smoaj001",3,"narvo001",2,"gameb001",9,"sogae001",5,"arcio002",6,"petej002",7
"MIL202008271","garca003",8,"yelic001",7,"hiurk001",10,"smoaj001",3,"gameb001",9,"narvo001",2,"arcio002",6,"petej002",4,"sogae001",5
"MIL202008272","braur002",9,"yelic001",10,"hiurk001",4,"gyorj001",3,"garca003",8,"pinam001",2,"mathm002",7,"urial001",5,"arcio002",6
"MIL202008280","urial001",5,"hiurk001",4,"gyorj001",3,"braur002",9,"garca003",10,"mathm002",7,"arcio002",6,"gameb001",8,"nottj001",2
"MIL202008290","urial001",4,"yelic001",7,"hiurk001",10,"smoaj001",3,"narvo001",2,"gameb001",8,"arcio002",6,"petej002",9,"sogae001",5
"MIL202008300","urial001",5,"yelic001",7,"gyorj001",3,"braur002",10,"hiurk001",4,"mathm002",9,"arcio002",6,"gameb001",8,"nottj001",2
"MIL202008310","urial001",6,"yelic001",7,"hiurk001",4,"smoaj001",3,"gameb001",8,"gyorj001",10,"narvo001",2,"petej002",9,"sogae001",5
"MIL202009010","gameb001",9,"yelic001",10,"hiurk001",4,"smoaj001",3,"garca003",8,"narvo001",2,"sogae001",5,"arcio002",6,"petej002",7
"MIL202009020","gameb001",9,"yelic001",7,"hiurk001",10,"smoaj001",3,"garca003",8,"narvo001",2,"urial001",4,"sogae001",5,"arcio002",6
"MIL202009110","garca003",8,"hiurk001",4,"yelic001",7,"gyorj001",3,"braur002",10,"arcio002",6,"urial001",5,"taylt002",9,"nottj001",2
"MIL202009120","garca003",8,"yelic001",7,"hiurk001",4,"gyorj001",3,"voged001",10,"braur002",9,"arcio002",6,"narvo001",2,"urial001",5
"MIL202009130","garca003",8,"yelic001",7,"hiurk001",4,"voged001",10,"gyorj001",3,"gameb001",9,"arcio002",6,"sogae001",5,"nottj001",2
"MIL202009141","garca003",8,"yelic001",10,"braur002",9,"gyorj001",3,"hiurk001",4,"arcio002",6,"urial001",5,"narvo001",2,"taylt002",7
"MIL202009142","garca003",8,"hiurk001",4,"yelic001",7,"braur002",9,"voged001",10,"gyorj001",3,"urial001",6,"petej002",5,"nottj001",2
"MIL202009150","garca003",8,"yelic001",7,"braur002",9,"voged001",10,"hiurk001",4,"gyorj001",3,"petej002",5,"arcio002",6,"narvo001",2
"MIL202009161","garca003",8,"yelic001",7,"hiurk001",4,"voged001",10,"gyorj001",3,"gameb001",9,"petej002",5,"arcio002",6,"narvo001",2
"MIL202009162","garca003",8,"yelic001",7,"braur002",9,"hiurk001",4,"voged001",10,"gyorj001",3,"arcio002",6,"urial001",5,"nottj001",2
"MIL202009180","garca003",10,"yelic001",7,"braur002",9,"gyorj001",3,"hiurk001",4,"taylt002",8,"arcio002",6,"urial001",5,"nottj001",2
"MIL202009190","garca003",8,"yelic001",7,"braur002",10,"gyorj001",3,"hiurk001",4,"taylt002",9,"arcio002",6,"urial001",5,"nottj001",2
"MIL202009200","garca003",8,"yelic001",7,"braur002",10,"voged001",3,"hiurk001",4,"gyorj001",5,"petej002",9,"arcio002",6,"narvo001",2
"MIL202009252","garca003",8,"yelic001",7,"braur002",9,"voged001",10,"hiurk001",4,"gyorj001",3,"sogae001",5,"arcio002",6,"nottj001",2
