"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"MIL202008030","robel002",8,"moncy001",5,"abrej003",3,"grany001",10,"jimee001",7,"mccaj001",2,"garcl004",6,"engea001",9,"madrn001",4
"MIL202008040","robel002",8,"moncy001",5,"abrej003",3,"grany001",2,"jimee001",7,"encae001",10,"mazan001",9,"garcl004",6,"madrn001",4
"MIL202008070","senzn001",8,"castn001",9,"suare001",5,"davim005",3,"casac001",2,"coloc002",4,"winkj002",10,"ervip001",7,"farmk001",6
"MIL202008080","ervip001",8,"castn001",9,"vottj001",3,"suare001",5,"davim005",10,"casac001",2,"winkj002",7,"galvf001",6,"farmk001",4
"MIL202008090","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"winkj002",10,"coloc002",4,"barnt001",2,"galvf001",6,"jankt001",8
"MIL202008100","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",3,"arral001",4,"adrie001",5,"buxtb001",8,"avila001",2
"MIL202008110","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"garvm001",2,"arral001",4,"sanom001",3,"buxtb001",8
"MIL202008120","garvm001",2,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"sanom001",3,"cavej001",9,"buxtb001",8,"arral001",4
"MIL202008240","vottj001",3,"castn001",9,"suare001",5,"davim005",10,"mousm001",4,"ervip001",8,"winkj002",7,"casac001",2,"farmk001",6
"MIL202008250","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"akiys001",8,"galvf001",6,"paytm001",7,"barnt001",2
"MIL202008271","akiys001",8,"castn001",9,"winkj002",10,"suare001",5,"mousm001",3,"galvf001",4,"paytm001",7,"garcj007",6,"casac001",2
"MIL202008272","akiys001",8,"castn001",9,"winkj002",10,"suare001",5,"mousm001",3,"galvf001",4,"paytm001",7,"farmk001",6,"barnt001",2
"MIL202008280","gonze004",6,"fraza001",7,"newmk001",4,"bellj005",3,"reynb001",10,"polag001",9,"riddj001",5,"stalj001",2,"martj009",8
"MIL202008290","gonze004",5,"tuckc001",8,"newmk001",6,"bellj005",3,"stalj001",2,"fraza001",4,"reynb001",7,"osunj001",10,"riddj001",9
"MIL202008300","gonze004",6,"fraza001",7,"newmk001",4,"bellj005",3,"polag001",10,"tuckc001",9,"riddj001",5,"murpj001",2,"martj009",8
"MIL202008310","gonze004",6,"fraza001",7,"newmk001",4,"bellj005",10,"morac001",3,"stalj001",2,"polag001",9,"osunj001",5,"tuckc001",8
"MIL202009010","reyev001",9,"schoj001",4,"cabrm001",10,"candj002",3,"goodn002",6,"jonej006",8,"stewc002",7,"greig001",2,"castw003",5
"MIL202009020","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"stewc002",7,"bonij002",9,"romia002",2,"parei001",5
"MIL202009110","happi001",8,"bryak001",5,"rizza001",3,"contw001",2,"schwk001",7,"boted002",4,"heywj001",9,"carav001",10,"hoern001",6
"MIL202009120","happi001",8,"bryak001",3,"contw001",2,"schwk001",7,"baezj001",6,"boted002",10,"heywj001",9,"vargi001",4,"hoern001",5
"MIL202009130","happi001",8,"rizza001",3,"contw001",10,"schwk001",7,"baezj001",6,"heywj001",9,"kipnj001",4,"carav001",2,"boted002",5
"MIL202009141","wongk001",4,"edmat001",9,"goldp001",3,"millb002",10,"dejop001",6,"raver001",7,"carpm002",5,"moliy001",2,"badeh001",8
"MIL202009142","wongk001",4,"edmat001",9,"goldp001",10,"millb002",5,"dejop001",6,"carpm002",3,"oneit001",7,"wietm001",2,"thoml002",8
"MIL202009150","edmat001",4,"dejop001",6,"goldp001",3,"raver001",9,"millb002",10,"moliy001",2,"carpm002",5,"oneit001",7,"badeh001",8
"MIL202009161","edmat001",4,"dejop001",6,"goldp001",3,"millb002",10,"carpm002",5,"oneit001",7,"willj006",9,"badeh001",8,"moliy001",2
"MIL202009162","edmat001",4,"dejop001",6,"goldp001",3,"millb002",5,"oneit001",7,"raver001",9,"carpm002",10,"badeh001",8,"wietm001",2
"MIL202009180","merrw001",9,"mondr003",6,"peres002",2,"franm004",5,"dozih001",3,"gorda001",7,"ohear001",10,"olive001",8,"lopen001",4
"MIL202009190","merrw001",9,"mondr003",6,"peres002",2,"dozih001",3,"gorda001",7,"franm004",5,"ohear001",10,"heatn002",8,"lopen001",4
"MIL202009200","merrw001",9,"mondr003",6,"peres002",2,"franm004",10,"dozih001",3,"gorda001",7,"olive001",8,"mejie001",5,"lopen001",4
"MIL202009252","wongk001",4,"edmat001",7,"goldp001",3,"carpm002",5,"fowld001",9,"millb002",10,"dejop001",6,"carld002",8,"wietm001",2
