"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"MIN202007280","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"garvm001",2,"arral001",4,"sanom001",3,"buxtb001",8
"MIN202007290","arral001",4,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"cavej001",8,"gonzm002",9,"avila001",2
"MIN202007300","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"garvm001",2,"arral001",4,"sanom001",3,"buxtb001",8
"MIN202007310","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"cavej001",8,"gonzm002",3,"arral001",4,"avila001",2
"MIN202008010","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"garvm001",2,"arral001",4,"sanom001",3,"gonzm002",5,"buxtb001",8
"MIN202008020","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"garvm001",2,"arral001",4,"sanom001",3,"gonzm002",5,"buxtb001",8
"MIN202008030","garvm001",2,"arral001",4,"cruzn002",10,"sanom001",3,"keplm001",9,"gonzm002",5,"cavej001",7,"buxtb001",8,"adrie001",6
"MIN202008040","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"arral001",4,"gonzm002",5,"avila001",2,"buxtb001",8
"MIN202008151","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"sanom001",3,"arral001",4,"buxtb001",8,"avila001",2
"MIN202008152","garvm001",2,"polaj001",6,"cruzn002",10,"gonzm002",4,"sanom001",3,"keplm001",9,"buxtb001",8,"cavej001",7,"adrie001",5
"MIN202008160","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"arral001",4,"sanom001",3,"buxtb001",8,"avila001",2
"MIN202008170","polaj001",6,"garvm001",2,"cruzn002",10,"rosae001",7,"gonzm002",4,"sanom001",3,"keplm001",9,"buxtb001",8,"adrie001",5
"MIN202008180","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"gonzm002",5,"arral001",4,"sanom001",3,"buxtb001",8,"avila001",2
"MIN202008190","polaj001",6,"garvm001",2,"cruzn002",10,"gonzm002",9,"sanom001",3,"rosae001",7,"adrie001",5,"buxtb001",8,"vargi001",4
"MIN202008200","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"cavej001",8,"adrie001",5,"vargi001",4,"jeffr002",2
"MIN202008310","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"arral001",4,"gonzm002",5,"cavej001",8,"jeffr002",2
"MIN202009010","sanom001",3,"polaj001",6,"cruzn002",10,"gonzm002",9,"rosae001",7,"adrie001",5,"buxtb001",8,"vargi001",4,"jeffr002",2
"MIN202009020","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"arral001",4,"cavej001",8,"jeffr002",2
"MIN202009041","polaj001",6,"donaj001",5,"cruzn002",10,"sanom001",3,"gonzm002",9,"adrie001",4,"rookb001",7,"cavej001",8,"jeffr002",2
"MIN202009050","polaj001",6,"donaj001",5,"cruzn002",10,"rookb001",9,"sanom001",3,"rosae001",7,"buxtb001",8,"gonzm002",4,"jeffr002",2
"MIN202009060","polaj001",6,"arral001",4,"sanom001",3,"rosae001",7,"rookb001",10,"wadel001",9,"cavej001",8,"adrie001",5,"astuw001",2
"MIN202009070","wadel001",3,"donaj001",5,"rookb001",10,"rosae001",7,"gonzm002",4,"buxtb001",8,"cavej001",9,"adrie001",6,"jeffr002",2
"MIN202009110","polaj001",6,"donaj001",5,"rosae001",7,"cruzn002",10,"sanom001",3,"cavej001",9,"buxtb001",8,"gonzm002",4,"jeffr002",2
"MIN202009120","polaj001",6,"donaj001",5,"cruzn002",10,"rosae001",7,"sanom001",3,"rookb001",9,"buxtb001",8,"gonzm002",4,"astuw001",2
"MIN202009130","keplm001",9,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"wadel001",8,"gonzm002",4,"jeffr002",2
"MIN202009220","buxtb001",8,"donaj001",5,"rosae001",7,"sanom001",3,"garvm001",2,"keplm001",9,"gonzm002",4,"jeffr002",10,"adrie001",6
"MIN202009230","buxtb001",8,"keplm001",9,"donaj001",5,"rosae001",10,"sanom001",3,"cavej001",7,"polaj001",6,"gonzm002",4,"jeffr002",2
"MIN202009250","keplm001",9,"donaj001",5,"cruzn002",10,"rosae001",7,"buxtb001",8,"sanom001",3,"polaj001",6,"garvm001",2,"gonzm002",4
"MIN202009260","keplm001",9,"arral001",4,"rosae001",7,"cruzn002",10,"cavej001",8,"polaj001",6,"gonzm002",3,"jeffr002",2,"adrie001",5
"MIN202009270","keplm001",9,"arral001",4,"cruzn002",10,"rosae001",7,"cavej001",8,"sanom001",3,"polaj001",6,"gonzm002",5,"avila001",2
