"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"MIN202007280","wongk001",4,"edmat001",5,"goldp001",3,"dejop001",6,"carpm002",10,"moliy001",2,"fowld001",9,"oneit001",7,"badeh001",8
"MIN202007290","wongk001",4,"edmat001",5,"goldp001",3,"dejop001",6,"oneit001",7,"moliy001",2,"fowld001",9,"raver001",10,"badeh001",8
"MIN202007300","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"zimmb001",7,"santd002",9,"leons001",2,"merco003",8
"MIN202007310","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"taylb003",2,"merco003",8
"MIN202008010","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"zimmb001",8,"santd002",9,"leons001",2,"johnd006",7
"MIN202008020","hernc005",4,"ramij003",5,"lindf001",10,"santc002",3,"freem002",6,"santd002",9,"zimmb001",7,"merco003",8,"taylb003",2
"MIN202008030","tuckc001",8,"newmk001",4,"bellj005",3,"osunj001",10,"reynb001",7,"evanp001",5,"hereg002",9,"stalj001",2,"gonze004",6
"MIN202008040","fraza001",4,"evanp001",5,"bellj005",10,"morac001",3,"reynb001",7,"polag001",9,"gonze004",6,"dysoj001",8,"murpj001",2
"MIN202008151","merrw001",8,"solej001",10,"peres002",2,"dozih001",9,"mcbrr001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4
"MIN202008152","merrw001",8,"solej001",9,"peres002",10,"dozih001",7,"ohear001",3,"franm004",5,"lopen001",4,"mondr003",6,"gallc001",2
"MIN202008160","merrw001",8,"lopen001",4,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"vilom001",2
"MIN202008170","merrw001",8,"lopen001",4,"peres002",2,"solej001",10,"dozih001",9,"mcbrr001",3,"franm004",5,"gorda001",7,"mondr003",6
"MIN202008180","garca003",8,"yelic001",7,"hiurk001",4,"smoaj001",3,"braur002",10,"narvo001",2,"gameb001",9,"urial001",6,"sogae001",5
"MIN202008190","braur002",9,"yelic001",7,"hiurk001",10,"gyorj001",5,"garca003",8,"pinam001",2,"smoaj001",3,"urial001",4,"arcio002",6
"MIN202008200","garca003",8,"yelic001",10,"hiurk001",4,"smoaj001",3,"braur002",9,"sogae001",5,"pinam001",2,"holtb002",7,"arcio002",6
"MIN202008310","andet001",6,"jimee001",7,"abrej003",3,"encae001",10,"mccaj001",2,"robel002",8,"mendd002",5,"engea001",9,"madrn001",4
"MIN202009010","andet001",6,"grany001",2,"abrej003",3,"encae001",10,"jimee001",7,"robel002",8,"mazan001",9,"sancc001",5,"madrn001",4
"MIN202009020","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"madrn001",4
"MIN202009041","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"stewc002",7,"demet001",9,"romia002",2,"parei001",5
"MIN202009050","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",9,"stewc002",7,"romia002",2,"parei001",5
"MIN202009060","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",7,"demet001",9,"greig001",2,"alcas002",5
"MIN202009070","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"stewc002",7,"bonij002",9,"romia002",2,"parei001",5
"MIN202009110","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"perer003",2,"deshd002",8
"MIN202009120","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"luplj001",9,"merco003",7,"perer003",2,"deshd002",8
"MIN202009130","lindf001",6,"hernc005",4,"ramij003",5,"santc002",3,"reyef001",10,"naqut001",9,"naylj001",7,"leons001",2,"merco003",8
"MIN202009220","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"dixob001",7,"goodn002",4,"romia002",2,"parei001",5,"camed001",9
"MIN202009230","reyev001",8,"castw003",6,"cabrm001",10,"candj002",3,"goodn002",4,"casth001",7,"haase001",2,"camed001",9,"parei001",5
"MIN202009250","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"mousm001",4,"winkj002",10,"senzn001",8,"galvf001",6,"barnt001",2
"MIN202009260","akiys001",7,"winkj002",9,"vottj001",3,"suare001",5,"mousm001",10,"galvf001",4,"goodb001",8,"farmk001",6,"casac001",2
"MIN202009270","aquia001",7,"castn001",9,"vottj001",10,"suare001",5,"mousm001",3,"senzn001",8,"farmk001",4,"garcj007",6,"casac001",2
