"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"NYA202007310","pillk001",9,"martj006",10,"dever001",5,"bogax001",6,"vazqc001",2,"verda001",7,"chavm001",3,"bradj001",8,"peraj003",4
"NYA202008010","benia002",7,"pillk001",10,"dever001",5,"bogax001",6,"morem001",3,"vazqc001",2,"verda001",9,"bradj001",8,"lin-t001",4
"NYA202008020","pillk001",7,"dever001",5,"martj006",9,"bogax001",6,"vazqc001",10,"chavm001",3,"plawk001",2,"bradj001",8,"peraj003",4
"NYA202008030","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"brucj001",10,"kings001",4,"hasea001",8
"NYA202008051","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",6,"kings001",4,"gossp001",5,"quinr003",8,"garlk001",10
"NYA202008110","swand001",6,"darnt001",10,"freef001",3,"ozunm001",9,"duvaa001",7,"camaj001",4,"rilea001",5,"flowt001",2,"incie001",8
"NYA202008120","swand001",6,"darnt001",2,"freef001",3,"ozunm001",10,"duvaa001",7,"markn001",9,"camaj001",4,"rilea001",5,"incie001",8
"NYA202008140","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"arauj001",4
"NYA202008150","pillk001",9,"dever001",5,"martj006",10,"bogax001",6,"vazqc001",2,"verda001",7,"chavm001",3,"bradj001",8,"peraj003",4
"NYA202008160","pillk001",8,"dever001",5,"martj006",9,"bogax001",6,"vazqc001",10,"verda001",7,"chavm001",3,"plawk001",2,"arauj001",4
"NYA202008170","pillk001",8,"dever001",5,"martj006",10,"bogax001",6,"vazqc001",2,"chavm001",3,"verda001",9,"peraj003",7,"arauj001",4
"NYA202008180","meada001",7,"loweb001",9,"diazy001",10,"choij001",3,"wendj002",4,"adamw002",6,"tsuty001",5,"kierk001",8,"perem005",2
"NYA202008190","meada001",7,"diazy001",5,"loweb001",4,"martj008",10,"choij001",3,"adamw002",6,"kierk001",8,"margm001",9,"zunim001",2
"NYA202008200","brosm001",3,"meada001",7,"diazy001",5,"martj008",10,"renfh001",9,"adamw002",6,"margm001",8,"wendj002",4,"zunim001",2
"NYA202008281","mcnej002",4,"davij006",5,"confm001",9,"alonp001",3,"canor001",10,"ramow001",2,"smitd008",7,"marij002",8,"rosaa003",6
"NYA202008290","nimmb001",7,"davij006",5,"confm001",9,"alonp001",10,"canor001",4,"ramow001",2,"smitd008",3,"rosaa003",6,"hamib001",8
"NYA202008301","nimmb001",8,"confm001",9,"davij006",5,"smitd008",7,"canor001",10,"alonp001",3,"mcnej002",4,"ramow001",2,"gimea001",6
"NYA202008310","arozr001",10,"loweb001",9,"diazy001",5,"choij001",3,"adamw002",6,"wendj002",4,"margm001",7,"kierk001",8,"perem005",2
"NYA202009010","choij001",3,"loweb001",4,"wendj002",5,"meada001",9,"tsuty001",10,"adamw002",6,"kierk001",8,"margm001",7,"perem005",2
"NYA202009020","margm001",8,"arozr001",7,"meada001",10,"brosm001",4,"adamw002",6,"wendj002",5,"renfh001",9,"smitk002",2,"lowen001",3
"NYA202009111","mullc002",8,"iglej001",6,"stewd002",9,"mounr001",7,"sevep001",2,"nuner001",10,"ruizr002",5,"albeh001",4,"valap001",3
"NYA202009112","mullc002",8,"iglej001",6,"stewd002",9,"mounr001",7,"ruizr002",5,"nuner001",10,"albeh001",4,"davic003",3,"siscc001",2
"NYA202009120","albeh001",4,"iglej001",10,"mounr001",7,"sevep001",2,"nuner001",3,"stewd002",9,"valap001",6,"ruizr002",5,"mullc002",8
"NYA202009130","albeh001",4,"iglej001",10,"mounr001",7,"sevep001",2,"nuner001",3,"stewd002",9,"valap001",6,"ruizr002",5,"mullc002",8
"NYA202009150","biggc002",5,"bichb001",6,"shawt001",3,"gricr001",8,"guerv002",10,"gurrl001",7,"panij002",4,"kirka001",2,"fishd001",9
"NYA202009160","biggc002",9,"bichb001",6,"shawt001",5,"gricr001",8,"guerv002",3,"gurrl001",7,"panij002",10,"villj001",4,"jansd001",2
"NYA202009170","biggc002",5,"bichb001",6,"gricr001",8,"hernt002",9,"guerv002",10,"shawt001",3,"gurrl001",7,"panij002",4,"jansd001",2
"NYA202009250","bertj001",4,"marts002",8,"aguij001",3,"andeb006",5,"coopg002",10,"brinl001",9,"dickc002",7,"rojam002",6,"wallc001",2
"NYA202009260","sierm002",7,"bertj001",5,"coopg002",3,"joycm001",10,"brinl001",9,"alfaj002",2,"chisj001",4,"harrm003",8,"rojam002",6
"NYA202009270","dickc002",10,"marts002",8,"aguij001",3,"andeb006",5,"joycm001",9,"bertj001",4,"chisj001",6,"wallc001",2,"sierm002",7
