"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"NYN202007240","acunr001",9,"albio001",4,"freef001",3,"ozunm001",7,"adamm002",10,"rilea001",5,"swand001",6,"incie001",8,"jacka002",2
"NYN202007250","acunr001",8,"albio001",4,"freef001",3,"ozunm001",10,"duvaa001",9,"swand001",6,"camaj001",5,"rilea001",7,"jacka002",2
"NYN202007260","acunr001",9,"albio001",4,"freef001",3,"ozunm001",7,"adamm002",10,"swand001",6,"rilea001",5,"incie001",8,"contw002",2
"NYN202007290","benia002",7,"martj006",10,"dever001",5,"morem001",3,"vazqc001",2,"verda001",9,"peraj003",4,"bradj001",8,"lin-t001",6
"NYN202007300","peraj003",5,"pillk001",8,"martj006",10,"bogax001",6,"vazqc001",2,"verda001",9,"chavm001",3,"benia002",7,"arauj001",4
"NYN202008070","villj001",6,"alvae001",4,"dickc002",7,"aguij001",10,"andeb006",5,"joycm001",9,"cervf001",2,"forsl001",3,"sierm002",8
"NYN202008080","villj001",6,"bertj001",4,"aguij001",3,"dickc002",7,"andeb006",5,"cervf001",2,"brinl001",9,"forsl001",10,"harrm003",8
"NYN202008090","villj001",10,"bertj001",6,"dickc002",7,"aguij001",3,"andeb006",5,"joycm001",9,"lavar001",2,"alvae001",4,"harrm003",8
"NYN202008100","turnt001",6,"harrj002",9,"casts001",4,"sotoj001",7,"kendh001",10,"cabra002",3,"kiebc001",5,"gomey001",2,"roblv001",8
"NYN202008110","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"kendh001",10,"cabra002",5,"thame001",3,"suzuk001",2,"roblv001",8
"NYN202008120","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"kendh001",10,"cabra002",5,"thame001",3,"suzuk001",2,"roblv001",8
"NYN202008130","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"kendh001",10,"cabra002",3,"kiebc001",5,"gomey001",2,"taylm002",8
"NYN202008251","villj001",4,"joycm001",10,"dickc002",7,"andeb006",5,"diazl001",3,"alfaj002",2,"sancj003",9,"brinl001",8,"rojam002",6
"NYN202008260","bertj001",8,"joycm001",9,"aguij001",10,"dickc002",7,"andeb006",5,"diazl001",3,"alfaj002",2,"villj001",4,"rojam002",6
"NYN202008282","voitl001",3,"frazc001",9,"hicka001",8,"sancg002",10,"taucm001",7,"andum001",5,"mercj002",6,"estrt001",4,"krate001",2
"NYN202008302","lemad001",10,"voitl001",3,"hicka001",8,"frazc001",9,"urshg001",5,"taucm001",7,"krate001",2,"wadet002",6,"estrt001",4
"NYN202008310","dickc002",7,"coopg002",10,"joycm001",9,"andeb006",5,"diazl001",3,"villj001",4,"rojam002",6,"alfaj002",2,"brinl001",8
"NYN202009030","lemad001",4,"voitl001",10,"hicka001",8,"frazc001",9,"fordm002",3,"urshg001",5,"gardb001",7,"higak001",2,"wadet002",6
"NYN202009040","mccua001",7,"hoskr001",3,"gregd001",6,"realj001",2,"seguj002",4,"brucj001",10,"bohma001",5,"gossp001",9,"quinr003",8
"NYN202009050","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"brucj001",7,"seguj002",6,"bohma001",5,"walkn001",4,"hasea001",8
"NYN202009060","mccua001",7,"hoskr001",3,"harpb003",9,"gregd001",6,"seguj002",4,"bohma001",5,"knapa001",2,"walkn001",10,"hasea001",8
"NYN202009070","mccua001",7,"hoskr001",3,"harpb003",8,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",10,"bohma001",5,"garlk001",9
"NYN202009080","albeh001",4,"iglej001",6,"nuner001",10,"sevep001",2,"mounr001",7,"stewd002",9,"valap001",3,"ruizr002",5,"mullc002",8
"NYN202009090","mullc002",8,"iglej001",6,"nuner001",10,"stewd002",9,"mounr001",7,"ruizr002",5,"albeh001",4,"siscc001",2,"valap001",3
"NYN202009180","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"swand001",6,"duvaa001",7,"rilea001",5,"markn001",9,"albio001",4
"NYN202009190","acunr001",8,"freef001",3,"ozunm001",7,"darnt001",10,"duvaa001",9,"albio001",4,"swand001",6,"rilea001",5,"flowt001",2
"NYN202009200","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"duvaa001",7,"albio001",4,"markn001",9,"swand001",6,"rilea001",5
"NYN202009210","tsuty001",10,"loweb001",4,"adamw002",6,"lowen001",3,"wendj002",5,"margm001",7,"kierk001",8,"philb002",9,"zunim001",2
"NYN202009220","tsuty001",10,"loweb001",4,"arozr001",7,"lowen001",3,"wendj002",5,"adamw002",6,"kierk001",8,"philb002",9,"perem005",2
"NYN202009230","tsuty001",10,"loweb001",4,"arozr001",7,"lowen001",3,"renfh001",9,"wendj002",5,"adamw002",6,"margm001",8,"zunim001",2
