"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"OAK202007240","semim001",6,"laurr001",8,"chapm001",5,"davik003",10,"olsom001",3,"pindc001",4,"canhm001",7,"piscs001",9,"murps001",2
"OAK202007250","semim001",6,"laurr001",8,"chapm001",5,"olsom001",3,"davik003",10,"piscs001",9,"grosr001",7,"pindc001",4,"allea001",2
"OAK202007260","semim001",6,"laurr001",8,"chapm001",5,"olsom001",3,"canhm001",9,"grosr001",7,"machv001",10,"murps001",2,"kempt001",4
"OAK202007270","semim001",6,"laurr001",8,"chapm001",5,"olsom001",3,"canhm001",7,"davik003",10,"piscs001",9,"murps001",2,"kempt001",4
"OAK202007280","semim001",6,"laurr001",8,"chapm001",5,"olsom001",3,"canhm001",9,"davik003",10,"grosr001",7,"pindc001",4,"allea001",2
"OAK202007290","semim001",6,"laurr001",10,"chapm001",5,"olsom001",3,"canhm001",8,"grosr001",7,"piscs001",9,"machv001",4,"murps001",2
"OAK202008040","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"murps001",2,"kempt001",4
"OAK202008050","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"allea001",2
"OAK202008060","semim001",6,"laurr001",8,"chapm001",5,"canhm001",7,"olsom001",3,"pindc001",4,"davik003",10,"piscs001",9,"murps001",2
"OAK202008070","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",9,"davik003",10,"grosr001",7,"murps001",2,"kempt001",4
"OAK202008080","semim001",6,"laurr001",8,"chapm001",5,"canhm001",7,"olsom001",3,"pindc001",4,"davik003",10,"piscs001",9,"murps001",2
"OAK202008090","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"allea001",2
"OAK202008190","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"murps001",2
"OAK202008200","semim001",6,"laurr001",8,"chapm001",5,"canhm001",7,"olsom001",3,"piscs001",9,"davik003",10,"pindc001",4,"murps001",2
"OAK202008210","semim001",6,"laurr001",8,"chapm001",5,"canhm001",7,"olsom001",3,"piscs001",9,"davik003",10,"pindc001",4,"murps001",2
"OAK202008220","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"allea001",2
"OAK202008230","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"murps001",2
"OAK202009040","laurr001",8,"lastt001",4,"chapm001",5,"canhm001",10,"olsom001",3,"grosr001",7,"piscs001",9,"machv001",6,"murps001",2
"OAK202009050","laurr001",8,"lastt001",4,"chapm001",5,"canhm001",10,"olsom001",3,"grosr001",7,"piscs001",9,"machv001",6,"heimj001",2
"OAK202009060","lastt001",4,"laurr001",8,"canhm001",10,"olsom001",3,"chapm001",5,"grosr001",7,"piscs001",9,"machv001",6,"murps001",2
"OAK202009070","lastt001",5,"laurr001",8,"canhm001",10,"olsom001",3,"grosr001",7,"piscs001",9,"kempt001",4,"murps001",2,"machv001",6
"OAK202009082","lastt001",5,"kempt001",4,"laurr001",8,"olsom001",3,"grosr001",7,"davik003",10,"canhm001",9,"machv001",6,"heimj001",2
"OAK202009090","lastt001",10,"semim001",6,"laurr001",8,"olsom001",3,"grosr001",7,"canhm001",9,"machv001",5,"murps001",2,"kempt001",4
"OAK202009100","lastt001",4,"semim001",6,"laurr001",8,"olsom001",3,"grosr001",7,"canhm001",9,"machv001",10,"pindc001",5,"heimj001",2
"OAK202009180","lastt001",10,"semim001",6,"canhm001",9,"olsom001",3,"lambj001",5,"murps001",2,"grosr001",7,"laurr001",8,"kempt001",4
"OAK202009190","lastt001",4,"semim001",6,"canhm001",10,"olsom001",3,"piscs001",9,"lambj001",5,"grosr001",7,"laurr001",8,"heimj001",2
"OAK202009200","lastt001",4,"semim001",6,"canhm001",7,"olsom001",3,"piscs001",9,"davik003",10,"lambj001",5,"laurr001",8,"murps001",2
"OAK202009250","semim001",6,"lastt001",4,"laurr001",8,"canhm001",7,"olsom001",3,"davik003",10,"piscs001",9,"lambj001",5,"murps001",2
"OAK202009261","semim001",6,"lastt001",4,"laurr001",8,"canhm001",7,"olsom001",3,"davik003",10,"piscs001",9,"lambj001",5,"heimj001",2
"OAK202009270","semim001",6,"lastt001",4,"davik003",10,"canhm001",7,"olsom001",3,"laurr001",8,"piscs001",9,"lambj001",5,"murps001",2
