"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"OAK202007240","fletd002",5,"troum001",8,"ohtas001",10,"uptoj001",7,"lastt001",4,"pujoa001",3,"castj006",2,"simma001",6,"goodb001",9
"OAK202007250","fletd002",5,"troum001",8,"uptoj001",10,"pujoa001",3,"wardt002",9,"lastt001",4,"hermm001",7,"stasm001",2,"simma001",6
"OAK202007260","fletd002",5,"troum001",8,"lastt001",4,"uptoj001",7,"walsj001",3,"simma001",6,"castj006",2,"thaim001",10,"goodb001",9
"OAK202007270","fletd002",5,"troum001",8,"ohtas001",10,"uptoj001",7,"lastt001",4,"pujoa001",3,"castj006",2,"simma001",6,"goodb001",9
"OAK202007280","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"mcmar001",4,"tapir001",10,"hills005",7,"woltt001",2
"OAK202007290","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",10,"mcmar001",3,"hills005",7,"hampg001",4,"woltt001",2
"OAK202008040","andre001",6,"solan001",4,"gallj002",9,"frazt001",3,"chirr001",2,"heins001",8,"kinei001",5,"garca005",7,"refsr001",10
"OAK202008050","choos001",7,"andre001",6,"gallj002",9,"frazt001",3,"chirr001",2,"solan001",4,"kinei001",5,"refsr001",10,"heins001",8
"OAK202008060","choos001",10,"andre001",6,"calhw001",7,"gallj002",9,"frazt001",3,"solan001",8,"kinei001",5,"tejea001",4,"mathj001",2
"OAK202008070","tuckk001",7,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"reddj001",9,"stram002",8,"maldm001",2
"OAK202008080","tuckk001",7,"altuj001",4,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"reddj001",9,"stram002",8,"garnd001",2
"OAK202008090","altuj001",4,"reddj001",9,"brega001",5,"branm003",10,"gurry001",3,"corrc001",6,"tuckk001",7,"stram002",8,"maldm001",2
"OAK202008190","locat001",7,"martk001",4,"marts002",8,"walkc002",3,"escoe001",5,"calhk001",9,"ahmen001",6,"cronk001",10,"kellc002",2
"OAK202008200","locat001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"ahmen001",6,"cronk001",10,"kellc002",2
"OAK202008210","fletd002",4,"lastt001",10,"troum001",8,"renda001",5,"goodb001",7,"pujoa001",3,"adelj001",9,"bemba001",2,"simma001",6
"OAK202008220","fletd002",6,"lastt001",3,"troum001",8,"renda001",5,"ohtas001",10,"goodb001",7,"adelj001",9,"castj006",2,"rengl001",4
"OAK202008230","fletd002",4,"lastt001",3,"troum001",8,"renda001",5,"ohtas001",10,"goodb001",7,"adelj001",9,"castj006",2,"simma001",6
"OAK202009040","tatif002",6,"machm001",5,"hosme001",3,"nolaa002",2,"myerw001",9,"cronj001",4,"campl002",10,"profj001",7,"grist001",8
"OAK202009050","tatif002",6,"machm001",5,"hosme001",3,"nolaa002",2,"myerw001",9,"cronj001",4,"matej003",10,"profj001",7,"grist001",8
"OAK202009060","grist001",8,"tatif002",6,"hosme001",10,"machm001",5,"morem001",3,"myerw001",9,"cronj001",4,"castj006",2,"profj001",7
"OAK202009070","sprig001",8,"reddj001",10,"branm003",7,"gurry001",3,"tuckk001",9,"corrc001",6,"diaza003",4,"toroa001",5,"garnd001",2
"OAK202009082","sprig001",10,"stram002",8,"branm003",7,"gurry001",3,"tuckk001",9,"corrc001",6,"diaza003",4,"toroa001",5,"garnd001",2
"OAK202009090","sprig001",8,"diaza003",4,"branm003",10,"gurry001",3,"tuckk001",7,"corrc001",6,"reddj001",9,"maldm001",2,"mayfj001",5
"OAK202009100","sprig001",8,"brega001",5,"branm003",7,"gurry001",3,"tuckk001",10,"corrc001",6,"reddj001",9,"diaza003",4,"maldm001",2
"OAK202009180","dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"longe001",5,"crawb001",6,"ruf-d001",9,"bartj003",2,"dubom001",8
"OAK202009190","slata001",10,"solad001",4,"ruf-d001",7,"florw001",3,"longe001",5,"dubom001",8,"robed004",6,"bartj003",2,"basal001",9
"OAK202009200","slata001",10,"florw001",4,"beltb001",3,"ruf-d001",7,"longe001",5,"dubom001",8,"crawb001",6,"basal001",9,"tromc001",2
"OAK202009250","crawj002",6,"lewik001",8,"seagk001",5,"frant002",4,"marmj001",10,"white005",3,"lopet001",7,"bishb001",9,"odomj001",2
"OAK202009261","crawj002",6,"frant002",4,"lewik001",8,"seagk001",5,"torrl001",2,"white005",3,"lopet001",10,"ervip001",9,"bishb001",7
"OAK202009270","crawj002",6,"lewik001",8,"seagk001",5,"frant002",4,"white005",3,"marmj001",10,"lopet001",7,"bishb001",9,"odomj001",2
