"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"PHI202007240","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"brucj001",10,"kings001",4,"quinr003",8
"PHI202007250","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",5,"gregd001",6,"kings001",4,"gossp001",10,"quinr003",8
"PHI202007260","hasea001",8,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"brucj001",7,"kings001",4,"walkn001",10
"PHI202008052","hasea001",8,"hoskr001",10,"harpb003",9,"gregd001",6,"seguj002",5,"brucj001",7,"kings001",4,"walkn001",3,"knapa001",2
"PHI202008060","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gossp001",10,"gregd001",6,"kings001",4,"walkn001",5,"quinr003",8
"PHI202008080","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"brucj001",7,"kings001",4,"hasea001",8
"PHI202008091","hasea001",7,"hoskr001",3,"harpb003",9,"gregd001",6,"seguj002",5,"brucj001",10,"walkn001",4,"quinr003",8,"knapa001",2
"PHI202008092","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",5,"gregd001",6,"gossp001",10,"kings001",4,"quinr003",8
"PHI202008100","gossp001",10,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"brucj001",7,"kings001",4,"quinr003",8
"PHI202008110","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"brucj001",10,"kings001",4,"hasea001",8
"PHI202008120","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",10,"seguj002",5,"gregd001",6,"gossp001",4,"knapa001",2,"quinr003",8
"PHI202008130","mccua001",10,"seguj002",4,"harpb003",9,"realj001",2,"gregd001",6,"bohma001",5,"brucj001",7,"walkn001",3,"quinr003",8
"PHI202008140","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",4,"brucj001",7,"bohma001",5,"quinr003",8
"PHI202008150","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",10,"bohma001",5,"kings001",8
"PHI202008160","seguj002",4,"hoskr001",3,"harpb003",9,"realj001",10,"gregd001",6,"bohma001",5,"brucj001",7,"knapa001",2,"kings001",8
"PHI202008280","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",10,"bohma001",5,"quinr003",8
"PHI202008290","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",10,"gregd001",6,"seguj002",4,"bohma001",5,"knapa001",2,"hasea001",8
"PHI202008300","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",5,"gregd001",6,"gossp001",7,"kings001",4,"quinr003",8
"PHI202008310","mccua001",7,"hoskr001",3,"harpb003",10,"realj001",2,"gregd001",6,"seguj002",4,"brucj001",9,"bohma001",5,"quinr003",8
"PHI202009010","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",7,"bohma001",5,"quinr003",8
"PHI202009020","mccua001",7,"gregd001",6,"harpb003",10,"realj001",2,"brucj001",9,"seguj002",4,"bohma001",5,"walkn001",3,"hasea001",8
"PHI202009030","quinr003",8,"hoskr001",3,"harpb003",9,"realj001",10,"gregd001",6,"seguj002",4,"brucj001",7,"bohma001",5,"knapa001",2
"PHI202009081","mccua001",7,"hoskr001",3,"harpb003",8,"realj001",10,"seguj002",4,"gregd001",6,"gossp001",9,"bohma001",5,"knapa001",2
"PHI202009082","seguj002",4,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"bohma001",5,"walkn001",10,"garlk001",7,"hasea001",8
"PHI202009150","mccua001",10,"harpb003",9,"bohma001",3,"gregd001",6,"seguj002",5,"kings001",4,"knapa001",2,"garlk001",7,"quinr003",8
"PHI202009160","mccua001",7,"harpb003",10,"bohma001",3,"gregd001",6,"seguj002",5,"knapa001",2,"kings001",4,"hasea001",9,"quinr003",8
"PHI202009170","mccua001",10,"harpb003",9,"bohma001",5,"gregd001",6,"seguj002",4,"knapa001",2,"hasea001",8,"gossp001",3,"monim001",7
"PHI202009182","mccua001",7,"harpb003",10,"bohma001",5,"gregd001",6,"brucj001",3,"kings001",4,"quinr003",8,"monim001",9,"marcr001",2
"PHI202009190","mccua001",7,"harpb003",9,"seguj002",5,"gregd001",6,"gossp001",3,"brucj001",10,"kings001",4,"knapa001",2,"hasea001",8
"PHI202009200","mccua001",10,"harpb003",9,"bohma001",3,"gregd001",6,"seguj002",5,"hasea001",7,"kings001",4,"quinr003",8,"marcr001",2
