"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"PHI202007240","villj001",8,"aguij001",3,"dickc002",7,"ramih004",9,"andeb006",5,"coopg002",10,"diazi001",4,"cervf001",2,"rojam002",6
"PHI202007250","villj001",4,"aguij001",10,"dickc002",7,"ramih004",9,"andeb006",5,"coopg002",3,"rojam002",6,"wallc001",2,"bertj001",8
"PHI202007260","villj001",10,"bertj001",9,"dickc002",7,"aguij001",3,"andeb006",5,"cervf001",2,"diazi001",4,"rojam002",6,"sierm002",8
"PHI202008052","lemad001",4,"judga001",9,"torrg001",6,"stanm004",10,"voitl001",3,"taucm001",8,"sancg002",2,"urshg001",5,"andum001",7
"PHI202008060","taucm001",9,"voitl001",3,"hicka001",8,"stanm004",10,"torrg001",6,"gardb001",7,"urshg001",5,"sancg002",2,"wadet002",4
"PHI202008080","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"duvaa001",7,"rilea001",5,"hecha001",4
"PHI202008091","acunr001",9,"swand001",6,"freef001",3,"ozunm001",7,"markn001",10,"camaj001",5,"hecha001",4,"flowt001",2,"incie001",8
"PHI202008092","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"duvaa001",7,"rilea001",5,"camaj001",4
"PHI202008100","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"duvaa001",7,"rilea001",5,"camaj001",4
"PHI202008110","albeh001",4,"santa003",9,"nuner001",10,"ruizr002",5,"sevep001",2,"smitd007",7,"haysa001",8,"davic003",3,"valap001",6
"PHI202008120","albeh001",4,"santa003",9,"iglej001",6,"ruizr002",5,"nuner001",10,"smitd007",7,"haysa001",8,"davic003",3,"siscc001",2
"PHI202008130","albeh001",4,"santa003",9,"iglej001",10,"ruizr002",5,"nuner001",3,"smitd007",7,"sevep001",2,"haysa001",8,"valap001",6
"PHI202008140","nimmb001",8,"confm001",9,"alonp001",3,"smitd008",7,"canor001",10,"ramow001",2,"gimea001",5,"guill001",4,"rosaa003",6
"PHI202008150","nimmb001",8,"confm001",9,"davij006",5,"smitd008",7,"alonp001",3,"canor001",10,"rosaa003",6,"guill001",4,"nidot001",2
"PHI202008160","nimmb001",7,"confm001",9,"davij006",5,"smitd008",3,"canor001",10,"gimea001",6,"ramow001",2,"guill001",4,"hamib001",8
"PHI202008280","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"duvaa001",7,"rilea001",5,"camaj001",4
"PHI202008290","acunr001",8,"swand001",6,"freef001",3,"ozunm001",7,"markn001",9,"rilea001",5,"adamm002",10,"flowt001",2,"camaj001",4
"PHI202008300","acunr001",8,"swand001",6,"freef001",3,"ozunm001",10,"darnt001",2,"markn001",9,"duvaa001",7,"rilea001",5,"camaj001",4
"PHI202008310","turnt001",6,"sotoj001",7,"kendh001",10,"cabra002",5,"thame001",3,"eatoa002",9,"gomey001",2,"garcl006",4,"taylm002",8
"PHI202009010","turnt001",6,"sotoj001",7,"kendh001",10,"cabra002",5,"thame001",3,"eatoa002",9,"gomey001",2,"garcl006",4,"taylm002",8
"PHI202009020","turnt001",6,"sotoj001",7,"kendh001",10,"cabra002",3,"eatoa002",9,"suzuk001",2,"holtb002",5,"garcl006",4,"roblv001",8
"PHI202009030","eatoa002",9,"turnt001",6,"sotoj001",7,"cabra002",3,"suzuk001",2,"holtb002",5,"thame001",10,"garcl006",4,"roblv001",8
"PHI202009081","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"bradj001",8,"chavm001",7,"dalbb001",3,"arroc001",4
"PHI202009082","arauj001",4,"dever001",5,"bogax001",6,"martj006",10,"bradj001",8,"dalbb001",3,"gruld001",2,"lin-t001",9,"peraj003",7
"PHI202009150","nimmb001",8,"confm001",9,"davij006",5,"smitd008",3,"canor001",4,"alonp001",10,"mcnej002",7,"gimea001",6,"ramow001",2
"PHI202009160","nimmb001",8,"confm001",9,"davij006",10,"smitd008",3,"canor001",4,"frazt001",5,"mcnej002",7,"gimea001",6,"ramow001",2
"PHI202009170","nimmb001",8,"confm001",9,"davij006",5,"smitd008",3,"canor001",4,"alonp001",10,"mcnej002",7,"gimea001",6,"chirr001",2
"PHI202009182","biggc002",5,"bichb001",10,"gurrl001",7,"hernt002",9,"gricr001",8,"guerv002",3,"panij002",4,"espis001",6,"jansd001",2
"PHI202009190","biggc002",9,"bichb001",6,"hernt002",10,"gurrl001",7,"gricr001",8,"panij002",5,"villj001",4,"shawt001",3,"jansd001",2
"PHI202009200","biggc002",5,"bichb001",6,"hernt002",9,"gurrl001",7,"gricr001",10,"guerv002",3,"panij002",4,"davij007",8,"jansd001",2
