"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"PIT202007270","fraza001",4,"newmk001",6,"bellj005",3,"morac001",5,"reynb001",7,"osunj001",9,"polag001",10,"stalj001",2,"dysoj001",8
"PIT202007280","fraza001",4,"newmk001",6,"bellj005",3,"morac001",10,"reynb001",7,"evanp001",5,"hereg002",8,"tuckc001",9,"murpj001",2
"PIT202007290","fraza001",4,"evanp001",5,"bellj005",10,"morac001",3,"reynb001",7,"polag001",9,"stalj001",2,"dysoj001",8,"gonze004",6
"PIT202008050","fraza001",4,"newmk001",6,"bellj005",3,"morac001",10,"reynb001",7,"polag001",9,"gonze004",5,"tuckc001",8,"stalj001",2
"PIT202008060","fraza001",4,"evanp001",5,"bellj005",10,"morac001",3,"reynb001",7,"polag001",9,"riddj001",6,"murpj001",2,"dysoj001",8
"PIT202008070","tuckc001",8,"newmk001",4,"bellj005",3,"morac001",5,"reynb001",7,"evanp001",9,"fraza001",10,"stalj001",2,"gonze004",6
"PIT202008080","fraza001",4,"newmk001",6,"bellj005",10,"polag001",9,"reynb001",7,"evanp001",3,"gonze004",5,"dysoj001",8,"stalj001",2
"PIT202008090","fraza001",4,"newmk001",6,"bellj005",3,"morac001",10,"reynb001",7,"riddj001",9,"gonze004",5,"dysoj001",8,"murpj001",2
"PIT202008180","fraza001",4,"newmk001",6,"bellj005",3,"morac001",10,"reynb001",7,"polag001",9,"gonze004",5,"dysoj001",8,"stalj001",2
"PIT202008190","fraza001",4,"newmk001",6,"bellj005",10,"morac001",3,"reynb001",7,"polag001",9,"osunj001",5,"riddj001",8,"stalj001",2
"PIT202008200","gonze004",6,"newmk001",4,"bellj005",3,"morac001",10,"osunj001",7,"riddj001",5,"tuckc001",9,"dysoj001",8,"stalj001",2
"PIT202008210","gonze004",5,"newmk001",6,"bellj005",10,"morac001",3,"reynb001",7,"polag001",9,"tuckc001",8,"fraza001",4,"murpj001",2
"PIT202008220","gonze004",6,"fraza001",4,"bellj005",3,"morac001",10,"reynb001",7,"polag001",9,"tuckc001",8,"riddj001",5,"stalj001",2
"PIT202008230","gonze004",5,"fraza001",4,"newmk001",6,"morac001",3,"reynb001",7,"polag001",10,"osunj001",9,"dysoj001",8,"stalj001",2
"PIT202009010","gonze004",6,"tuckc001",8,"newmk001",4,"bellj005",3,"stalj001",2,"morac001",10,"hayek001",5,"fraza001",7,"osunj001",9
"PIT202009020","tuckc001",8,"fraza001",4,"newmk001",6,"bellj005",10,"morac001",3,"hayek001",5,"polag001",9,"alfoa002",7,"stalj001",2
"PIT202009030","tuckc001",9,"gonze004",6,"morac001",3,"polag001",10,"reynb001",7,"fraza001",4,"alfoa002",8,"riddj001",5,"murpj001",2
"PIT202009041","gonze004",6,"newmk001",4,"reynb001",7,"morac001",10,"polag001",9,"bellj005",3,"hayek001",5,"tuckc001",8,"stalj001",2
"PIT202009050","gonze004",5,"fraza001",4,"reynb001",7,"morac001",10,"polag001",9,"bellj005",3,"newmk001",6,"alfoa002",8,"stalj001",2
"PIT202009060","gonze004",6,"fraza001",4,"reynb001",7,"morac001",3,"polag001",9,"bellj005",10,"hayek001",5,"tuckc001",8,"murpj001",2
"PIT202009080","fraza001",7,"gonze004",6,"reynb001",8,"morac001",10,"polag001",9,"bellj005",3,"hayek001",5,"newmk001",4,"stalj001",2
"PIT202009090","fraza001",7,"gonze004",6,"reynb001",8,"morac001",3,"polag001",9,"bellj005",10,"hayek001",5,"newmk001",4,"stalj001",2
"PIT202009170","fraza001",7,"hayek001",5,"morac001",10,"bellj005",3,"gonze004",6,"reynb001",8,"polag001",9,"newmk001",4,"stalj001",2
"PIT202009181","fraza001",4,"hayek001",5,"morac001",10,"polag001",9,"reynb001",7,"newmk001",6,"riddj001",8,"osunj001",3,"murpj001",2
"PIT202009190","reynb001",8,"hayek001",5,"gonze004",6,"morac001",3,"bellj005",10,"stalj001",2,"newmk001",4,"fraza001",7,"osunj001",9
"PIT202009200","reynb001",8,"fraza001",4,"morac001",10,"bellj005",3,"gonze004",6,"polag001",9,"osunj001",7,"riddj001",5,"murpj001",2
"PIT202009210","reynb001",8,"hayek001",5,"gonze004",6,"morac001",3,"bellj005",10,"polag001",9,"stalj001",2,"fraza001",4,"osunj001",7
"PIT202009220","reynb001",8,"hayek001",5,"osunj001",3,"bellj005",10,"stalj001",2,"polag001",9,"gonze004",6,"fraza001",4,"olivj003",7
"PIT202009230","fraza001",4,"hayek001",5,"morac001",3,"polag001",9,"osunj001",10,"riddj001",7,"gonze004",6,"stalj001",2,"olivj003",8
"PIT202009240","fraza001",4,"hayek001",5,"morac001",10,"bellj005",3,"polag001",9,"reynb001",8,"olivj003",7,"riddj001",6,"murpj001",2
