"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"PIT202007270","cainl001",8,"hiurk001",4,"yelic001",7,"braur002",10,"gyorj001",5,"garca003",9,"smoaj001",3,"pinam001",2,"arcio002",6
"PIT202007280","cainl001",8,"hiurk001",4,"yelic001",7,"braur002",10,"gyorj001",5,"garca003",9,"smoaj001",3,"pinam001",2,"arcio002",6
"PIT202007290","sogae001",6,"yelic001",7,"hiurk001",4,"morrl001",3,"smoaj001",10,"narvo001",2,"garca003",9,"gameb001",8,"holtb002",5
"PIT202008050","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"cavej001",8,"arral001",4,"garvm001",2,"gonzm002",3,"adrie001",5
"PIT202008060","keplm001",9,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"gonzm002",4,"adrie001",5,"avila001",2,"buxtb001",8
"PIT202008070","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"stewc002",7,"candj002",5,"reyev001",9,"romia002",2,"jonej006",8
"PIT202008080","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"candj002",5,"demet001",9,"reyev001",7,"greig001",2,"jonej006",8
"PIT202008090","goodn002",6,"schoj001",4,"cabrm001",10,"cronc002",3,"candj002",5,"stewc002",7,"reyev001",9,"romia002",2,"jonej006",8
"PIT202008180","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"perer003",2,"deshd002",8
"PIT202008190","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"luplj001",7,"santd002",9,"perer003",2,"deshd002",8
"PIT202008200","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"taylb003",2,"zimmb001",8
"PIT202008210","sogae001",5,"hiurk001",10,"yelic001",7,"smoaj001",3,"gameb001",8,"narvo001",2,"urial001",4,"holtb002",9,"arcio002",6
"PIT202008220","braur002",10,"yelic001",7,"hiurk001",4,"gyorj001",3,"garca003",8,"pinam001",2,"urial001",5,"mathm002",9,"arcio002",6
"PIT202008230","garca003",8,"yelic001",7,"hiurk001",4,"smoaj001",3,"braur002",10,"gameb001",9,"urial001",5,"narvo001",2,"arcio002",6
"PIT202009010","happi001",8,"bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"martj008",10,"kipnj001",4
"PIT202009020","happi001",8,"contw001",2,"rizza001",3,"baezj001",6,"souzs001",7,"martj008",10,"maybc001",9,"boted002",5,"hoern001",4
"PIT202009030","happi001",8,"bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",2,"heywj001",9,"carav001",10,"kipnj001",4
"PIT202009041","vottj001",3,"castn001",9,"davim005",10,"suare001",5,"winkj002",7,"aquia001",8,"casac001",2,"garcj007",6,"farmk001",4
"PIT202009050","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"goodb001",8,"akiys001",7,"garcj007",6,"barnt001",2
"PIT202009060","vottj001",10,"castn001",9,"winkj002",7,"suare001",5,"mousm001",3,"goodb001",8,"galvf001",4,"farmk001",6,"casac001",2
"PIT202009080","andet001",6,"moncy001",5,"grany001",2,"abrej003",3,"jimee001",7,"encae001",10,"robel002",8,"mazan001",9,"madrn001",4
"PIT202009090","andet001",6,"moncy001",5,"grany001",3,"abrej003",10,"jimee001",7,"robel002",8,"mccaj001",2,"mazan001",9,"madrn001",4
"PIT202009170","edmat001",5,"dejop001",6,"goldp001",3,"oneit001",7,"moliy001",2,"millb002",10,"badeh001",8,"raver001",9,"wongk001",4
"PIT202009181","wongk001",4,"edmat001",9,"goldp001",3,"millb002",10,"dejop001",6,"carpm002",5,"moliy001",2,"oneit001",7,"badeh001",8
"PIT202009190","wongk001",4,"edmat001",5,"goldp001",3,"millb002",10,"dejop001",6,"moliy001",2,"oneit001",7,"carld002",9,"badeh001",8
"PIT202009200","edmat001",4,"dejop001",6,"goldp001",3,"millb002",10,"oneit001",7,"carpm002",5,"moliy001",2,"carld002",8,"willj006",9
"PIT202009210","happi001",8,"rizza001",3,"contw001",2,"schwk001",7,"bryak001",5,"heywj001",9,"baezj001",6,"kipnj001",4,"carav001",10
"PIT202009220","happi001",8,"contw001",2,"rizza001",3,"baezj001",6,"schwk001",7,"boted002",5,"maybc001",9,"martj008",10,"hoern001",4
"PIT202009230","happi001",8,"rizza001",3,"contw001",2,"schwk001",10,"maybc001",7,"heywj001",9,"baezj001",6,"kipnj001",4,"boted002",5
"PIT202009240","rizza001",3,"contw001",10,"heywj001",9,"schwk001",7,"maybc001",8,"kipnj001",4,"baezj001",6,"carav001",2,"boted002",5
