"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"SDN202007240","martk001",4,"perad001",7,"marts002",8,"escoe001",5,"walkc002",10,"calhk001",9,"kellc002",2,"lambj001",3,"ahmen001",6
"SDN202007250","martk001",4,"perad001",7,"marts002",8,"escoe001",5,"walkc002",10,"calhk001",9,"vogts001",2,"lambj001",3,"ahmen001",6
"SDN202007260","martk001",4,"perad001",7,"marts002",8,"escoe001",5,"calhk001",9,"kellc002",2,"lambj001",3,"cronk001",10,"ahmen001",6
"SDN202007270","martk001",4,"vargi001",3,"marts002",8,"escoe001",5,"walkc002",10,"calhk001",9,"kellc002",2,"perad001",7,"ahmen001",6
"SDN202008030","pedej001",9,"muncm001",4,"turnj001",5,"bellc002",8,"polla001",7,"seagc001",10,"taylc001",6,"beatm001",3,"smitw003",2
"SDN202008040","pedej001",9,"muncm001",4,"turnj001",5,"bellc002",8,"seagc001",10,"beatm001",7,"riose001",3,"herne001",6,"barna001",2
"SDN202008050","polla001",10,"muncm001",3,"turnj001",5,"bellc002",8,"seagc001",6,"taylc001",7,"pedej001",9,"smitw003",2,"herne001",4
"SDN202008070","martk001",4,"calhk001",9,"marts002",8,"walkc002",10,"escoe001",5,"perad001",7,"vogts001",2,"lambj001",3,"ahmen001",6
"SDN202008080","martk001",4,"calhk001",10,"marts002",8,"perad001",7,"escoe001",5,"vogts001",2,"lambj001",3,"jay-j001",9,"ahmen001",6
"SDN202008090","martk001",4,"calhk001",9,"marts002",8,"walkc002",3,"perad001",7,"youna003",5,"varsd001",10,"kellc002",2,"ahmen001",6
"SDN202008190","choos001",10,"santd001",3,"calhw001",7,"gallj002",9,"frazt001",5,"odorr001",4,"solan001",8,"kinei001",6,"trevj001",2
"SDN202008200","solan001",7,"santd001",3,"odorr001",4,"gallj002",9,"frazt001",5,"dietd001",10,"kinei001",6,"trevj001",2,"heins001",8
"SDN202008210","sprig001",9,"altuj001",4,"corrc001",6,"reddj001",10,"toroa001",5,"tuckk001",7,"jonet005",3,"stram002",8,"maldm001",2
"SDN202008220","sprig001",8,"altuj001",4,"corrc001",6,"tuckk001",7,"gurry001",3,"reddj001",9,"toroa001",5,"jonet005",10,"garnd001",2
"SDN202008230","sprig001",8,"altuj001",4,"corrc001",6,"tuckk001",7,"gurry001",3,"branm003",10,"reddj001",9,"toroa001",5,"maldm001",2
"SDN202008250","crawj002",6,"haggs001",7,"lewik001",8,"seagk001",5,"nolaa002",2,"white005",3,"fralj001",9,"lopet001",10,"gordd002",4
"SDN202008271","crawj002",6,"haggs001",7,"lewik001",8,"seagk001",5,"nolaa002",10,"white005",3,"fralj001",9,"longs001",4,"odomj001",2
"SDN202008272","crawj002",6,"haggs001",7,"lewik001",8,"seagk001",5,"nolaa002",2,"marmj001",3,"lopet001",9,"longs001",10,"gordd002",4
"SDN202009070","tapir001",10,"stort001",6,"blacc001",9,"arenn001",5,"pillk001",8,"murpd006",3,"mcmar001",4,"hills005",7,"woltt001",2
"SDN202009080","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"pillk001",8,"kempm001",10,"mcmar001",3,"hampg001",4,"woltt001",2
"SDN202009090","tapir001",7,"stort001",6,"blacc001",9,"arenn001",5,"pillk001",8,"kempm001",10,"fuenj001",3,"hampg001",4,"diaze005",2
"SDN202009100","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"longe001",5,"crawb001",6,"bartj003",2,"dubom001",8
"SDN202009131","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"smoaj001",10,"crawb001",6,"dubom001",8,"tromc001",2
"SDN202009132","yastm001",9,"dicka001",7,"florw001",4,"beltb001",3,"longe001",5,"smoaj001",10,"crawb001",6,"bartj003",2,"dubom001",8
"SDN202009140","bettm001",9,"seagc001",10,"pedej001",7,"muncm001",3,"taylc001",6,"bellc002",8,"riose001",5,"lux-g001",4,"barna001",2
"SDN202009150","bettm001",9,"seagc001",6,"turnj001",10,"smitw003",2,"bellc002",3,"taylc001",4,"polla001",8,"pedej001",7,"riose001",5
"SDN202009160","bettm001",9,"seagc001",6,"turnj001",10,"muncm001",5,"smitw003",2,"bellc002",3,"polla001",8,"taylc001",7,"lux-g001",4
"SDN202009220","fletd002",6,"walsj001",3,"troum001",8,"renda001",5,"pujoa001",10,"uptoj001",7,"wardt002",9,"stasm001",2,"rengl001",4
"SDN202009230","fletd002",6,"walsj001",3,"troum001",8,"renda001",5,"ohtas001",10,"uptoj001",7,"wardt002",9,"bemba001",2,"rengl001",4
"SDN202009252","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"longe001",5,"crawb001",6,"dubom001",8,"bartj003",2
