"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"SEA202007310","semim001",6,"laurr001",8,"chapm001",5,"olsom001",3,"canhm001",10,"grosr001",7,"piscs001",9,"murps001",2,"kempt001",4
"SEA202008010","semim001",6,"chapm001",5,"laurr001",8,"canhm001",7,"olsom001",3,"pindc001",4,"davik003",10,"piscs001",9,"murps001",2
"SEA202008020","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",9,"grosr001",7,"brows003",10,"allea001",2,"kempt001",4
"SEA202008030","semim001",6,"laurr001",8,"canhm001",7,"chapm001",5,"olsom001",3,"pindc001",4,"davik003",10,"piscs001",9,"murps001",2
"SEA202008040","fletd002",6,"troum001",8,"renda001",5,"goodb001",7,"pujoa001",3,"lastt001",10,"adelj001",9,"castj006",2,"rengl001",4
"SEA202008050","fletd002",6,"troum001",8,"renda001",5,"uptoj001",10,"pujoa001",3,"wardt002",7,"adelj001",9,"stasm001",2,"rengl001",4
"SEA202008060","fletd002",6,"troum001",8,"renda001",5,"ohtas001",10,"lastt001",3,"uptoj001",7,"goodb001",9,"stasm001",2,"rengl001",4
"SEA202008070","hampg001",7,"stort001",6,"blacc001",9,"arenn001",5,"kempm001",10,"murpd006",3,"mcmar001",4,"owinc001",8,"diaze005",2
"SEA202008080","hampg001",7,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"kempm001",10,"dahld001",8,"mcmar001",4,"buted001",2
"SEA202008090","hampg001",4,"stort001",6,"blacc001",9,"kempm001",10,"dahld001",8,"diaze005",2,"mcmar001",3,"owinc001",5,"hills005",7
"SEA202008190","bettm001",9,"seagc001",6,"turnj001",5,"bellc002",8,"muncm001",3,"polla001",7,"pedej001",10,"taylc001",4,"ruizk001",2
"SEA202008200","bettm001",9,"polla001",7,"turnj001",5,"bellc002",8,"taylc001",6,"muncm001",3,"herne001",4,"barna001",2,"beatm001",10
"SEA202008210","solan001",7,"santd001",3,"frazt001",5,"gallj002",10,"trevj001",2,"odorr001",4,"kinei001",6,"refsr001",9,"heins001",8
"SEA202008220","solan001",7,"santd001",3,"frazt001",5,"gallj002",9,"trevj001",2,"odorr001",4,"kinei001",6,"refsr001",10,"heins001",8
"SEA202008230","solan001",7,"dietd001",10,"santd001",3,"gallj002",9,"odorr001",4,"kinei001",5,"heins001",8,"mathj001",2,"rivey001",6
"SEA202009040","tavel001",8,"kinei001",5,"solan001",4,"gallj002",9,"trevj001",2,"choos001",10,"andre001",6,"guzmr001",3,"white006",7
"SEA202009050","tavel001",8,"kinei001",5,"solan001",4,"trevj001",10,"choos001",9,"heins001",3,"white006",7,"mathj001",2,"tejea001",6
"SEA202009060","tavel001",8,"kinei001",5,"choos001",7,"solan001",4,"gallj002",9,"trevj001",2,"guzmr001",3,"dietd001",10,"tejea001",6
"SEA202009070","tavel001",8,"kinei001",5,"choos001",10,"solan001",4,"gallj002",9,"trevj001",2,"guzmr001",3,"andre001",6,"heins001",7
"SEA202009141","semim001",6,"lastt001",5,"piscs001",9,"canhm001",7,"olsom001",3,"murps001",2,"davik003",10,"laurr001",8,"kempt001",4
"SEA202009142","lastt001",4,"semim001",6,"grosr001",7,"olsom001",3,"canhm001",9,"lambj001",10,"laurr001",8,"heimj001",2,"machv001",5
"SEA202009160","yastm001",9,"dicka001",7,"florw001",10,"beltb001",3,"solad001",4,"longe001",5,"crawb001",6,"bartj003",2,"dubom001",8
"SEA202009170","slata001",10,"solad001",4,"yastm001",9,"florw001",3,"ruf-d001",7,"longe001",5,"crawb001",6,"bartj003",2,"dubom001",8
"SEA202009180","tatif002",6,"machm001",5,"nolaa002",2,"morem001",3,"myerw001",9,"phamt001",10,"cronj001",4,"profj001",7,"grist001",8
"SEA202009190","tatif002",6,"machm001",5,"nolaa002",2,"myerw001",9,"hosme001",3,"phamt001",10,"cronj001",4,"profj001",7,"grist001",8
"SEA202009200","grist001",8,"tatif002",6,"hosme001",10,"machm001",5,"morem001",3,"myerw001",9,"cronj001",4,"castj006",2,"profj001",7
"SEA202009210","stram002",8,"altuj001",4,"brega001",5,"branm003",7,"gurry001",3,"tuckk001",10,"corrc001",6,"reddj001",9,"maldm001",2
"SEA202009220","sprig001",8,"altuj001",4,"branm003",10,"brega001",5,"tuckk001",7,"gurry001",3,"corrc001",6,"reddj001",9,"maldm001",2
"SEA202009230","sprig001",8,"altuj001",4,"branm003",7,"brega001",5,"tuckk001",9,"gurry001",3,"corrc001",6,"diaza003",10,"maldm001",2
"SEA202009262","kempt001",7,"grosr001",9,"lastt001",10,"canhm001",8,"olsom001",3,"murps001",2,"lambj001",5,"machv001",4,"orf-n001",6
