"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"SFN202007280","yastm001",8,"sandp001",3,"florw001",5,"dicka001",10,"heint001",2,"crawb001",6,"davij008",9,"mccaj002",7,"dubom001",4
"SFN202007290","yastm001",8,"sandp001",3,"florw001",4,"dicka001",7,"pench001",10,"crawb001",6,"solad001",5,"slata001",9,"tromc001",2
"SFN202007300","yastm001",8,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"sandp001",10,"crawb001",6,"heint001",2,"duggs001",9
"SFN202007310","slata001",9,"florw001",3,"yastm001",8,"pench001",7,"longe001",5,"solad001",4,"ruf-d001",10,"tromc001",2,"dubom001",6
"SFN202008010","yastm001",8,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"sandp001",10,"crawb001",6,"heint001",2,"duggs001",9
"SFN202008020","slata001",9,"florw001",3,"yastm001",8,"pench001",7,"longe001",5,"solad001",4,"ruf-d001",10,"tromc001",2,"crawb001",6
"SFN202008140","yastm001",8,"solad001",4,"longe001",5,"florw001",3,"pench001",9,"ruf-d001",7,"sandp001",10,"tromc001",2,"dubom001",6
"SFN202008150","slata001",10,"solad001",4,"yastm001",8,"longe001",5,"florw001",3,"pench001",9,"ruf-d001",7,"tromc001",2,"dubom001",6
"SFN202008160","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"florw001",10,"heint001",2,"crawb001",6,"dubom001",8
"SFN202008190","slata001",10,"solad001",4,"yastm001",8,"longe001",5,"florw001",3,"pench001",9,"ruf-d001",7,"crawb001",6,"tromc001",2
"SFN202008200","slata001",10,"yastm001",9,"florw001",4,"longe001",5,"beltb001",3,"bartj003",2,"ruf-d001",7,"crawb001",6,"dubom001",8
"SFN202008210","slata001",10,"solad001",4,"yastm001",9,"florw001",3,"longe001",5,"pench001",7,"bartj003",2,"crawb001",6,"dubom001",8
"SFN202008220","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"longe001",5,"florw001",10,"crawb001",6,"tromc001",2,"duggs001",8
"SFN202008230","yastm001",9,"dicka001",7,"florw001",4,"beltb001",3,"longe001",5,"sandp001",10,"bartj003",2,"crawb001",6,"duggs001",8
"SFN202008250","yastm001",9,"florw001",10,"longe001",5,"beltb001",3,"solad001",4,"bartj003",2,"ruf-d001",7,"crawb001",6,"dubom001",8
"SFN202008271","yastm001",8,"florw001",4,"longe001",5,"ruf-d001",7,"solad001",6,"beltb001",3,"bartj003",10,"rickj001",9,"tromc001",2
"SFN202008272","yastm001",8,"florw001",10,"longe001",5,"beltb001",3,"solad001",4,"dicka001",7,"bartj003",2,"crawb001",6,"rickj001",9
"SFN202009040","yastm001",9,"dicka001",7,"longe001",5,"beltb001",3,"florw001",10,"solad001",4,"crawb001",6,"bartj003",2,"dubom001",8
"SFN202009050","slata001",10,"florw001",4,"yastm001",9,"longe001",5,"ruf-d001",7,"beltb001",3,"robed004",6,"bartj003",2,"dubom001",8
"SFN202009060","slata001",10,"solad001",4,"yastm001",9,"longe001",5,"florw001",3,"ruf-d001",7,"robed004",6,"dubom001",8,"tromc001",2
"SFN202009070","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"crawb001",6,"sandp001",5,"bartj003",2,"dubom001",8
"SFN202009080","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"crawb001",6,"sandp001",5,"bartj003",2,"dubom001",8
"SFN202009090","yastm001",9,"solad001",4,"ruf-d001",7,"florw001",10,"beltb001",3,"longe001",5,"bartj003",2,"crawb001",6,"dubom001",8
"SFN202009210","dicka001",7,"beltb001",3,"solad001",4,"ruf-d001",10,"crawb001",6,"longe001",5,"dubom001",8,"bartj003",2,"basal001",9
"SFN202009220","slata001",10,"florw001",3,"solad001",4,"ruf-d001",7,"longe001",5,"dubom001",8,"robed004",6,"bartj003",2,"basal001",9
"SFN202009230","slata001",10,"dicka001",7,"solad001",4,"beltb001",3,"crawb001",6,"longe001",5,"dubom001",8,"bartj003",2,"duggs001",9
"SFN202009240","slata001",10,"dicka001",7,"florw001",4,"beltb001",3,"crawb001",6,"longe001",5,"dubom001",8,"bartj003",2,"duggs001",9
"SFN202009251","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"longe001",5,"crawb001",6,"dubom001",8,"bartj003",2
"SFN202009260","yastm001",9,"dicka001",7,"solad001",4,"beltb001",3,"florw001",10,"longe001",5,"crawb001",6,"dubom001",8,"heint001",2
"SFN202009270","slata001",10,"yastm001",9,"ruf-d001",7,"florw001",4,"beltb001",3,"longe001",5,"dubom001",8,"crawb001",6,"bartj003",2
