"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"SFN202007280","tatif002",6,"grist001",8,"machm001",5,"phamt001",7,"hosme001",3,"profj001",4,"myerw001",9,"mejif001",2,"naylj001",10
"SFN202007290","tatif002",6,"grist001",8,"machm001",5,"phamt001",10,"garcg002",4,"myerw001",9,"cronj001",3,"hedga001",2,"olive001",7
"SFN202007300","tatif002",6,"grist001",8,"machm001",5,"phamt001",7,"profj001",4,"myerw001",10,"frant002",3,"mejif001",2,"olive001",9
"SFN202007310","choos001",7,"solan001",8,"odorr001",4,"gallj002",9,"frazt001",3,"calhw001",10,"andre001",6,"chirr001",2,"kinei001",5
"SFN202008010","andre001",6,"solan001",7,"odorr001",4,"gallj002",9,"frazt001",3,"chirr001",2,"heins001",8,"kinei001",5,"refsr001",10
"SFN202008020","choos001",7,"andre001",6,"calhw001",10,"gallj002",9,"frazt001",3,"solan001",4,"heins001",8,"kinei001",5,"mathj001",2
"SFN202008140","semim001",6,"kempt001",4,"chapm001",5,"olsom001",3,"canhm001",8,"grosr001",7,"davik003",10,"piscs001",9,"murps001",2
"SFN202008150","semim001",6,"kempt001",4,"chapm001",5,"olsom001",3,"canhm001",8,"grosr001",7,"piscs001",9,"machv001",10,"allea001",2
"SFN202008160","semim001",6,"kempt001",4,"chapm001",5,"olsom001",3,"canhm001",8,"grosr001",7,"davik003",10,"piscs001",9,"murps001",2
"SFN202008190","fletd002",6,"lastt001",4,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"castj006",2,"uptoj001",7,"goodb001",9
"SFN202008200","fletd002",6,"lastt001",3,"troum001",8,"renda001",5,"ohtas001",10,"goodb001",7,"adelj001",9,"stasm001",2,"rengl001",4
"SFN202008210","calhk001",9,"martk001",4,"walkc002",10,"perad001",7,"escoe001",5,"vogts001",2,"ahmen001",6,"lambj001",3,"jay-j001",8
"SFN202008220","calhk001",9,"martk001",4,"marts002",8,"walkc002",3,"perad001",7,"escoe001",5,"ahmen001",6,"cronk001",10,"kellc002",2
"SFN202008230","calhk001",9,"martk001",4,"marts002",8,"perad001",7,"walkc002",3,"escoe001",5,"ahmen001",6,"vogts001",2,"varsd001",10
"SFN202008250","bettm001",9,"seagc001",6,"turnj001",5,"bellc002",8,"muncm001",3,"polla001",10,"pedej001",7,"herne001",4,"smitw003",2
"SFN202008271","bettm001",9,"seagc001",6,"turnj001",5,"bellc002",8,"polla001",7,"muncm001",3,"taylc001",4,"pedej001",10,"barna001",2
"SFN202008272","bettm001",9,"seagc001",6,"turnj001",10,"bellc002",3,"muncm001",5,"pedej001",7,"smitw003",2,"lux-g001",4,"herne001",8
"SFN202009040","locat001",7,"martk001",8,"walkc002",3,"escoe001",5,"calhk001",9,"ahmen001",6,"rojaj001",10,"youna003",4,"varsd001",2
"SFN202009050","calhk001",9,"martk001",4,"walkc002",3,"perad001",7,"escoe001",5,"rojaj001",10,"ahmen001",6,"varsd001",8,"kellc002",2
"SFN202009060","locat001",8,"calhk001",10,"perad001",7,"escoe001",5,"rojaj001",4,"vogts001",2,"ahmen001",6,"lambj001",3,"jay-j001",9
"SFN202009070","rojaj001",4,"martk001",8,"walkc002",3,"calhk001",9,"mathw001",5,"perad001",10,"ahmen001",6,"varsd001",7,"kellc002",2
"SFN202009080","crawj002",6,"moord002",4,"lewik001",8,"seagk001",5,"frant002",10,"marmj001",9,"white005",3,"torrl001",2,"longs001",7
"SFN202009090","crawj002",6,"moord002",7,"lewik001",8,"seagk001",5,"frant002",4,"white005",3,"torrl001",2,"marmj001",10,"ervip001",9
"SFN202009210","tapir001",7,"pillk001",8,"blacc001",10,"stort001",6,"fuenj001",3,"mcmar001",5,"diaze005",2,"hills005",9,"hampg001",4
"SFN202009220","tapir001",7,"pillk001",8,"stort001",6,"blacc001",9,"fuenj001",3,"kempm001",10,"mcmar001",5,"hampg001",4,"woltt001",2
"SFN202009230","tapir001",10,"pillk001",8,"stort001",6,"blacc001",9,"fuenj001",3,"mcmar001",5,"diaze005",2,"hills005",7,"hampg001",4
"SFN202009240","tapir001",7,"pillk001",10,"stort001",6,"blacc001",9,"fuenj001",3,"mcmar001",5,"hampg001",4,"hills005",8,"woltt001",2
"SFN202009251","tatif002",6,"machm001",5,"hosme001",3,"myerw001",9,"nolaa002",2,"cronj001",4,"phamt001",10,"profj001",7,"grist001",8
"SFN202009260","grist001",8,"tatif002",6,"machm001",5,"hosme001",10,"phamt001",7,"morem001",3,"nolaa002",2,"cronj001",4,"profj001",9
"SFN202009270","tatif002",6,"machm001",5,"nolaa002",10,"myerw001",9,"morem001",3,"phamt001",7,"cronj001",4,"castj006",2,"profj001",8
