"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"SLN202007240","newmk001",6,"reynb001",7,"fraza001",4,"bellj005",3,"morac001",5,"osunj001",10,"hereg002",9,"stalj001",2,"dysoj001",8
"SLN202007250","newmk001",6,"reynb001",7,"fraza001",4,"bellj005",3,"morac001",10,"evanp001",5,"hereg002",8,"murpj001",2,"tuckc001",9
"SLN202007260","fraza001",4,"reynb001",7,"bellj005",10,"morac001",3,"evanp001",5,"osunj001",9,"dysoj001",8,"stalj001",2,"gonze004",6
"SLN202008172","bryak001",5,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"happi001",8,"heywj001",9,"carav001",2,"kipnj001",4
"SLN202008192","happi001",8,"rizza001",3,"baezj001",6,"schwk001",7,"contw001",10,"heywj001",9,"carav001",2,"boted002",5,"kipnj001",4
"SLN202008200","vottj001",3,"castn001",9,"winkj002",7,"suare001",5,"mousm001",4,"akiys001",8,"vanmj001",10,"galvf001",6,"barnt001",2
"SLN202008210","vottj001",3,"castn001",9,"winkj002",7,"suare001",5,"mousm001",4,"akiys001",8,"vanmj001",10,"galvf001",6,"barnt001",2
"SLN202008220","vottj001",3,"castn001",9,"davim005",10,"suare001",5,"ervip001",8,"winkj002",7,"casac001",2,"galvf001",6,"farmk001",4
"SLN202008230","vottj001",3,"castn001",9,"winkj002",10,"suare001",5,"mousm001",4,"akiys001",8,"paytm001",7,"galvf001",6,"barnt001",2
"SLN202008240","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4,"vilom001",2
"SLN202008250","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"mcbrr001",7,"mondr003",6,"lopen001",4,"gallc001",2
"SLN202008260","merrw001",8,"dozih001",9,"solej001",10,"ohear001",3,"franm004",5,"gorda001",7,"mondr003",6,"lopen001",4,"gallc001",2
"SLN202008271","gonze004",6,"tuckc001",8,"newmk001",4,"bellj005",10,"reynb001",7,"stalj001",2,"polag001",9,"osunj001",5,"craiw001",3
"SLN202008272","gonze004",6,"fraza001",4,"reynb001",7,"bellj005",3,"polag001",10,"tuckc001",8,"osunj001",9,"riddj001",5,"murpj001",2
"SLN202008280","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"luplj001",7,"perer003",2,"deshd002",8
"SLN202008290","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"santd002",7,"leons001",2,"alleg002",8
"SLN202008300","hernc005",4,"ramij003",5,"lindf001",6,"santc002",3,"reyef001",10,"naqut001",9,"luplj001",7,"perer003",2,"deshd002",8
"SLN202009052","happi001",8,"boted002",3,"schwk001",7,"baezj001",6,"martj008",10,"heywj001",9,"carav001",2,"hoern001",5,"kipnj001",4
"SLN202009081","arral001",4,"donaj001",5,"polaj001",6,"cruzn002",10,"rosae001",7,"sanom001",3,"cavej001",9,"buxtb001",8,"astuw001",2
"SLN202009082","wadel001",8,"donaj001",5,"cruzn002",10,"rosae001",7,"sanom001",3,"rookb001",9,"adrie001",6,"gonzm002",4,"jeffr002",2
"SLN202009101","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"demet001",7,"camed001",9,"romia002",2,"parei001",5
"SLN202009102","reyev001",8,"schoj001",4,"cabrm001",10,"candj002",3,"castw003",6,"bonij002",7,"camed001",9,"greig001",2,"alcas002",5
"SLN202009110","akiys001",7,"castn001",10,"vottj001",3,"suare001",5,"goodb001",8,"aquia001",9,"galvf001",4,"garcj007",6,"casac001",2
"SLN202009120","akiys001",7,"castn001",9,"vottj001",3,"suare001",5,"goodb001",8,"galvf001",4,"aquia001",10,"barnt001",2,"farmk001",6
"SLN202009130","akiys001",7,"castn001",9,"vottj001",10,"suare001",5,"mousm001",3,"stept001",2,"goodb001",8,"galvf001",4,"garcj007",6
"SLN202009182","reynb001",7,"hayek001",5,"morac001",10,"bellj005",3,"polag001",9,"gonze004",6,"newmk001",4,"stalj001",2,"martj009",8
"SLN202009240","garca003",8,"yelic001",7,"braur002",10,"gyorj001",3,"hiurk001",4,"taylt002",9,"arcio002",6,"urial001",5,"nottj001",2
"SLN202009251","garca003",8,"yelic001",7,"braur002",9,"voged001",10,"hiurk001",4,"gyorj001",3,"sogae001",5,"arcio002",6,"narvo001",2
"SLN202009260","garca003",8,"yelic001",7,"braur002",9,"voged001",10,"hiurk001",4,"gyorj001",3,"sogae001",5,"arcio002",6,"narvo001",2
"SLN202009270","garca003",8,"yelic001",7,"braur002",9,"gyorj001",3,"voged001",10,"hiurk001",4,"arcio002",6,"urial001",5,"nottj001",2
