"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"TBA202007240","diazy001",3,"renfh001",9,"tsuty001",5,"martj008",10,"margm001",7,"brosm001",4,"adamw002",6,"kierk001",8,"zunim001",2
"TBA202007250","choij001",3,"loweb001",7,"diazy001",5,"tsuty001",10,"wendj002",4,"margm001",9,"kierk001",8,"adamw002",6,"perem005",2
"TBA202007260","choij001",3,"loweb001",4,"diazy001",5,"martj008",10,"kierk001",8,"margm001",7,"renfh001",9,"adamw002",6,"zunim001",2
"TBA202007270","choij001",3,"loweb001",4,"martj008",10,"tsuty001",7,"renfh001",9,"wendj002",5,"adamw002",6,"kierk001",8,"zunim001",2
"TBA202007280","choij001",3,"loweb001",4,"diazy001",5,"tsuty001",7,"martj008",10,"wendj002",6,"renfh001",9,"kierk001",8,"perem005",2
"TBA202008040","meada001",7,"loweb001",4,"diazy001",10,"choij001",3,"tsuty001",5,"wendj002",6,"renfh001",9,"kierk001",8,"perem005",2
"TBA202008050","diazy001",5,"meada001",10,"martj008",3,"renfh001",9,"brosm001",7,"loweb001",4,"adamw002",6,"zunim001",2,"kierk001",8
"TBA202008070","meada001",9,"loweb001",7,"diazy001",5,"choij001",3,"wendj002",4,"tsuty001",10,"adamw002",6,"kierk001",8,"zunim001",2
"TBA202008081","diazy001",5,"choij001",3,"martj008",10,"tsuty001",7,"renfh001",9,"wendj002",4,"adamw002",6,"kierk001",8,"zunim001",2
"TBA202008082","meada001",9,"loweb001",4,"martj008",10,"choij001",3,"wendj002",5,"tsuty001",7,"adamw002",6,"kierk001",8,"perem005",2
"TBA202008090","diazy001",5,"meada001",7,"martj008",10,"renfh001",9,"brosm001",3,"loweb001",4,"margm001",8,"adamw002",6,"zunim001",2
"TBA202008210","meada001",7,"loweb001",4,"diazy001",5,"choij001",3,"wendj002",6,"tsuty001",10,"renfh001",9,"kierk001",8,"perem005",2
"TBA202008220","brosm001",3,"renfh001",9,"loweb001",4,"martj008",10,"adamw002",6,"wendj002",5,"margm001",8,"tsuty001",7,"zunim001",2
"TBA202008230","meada001",7,"loweb001",9,"diazy001",5,"choij001",3,"tsuty001",10,"wendj002",4,"adamw002",6,"kierk001",8,"perem005",2
"TBA202008240","meada001",7,"loweb001",9,"diazy001",5,"choij001",3,"tsuty001",10,"wendj002",4,"adamw002",6,"kierk001",8,"zunim001",2
"TBA202008250","brosm001",5,"diazy001",10,"loweb001",4,"adamw002",6,"martj008",3,"renfh001",9,"margm001",8,"tsuty001",7,"zunim001",2
"TBA202008260","meada001",10,"loweb001",4,"wendj002",6,"choij001",3,"tsuty001",5,"kierk001",8,"renfh001",9,"perem005",2,"margm001",7
"TBA202009040","choij001",3,"loweb001",4,"wendj002",5,"meada001",7,"adamw002",6,"tsuty001",10,"margm001",9,"kierk001",8,"perem005",2
"TBA202009050","wendj002",6,"loweb001",4,"choij001",3,"meada001",7,"lowen001",5,"renfh001",9,"tsuty001",10,"kierk001",8,"perem005",2
"TBA202009060","margm001",8,"arozr001",7,"meada001",10,"brosm001",5,"adamw002",6,"wendj002",4,"renfh001",9,"smitk002",2,"lowen001",3
"TBA202009100","margm001",8,"arozr001",10,"meada001",7,"brosm001",3,"renfh001",9,"loweb001",4,"adamw002",6,"smitk002",2,"wendj002",5
"TBA202009110","meada001",7,"wendj002",6,"loweb001",4,"choij001",3,"kierk001",8,"tsuty001",5,"lowen001",10,"philb002",9,"perem005",2
"TBA202009120","meada001",7,"loweb001",4,"arozr001",9,"choij001",10,"wendj002",5,"adamw002",6,"lowen001",3,"margm001",8,"perem005",2
"TBA202009130","margm001",8,"arozr001",7,"wendj002",5,"brosm001",4,"renfh001",9,"lowen001",3,"adamw002",6,"tsuty001",10,"smitk002",2
"TBA202009150","meada001",7,"loweb001",4,"brosm001",5,"tsuty001",10,"margm001",9,"lowen001",3,"adamw002",6,"kierk001",8,"smitk002",2
"TBA202009160","meada001",10,"loweb001",4,"arozr001",7,"lowen001",3,"margm001",9,"wendj002",5,"adamw002",6,"kierk001",8,"perem005",2
"TBA202009172","arozr001",7,"renfh001",9,"loweb001",10,"brosm001",4,"adamw002",6,"lowen001",3,"margm001",8,"smitk002",2,"wendj002",5
"TBA202009250","wendj002",4,"arozr001",7,"lowen001",10,"adamw002",6,"kierk001",8,"brosm001",5,"renfh001",3,"philb002",9,"zunim001",2
"TBA202009260","arozr001",10,"loweb001",4,"adamw002",6,"tsuty001",5,"brosm001",3,"kierk001",8,"margm001",7,"philb002",9,"zunim001",2
"TBA202009270","tsuty001",5,"loweb001",10,"arozr001",7,"lowen001",3,"wendj002",6,"renfh001",9,"philb002",8,"brosm001",4,"perem005",2
