"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"TBA202007240","bichb001",6,"biggc002",4,"guerv002",3,"shawt001",5,"gricr001",8,"tellr001",10,"hernt002",9,"fishd001",7,"jansd001",2
"TBA202007250","bichb001",6,"biggc002",4,"gurrl001",7,"guerv002",10,"shawt001",3,"gricr001",8,"hernt002",9,"mcgur002",2,"espis001",5
"TBA202007260","bichb001",6,"biggc002",4,"guerv002",3,"tellr001",10,"gricr001",8,"hernt002",9,"jansd001",2,"drurb001",5,"alfoa002",7
"TBA202007270","acunr001",9,"albio001",4,"freef001",3,"ozunm001",7,"adamm002",10,"swand001",6,"rilea001",5,"incie001",8,"contw002",2
"TBA202007280","acunr001",9,"albio001",4,"freef001",10,"ozunm001",7,"adamm002",3,"swand001",6,"camaj001",5,"incie001",8,"jacka002",2
"TBA202008040","benia002",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"verda001",9,"bradj001",8,"peraj003",4
"TBA202008050","pillk001",8,"dever001",5,"martj006",10,"bogax001",6,"vazqc001",2,"chavm001",3,"verda001",9,"peraj003",7,"arauj001",4
"TBA202008070","lemad001",4,"judga001",9,"hicka001",8,"stanm004",10,"voitl001",3,"torrg001",6,"urshg001",5,"sancg002",2,"taucm001",7
"TBA202008081","lemad001",4,"judga001",9,"fordm002",3,"stanm004",10,"torrg001",6,"taucm001",7,"urshg001",5,"sancg002",2,"gardb001",8
"TBA202008082","lemad001",4,"judga001",9,"hicka001",8,"stanm004",10,"torrg001",6,"voitl001",3,"taucm001",7,"urshg001",5,"krate001",2
"TBA202008090","lemad001",4,"judga001",9,"hicka001",8,"voitl001",3,"torrg001",6,"fordm002",10,"urshg001",5,"sancg002",2,"gardb001",7
"TBA202008210","gurrl001",7,"gricr001",8,"jansd001",2,"hernt002",10,"guerv002",3,"shawt001",5,"drurb001",4,"biggc002",9,"espis001",6
"TBA202008220","biggc002",4,"gricr001",8,"shawt001",5,"hernt002",9,"guerv002",10,"tellr001",3,"gurrl001",7,"panij002",6,"mcgur002",2
"TBA202008230","biggc002",4,"gricr001",8,"guerv002",10,"hernt002",9,"shawt001",3,"gurrl001",7,"jansd001",2,"drurb001",5,"espis001",6
"TBA202008240","biggc002",4,"gricr001",8,"guerv002",3,"gurrl001",7,"hernt002",9,"shawt001",10,"jansd001",2,"panij002",5,"espis001",6
"TBA202008250","mullc002",8,"santa003",9,"nuner001",3,"ruizr002",5,"albeh001",4,"siscc001",2,"mounr001",10,"willm007",7,"valap001",6
"TBA202008260","mullc002",8,"albeh001",4,"santa003",9,"nuner001",3,"siscc001",10,"mounr001",7,"ruizr002",5,"valap001",6,"holab001",2
"TBA202009040","bertj001",4,"marts002",8,"coopg002",3,"aguij001",10,"andeb006",5,"rojam002",6,"dickc002",7,"alfaj002",2,"brinl001",9
"TBA202009050","bertj001",4,"marts002",8,"aguij001",3,"andeb006",5,"brinl001",9,"ramih004",7,"dickc002",10,"alfaj002",2,"rojam002",6
"TBA202009060","dickc002",7,"marts002",8,"aguij001",10,"joycm001",9,"andeb006",5,"diazl001",3,"chisj001",6,"alvae001",4,"wallc001",2
"TBA202009100","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"vazqc001",2,"munoy001",7,"bradj001",8,"dalbb001",3,"arroc001",4
"TBA202009110","verda001",9,"dever001",5,"bogax001",6,"vazqc001",2,"plawk001",10,"bradj001",8,"dalbb001",3,"chavm001",7,"arroc001",4
"TBA202009120","verda001",9,"dever001",5,"bogax001",6,"martj006",10,"plawk001",2,"bradj001",8,"munoy001",7,"chavm001",3,"arroc001",4
"TBA202009130","munoy001",9,"vazqc001",2,"dever001",5,"martj006",10,"bradj001",8,"dalbb001",3,"chavm001",7,"arroc001",4,"lin-t001",6
"TBA202009150","eatoa002",9,"turnt001",6,"sotoj001",7,"cabra002",3,"suzuk001",2,"thame001",10,"kiebc001",5,"garcl006",4,"roblv001",8
"TBA202009160","eatoa002",9,"herny002",10,"turnt001",6,"sotoj001",7,"cabra002",3,"gomey001",2,"kiebc001",5,"garcl006",4,"roblv001",8
"TBA202009172","mullc002",8,"stewd002",9,"mounr001",3,"sevep001",10,"siscc001",2,"albeh001",4,"ruizr002",5,"haysa001",7,"valap001",6
"TBA202009250","mccua001",7,"bohma001",5,"harpb003",10,"realj001",3,"gregd001",6,"seguj002",4,"brucj001",9,"knapa001",2,"kings001",8
"TBA202009260","mccua001",7,"bohma001",3,"harpb003",10,"realj001",2,"seguj002",5,"gregd001",6,"gossp001",9,"kings001",4,"quinr003",8
"TBA202009270","mccua001",7,"bohma001",5,"harpb003",10,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",3,"kings001",8,"quinr003",9
