"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"TEX202007240","choos001",10,"andre001",6,"santd001",8,"gallj002",9,"odorr001",4,"frazt001",3,"chirr001",2,"solan001",7,"kinei001",5
"TEX202007250","choos001",7,"andre001",6,"santd001",8,"gallj002",9,"odorr001",4,"frazt001",5,"calhw001",10,"guzmr001",3,"mathj001",2
"TEX202007260","andre001",6,"solan001",7,"santd001",8,"gallj002",9,"odorr001",4,"frazt001",5,"chirr001",2,"calhw001",10,"refsr001",3
"TEX202007280","choos001",7,"santd001",8,"odorr001",4,"gallj002",9,"frazt001",3,"calhw001",10,"andre001",6,"chirr001",2,"kinei001",5
"TEX202007290","andre001",6,"solan001",10,"odorr001",4,"gallj002",9,"frazt001",3,"garca005",7,"kinei001",5,"heins001",8,"trevj001",2
"TEX202008070","choos001",9,"solan001",8,"odorr001",10,"frazt001",3,"calhw001",7,"andre001",6,"kinei001",5,"chirr001",2,"tejea001",4
"TEX202008080","andre001",6,"kinei001",5,"frazt001",3,"gallj002",9,"odorr001",4,"solan001",8,"calhw001",10,"chirr001",2,"refsr001",7
"TEX202008090","choos001",7,"kinei001",5,"frazt001",3,"gallj002",9,"solan001",8,"odorr001",4,"andre001",6,"refsr001",10,"mathj001",2
"TEX202008100","choos001",7,"solan001",8,"calhw001",10,"gallj002",9,"frazt001",3,"odorr001",4,"kinei001",5,"andre001",6,"chirr001",2
"TEX202008110","choos001",7,"kinei001",5,"frazt001",3,"gallj002",9,"solan001",8,"calhw001",10,"odorr001",4,"andre001",6,"mathj001",2
"TEX202008120","choos001",10,"kinei001",5,"calhw001",7,"gallj002",9,"solan001",8,"dietd001",4,"andre001",6,"refsr001",3,"mathj001",2
"TEX202008170","choos001",7,"santd001",10,"frazt001",5,"gallj002",9,"solan001",8,"odorr001",4,"dietd001",3,"kinei001",6,"trevj001",2
"TEX202008180","choos001",10,"santd001",3,"frazt001",5,"gallj002",9,"solan001",7,"kinei001",6,"dietd001",4,"heins001",8,"mathj001",2
"TEX202008240","tavel001",8,"solan001",7,"santd001",3,"frazt001",5,"trevj001",2,"chirr001",10,"odorr001",4,"kinei001",6,"heins001",9
"TEX202008250","tavel001",8,"solan001",7,"frazt001",5,"gallj002",9,"santd001",3,"trevj001",10,"chirr001",2,"kinei001",6,"rivey001",4
"TEX202008260","choos001",7,"santd001",3,"trevj001",2,"gallj002",9,"frazt001",5,"solan001",4,"dietd001",10,"kinei001",6,"tavel001",8
"TEX202008280","choos001",10,"solan001",4,"trevj001",2,"gallj002",9,"frazt001",5,"dietd001",3,"kinei001",6,"heins001",7,"tavel001",8
"TEX202008290","choos001",7,"solan001",4,"frazt001",5,"gallj002",9,"kinei001",6,"dietd001",10,"chirr001",2,"guzmr001",3,"tavel001",8
"TEX202008300","choos001",7,"solan001",4,"trevj001",10,"gallj002",9,"frazt001",5,"kinei001",6,"guzmr001",3,"tavel001",8,"mathj001",2
"TEX202009080","tavel001",8,"kinei001",5,"solan001",10,"gallj002",9,"trevj001",2,"andre001",6,"guzmr001",3,"tejea001",4,"white006",7
"TEX202009090","tavel001",8,"kinei001",5,"solan001",10,"gallj002",9,"trevj001",2,"odorr001",4,"guzmr001",3,"tejea001",6,"white006",7
"TEX202009100","tavel001",8,"odorr001",4,"kinei001",5,"gallj002",9,"solan001",7,"guzmr001",3,"dietd001",10,"tejea001",6,"mathj001",2
"TEX202009110","tavel001",8,"kinei001",5,"solan001",7,"gallj002",9,"andre001",6,"odorr001",4,"guzmr001",3,"huffs001",2,"tejea001",10
"TEX202009121","tavel001",8,"kinei001",5,"solan001",7,"gallj002",10,"odorr001",4,"andre001",6,"guzmr001",3,"white006",9,"mathj001",2
"TEX202009122","tavel001",8,"kinei001",6,"solan001",4,"gallj002",9,"dietd001",10,"huffs001",2,"guzmr001",3,"aposs001",5,"white006",7
"TEX202009130","tavel001",8,"kinei001",5,"solan001",7,"odorr001",4,"dietd001",10,"tejea001",6,"guzmr001",3,"white006",9,"mathj001",2
"TEX202009240","tavel001",8,"calhw001",10,"kinei001",6,"gallj002",9,"solan001",7,"odorr001",4,"guzmr001",3,"aposs001",5,"mathj001",2
"TEX202009250","kinei001",6,"calhw001",10,"solan001",7,"gallj002",9,"odorr001",4,"huffs001",2,"dietd001",5,"guzmr001",3,"white006",8
"TEX202009260","tavel001",8,"calhw001",10,"kinei001",5,"gallj002",9,"solan001",7,"odorr001",4,"tejea001",6,"guzmr001",3,"mathj001",2
"TEX202009270","choos001",10,"tavel001",8,"kinei001",5,"gallj002",9,"solan001",7,"odorr001",4,"huffs001",2,"guzmr001",3,"tejea001",6
