"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"TEX202007240","dahld001",8,"stort001",6,"blacc001",9,"arenn001",5,"murpd006",3,"mcmar001",4,"tapir001",10,"hills005",7,"woltt001",2
"TEX202007250","dahld001",8,"stort001",6,"arenn001",5,"blacc001",9,"kempm001",10,"mcmar001",3,"owinc001",4,"hampg001",7,"buted001",2
"TEX202007260","dahld001",8,"stort001",6,"blacc001",10,"arenn001",5,"murpd006",3,"mcmar001",4,"tapir001",7,"hills005",9,"woltt001",2
"TEX202007280","martk001",4,"calhk001",9,"marts002",8,"escoe001",5,"walkc002",3,"perad001",7,"lambj001",10,"vogts001",2,"ahmen001",6
"TEX202007290","martk001",4,"calhk001",9,"escoe001",5,"walkc002",10,"perad001",7,"lambj001",3,"kellc002",2,"jay-j001",8,"ahmen001",6
"TEX202008070","fletd002",6,"troum001",8,"ohtas001",10,"renda001",5,"lastt001",4,"pujoa001",3,"castj006",2,"uptoj001",7,"goodb001",9
"TEX202008080","fletd002",6,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"wardt002",7,"adelj001",9,"stasm001",2,"rengl001",4
"TEX202008090","fletd002",6,"lastt001",3,"troum001",8,"ohtas001",10,"renda001",5,"goodb001",7,"adelj001",9,"castj006",2,"rengl001",4
"TEX202008100","crawj002",6,"moord002",9,"lewik001",8,"seagk001",5,"nolaa002",2,"longs001",4,"white005",3,"voged001",10,"lopet001",7
"TEX202008110","crawj002",6,"moord002",9,"lewik001",8,"seagk001",5,"nolaa002",2,"longs001",4,"white005",3,"gordd002",7,"lopet001",10
"TEX202008120","crawj002",6,"moord002",3,"lewik001",8,"seagk001",5,"nolaa002",2,"longs001",4,"voged001",10,"lopet001",7,"smitm007",9
"TEX202008170","grist001",8,"tatif002",6,"machm001",5,"hosme001",3,"frant002",10,"cronj001",4,"profj001",7,"naylj001",9,"hedga001",2
"TEX202008180","grist001",8,"tatif002",6,"machm001",5,"hosme001",3,"frant002",10,"myerw001",9,"cronj001",4,"profj001",7,"torrl001",2
"TEX202008240","semim001",6,"laurr001",8,"olsom001",3,"chapm001",5,"canhm001",10,"grosr001",7,"piscs001",9,"kempt001",4,"murps001",2
"TEX202008250","semim001",6,"grosr001",7,"chapm001",5,"canhm001",10,"piscs001",9,"olsom001",3,"laurr001",8,"kempt001",4,"heimj001",2
"TEX202008260","semim001",6,"laurr001",8,"piscs001",9,"canhm001",7,"olsom001",3,"davik003",10,"murps001",2,"barrf001",4,"machv001",5
"TEX202008280","bettm001",9,"seagc001",10,"turnj001",5,"bellc002",8,"polla001",7,"taylc001",6,"muncm001",3,"smitw003",2,"herne001",4
"TEX202008290","bettm001",9,"seagc001",6,"muncm001",5,"bellc002",8,"pedej001",10,"beatm001",3,"polla001",7,"lux-g001",4,"barna001",2
"TEX202008300","bettm001",10,"seagc001",6,"muncm001",5,"bellc002",3,"polla001",8,"pedej001",9,"taylc001",7,"smitw003",2,"lux-g001",4
"TEX202009080","simma001",6,"thaim001",4,"troum001",8,"renda001",5,"ohtas001",10,"uptoj001",7,"stasm001",2,"walsj001",3,"adelj001",9
"TEX202009090","simma001",6,"thaim001",7,"troum001",8,"renda001",5,"ohtas001",10,"pujoa001",3,"adelj001",9,"bemba001",2,"rengl001",4
"TEX202009100","simma001",6,"thaim001",10,"troum001",8,"renda001",5,"walsj001",3,"stasm001",2,"adelj001",9,"wardt002",7,"rengl001",4
"TEX202009110","lastt001",4,"semim001",6,"laurr001",8,"olsom001",3,"canhm001",9,"grosr001",7,"davik003",10,"machv001",5,"murps001",2
"TEX202009121","lastt001",10,"semim001",6,"laurr001",8,"olsom001",3,"grosr001",7,"canhm001",9,"machv001",5,"heimj001",2,"kempt001",4
"TEX202009122","semim001",6,"lastt001",4,"piscs001",9,"canhm001",7,"olsom001",3,"davik003",10,"laurr001",8,"murps001",2,"machv001",5
"TEX202009130","lastt001",5,"semim001",6,"piscs001",9,"olsom001",3,"grosr001",7,"canhm001",10,"laurr001",8,"heimj001",2,"kempt001",4
"TEX202009240","sprig001",8,"altuj001",4,"branm003",10,"brega001",5,"tuckk001",7,"gurry001",3,"corrc001",6,"reddj001",9,"garnd001",2
"TEX202009250","sprig001",8,"altuj001",4,"branm003",10,"brega001",5,"tuckk001",7,"gurry001",3,"corrc001",6,"reddj001",9,"maldm001",2
"TEX202009260","stram002",8,"altuj001",4,"brega001",5,"tuckk001",7,"gurry001",10,"reddj001",9,"diaza003",3,"garnd001",2,"mayfj001",6
"TEX202009270","sprig001",8,"altuj001",4,"branm003",10,"brega001",5,"diaza003",7,"gurry001",3,"corrc001",6,"reddj001",9,"garnd001",2
