"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"TOR202007290","hernt002",8,"biggc002",4,"gurrl001",7,"guerv002",3,"tellr001",10,"jansd001",2,"panij002",5,"espis001",6,"fishd001",9
"TOR202007300","bichb001",6,"biggc002",4,"gurrl001",7,"guerv002",10,"tellr001",3,"hernt002",8,"fishd001",9,"jansd001",2,"drurb001",5
"TOR202008110","biggc002",4,"bichb001",6,"shawt001",5,"hernt002",9,"gurrl001",7,"guerv002",3,"gricr001",8,"panij002",10,"jansd001",2
"TOR202008120","biggc002",4,"bichb001",6,"shawt001",5,"hernt002",9,"gurrl001",7,"guerv002",3,"gricr001",8,"tellr001",10,"jansd001",2
"TOR202008140","biggc002",4,"bichb001",6,"shawt001",5,"hernt002",9,"gurrl001",7,"guerv002",10,"gricr001",8,"tellr001",3,"jansd001",2
"TOR202008150","biggc002",4,"bichb001",6,"gurrl001",7,"hernt002",9,"guerv002",3,"gricr001",8,"tellr001",10,"mcgur002",2,"drurb001",5
"TOR202008160","biggc002",4,"gricr001",8,"shawt001",5,"hernt002",9,"tellr001",3,"guerv002",10,"jansd001",2,"drurb001",6,"alfoa002",7
"TOR202008201","biggc002",8,"gricr001",10,"shawt001",5,"hernt002",9,"guerv002",3,"panij002",4,"mckib001",7,"mcgur002",2,"espis001",6
"TOR202008202","biggc002",4,"gricr001",8,"tellr001",3,"hernt002",9,"guerv002",10,"gurrl001",7,"panij002",6,"jansd001",2,"drurb001",5
"TOR202008250","biggc002",9,"gricr001",10,"guerv002",3,"hernt002",8,"gurrl001",7,"shawt001",5,"jansd001",2,"drurb001",4,"espis001",6
"TOR202008260","biggc002",4,"gricr001",8,"shawt001",5,"hernt002",9,"guerv002",10,"tellr001",3,"gurrl001",7,"mcgur002",2,"espis001",6
"TOR202008280","biggc002",4,"gricr001",8,"guerv002",3,"hernt002",9,"gurrl001",7,"tellr001",10,"shawt001",5,"jansd001",2,"panij002",6
"TOR202008290","biggc002",4,"gricr001",8,"tellr001",3,"hernt002",9,"guerv002",10,"shawt001",5,"fishd001",7,"jansd001",2,"panij002",6
"TOR202008300","biggc002",4,"gricr001",8,"shawt001",5,"hernt002",9,"guerv002",10,"tellr001",3,"gurrl001",7,"panij002",6,"mcgur002",2
"TOR202008310","biggc002",4,"gricr001",8,"guerv002",3,"hernt002",9,"gurrl001",7,"voged001",10,"jansd001",2,"panij002",5,"espis001",6
"TOR202009042","biggc002",4,"gricr001",8,"tellr001",3,"hernt002",10,"villj001",6,"gurrl001",7,"fishd001",9,"shawt001",5,"mcgur002",2
"TOR202009070","biggc002",9,"gricr001",8,"tellr001",3,"guerv002",10,"gurrl001",7,"villj001",4,"shawt001",5,"espis001",6,"jansd001",2
"TOR202009080","biggc002",4,"gricr001",8,"tellr001",3,"guerv002",10,"gurrl001",7,"panij002",5,"davij007",9,"jansd001",2,"espis001",6
"TOR202009090","biggc002",4,"gricr001",8,"shawt001",3,"guerv002",10,"panij002",5,"villj001",6,"josec002",2,"fishd001",7,"davij007",9
"TOR202009110","biggc002",9,"gricr001",8,"shawt001",5,"guerv002",3,"gurrl001",7,"villj001",10,"panij002",4,"jansd001",2,"espis001",6
"TOR202009120","biggc002",9,"bichb001",6,"shawt001",5,"gricr001",8,"guerv002",3,"gurrl001",7,"villj001",10,"kirka001",2,"panij002",4
"TOR202009130","biggc002",5,"bichb001",10,"guerv002",3,"gricr001",8,"gurrl001",7,"villj001",4,"davij007",9,"espis001",6,"jansd001",2
"TOR202009181","biggc002",10,"bichb001",6,"gurrl001",7,"hernt002",9,"gricr001",8,"guerv002",3,"shawt001",5,"villj001",4,"kirka001",2
"TOR202009210","biggc002",5,"bichb001",6,"hernt002",9,"gurrl001",10,"gricr001",8,"guerv002",3,"villj001",4,"kirka001",2,"davij007",7
"TOR202009220","biggc002",5,"bichb001",6,"hernt002",9,"guerv002",3,"gricr001",10,"gurrl001",7,"panij002",4,"kirka001",2,"davij007",8
"TOR202009230","biggc002",4,"bichb001",10,"hernt002",9,"gricr001",8,"guerv002",3,"gurrl001",7,"shawt001",5,"panij002",6,"jansd001",2
"TOR202009240","biggc002",5,"bichb001",6,"hernt002",9,"gricr001",8,"guerv002",3,"gurrl001",7,"kirka001",10,"villj001",4,"jansd001",2
"TOR202009250","villj001",4,"bichb001",6,"hernt002",9,"gricr001",8,"guerv002",10,"shawt001",3,"davij007",7,"panij002",5,"jansd001",2
"TOR202009260","biggc002",5,"villj001",4,"hernt002",9,"guerv002",3,"gurrl001",7,"shawt001",10,"kirka001",2,"panij002",6,"davij007",8
"TOR202009270","biggc002",5,"bichb001",6,"guerv002",10,"gricr001",8,"gurrl001",7,"shawt001",3,"villj001",4,"davij007",9,"jansd001",2
