"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"TOR202007290","turnt001",6,"eatoa002",9,"cabra002",10,"thame001",3,"suzuk001",2,"casts001",4,"kiebc001",5,"steva001",7,"roblv001",8
"TOR202007300","turnt001",6,"eatoa002",9,"casts001",4,"cabra002",3,"suzuk001",2,"harrj002",10,"kiebc001",5,"roblv001",8,"taylm002",7
"TOR202008110","villj001",6,"bertj001",4,"aguij001",10,"dickc002",7,"andeb006",5,"cervf001",2,"brinl001",9,"forsl001",3,"harrm003",8
"TOR202008120","villj001",6,"aguij001",3,"dickc002",10,"joycm001",7,"andeb006",5,"cervf001",2,"alvae001",4,"bertj001",9,"sierm002",8
"TOR202008140","meada001",7,"loweb001",4,"wendj002",5,"choij001",3,"adamw002",6,"tsuty001",10,"kierk001",8,"renfh001",9,"perem005",2
"TOR202008150","meada001",7,"loweb001",10,"diazy001",5,"choij001",3,"brosm001",4,"adamw002",6,"kierk001",8,"margm001",9,"zunim001",2
"TOR202008160","meada001",10,"loweb001",4,"wendj002",5,"choij001",3,"tsuty001",7,"adamw002",6,"kierk001",8,"renfh001",9,"perem005",2
"TOR202008201","mccua001",10,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",4,"gregd001",6,"gossp001",7,"bohma001",5,"quinr003",8
"TOR202008202","mccua001",7,"hoskr001",3,"harpb003",9,"gregd001",6,"bohma001",5,"brucj001",10,"walkn001",4,"knapa001",2,"kings001",8
"TOR202008250","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"peraj003",4
"TOR202008260","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"chavm001",4
"TOR202008280","albeh001",5,"santa003",9,"iglej001",10,"nuner001",3,"sevep001",2,"mounr001",7,"valap001",4,"velaa001",6,"mullc002",8
"TOR202008290","albeh001",4,"santa003",9,"iglej001",6,"nuner001",3,"sevep001",10,"siscc001",2,"mounr001",7,"ruizr002",5,"mullc002",8
"TOR202008300","albeh001",4,"santa003",9,"iglej001",10,"nuner001",3,"sevep001",2,"mounr001",7,"willm007",8,"ruizr002",5,"velaa001",6
"TOR202008310","albeh001",4,"santa003",9,"iglej001",6,"nuner001",3,"sevep001",2,"siscc001",10,"mounr001",7,"ruizr002",5,"mullc002",8
"TOR202009042","verda001",10,"munoy001",9,"dever001",5,"vazqc001",2,"chavm001",4,"bradj001",8,"dalbb001",3,"lin-t001",7,"arauj001",6
"TOR202009070","lemad001",5,"voitl001",3,"hicka001",8,"frazc001",9,"torrg001",6,"andum001",10,"gardb001",7,"higak001",2,"estrt001",4
"TOR202009080","lemad001",5,"voitl001",3,"hicka001",8,"frazc001",9,"torrg001",6,"taucm001",7,"sancg002",2,"andum001",10,"wadet002",4
"TOR202009090","lemad001",5,"voitl001",3,"hicka001",8,"frazc001",9,"torrg001",6,"andum001",10,"gardb001",7,"sancg002",2,"wadet002",4
"TOR202009110","nimmb001",8,"confm001",9,"davij006",5,"smitd008",3,"canor001",4,"alonp001",10,"mcnej002",7,"gimea001",6,"ramow001",2
"TOR202009120","mcnej002",7,"davij006",5,"confm001",9,"alonp001",10,"smitd008",3,"canor001",4,"marij002",8,"ramow001",2,"rosaa003",6
"TOR202009130","mcnej002",4,"davij006",10,"confm001",9,"frazt001",5,"smitd008",7,"alonp001",3,"rosaa003",6,"nimmb001",8,"chirr001",2
"TOR202009181","mccua001",10,"harpb003",9,"bohma001",5,"gregd001",6,"gossp001",3,"kings001",4,"knapa001",2,"monim001",7,"quinr003",8
"TOR202009210","lemad001",4,"judga001",9,"stanm004",10,"voitl001",3,"torrg001",6,"hicka001",8,"urshg001",5,"sancg002",2,"gardb001",7
"TOR202009220","lemad001",4,"judga001",10,"hicka001",8,"voitl001",3,"torrg001",6,"urshg001",5,"frazc001",9,"gardb001",7,"higak001",2
"TOR202009230","lemad001",4,"judga001",9,"stanm004",10,"voitl001",3,"torrg001",6,"hicka001",8,"urshg001",5,"sancg002",2,"frazc001",7
"TOR202009240","lemad001",4,"voitl001",3,"hicka001",8,"stanm004",10,"torrg001",6,"urshg001",5,"frazc001",9,"higak001",2,"gardb001",7
"TOR202009250","haysa001",7,"iglej001",10,"stewd002",9,"mounr001",3,"ruizr002",5,"albeh001",4,"siscc001",2,"uriar001",6,"mullc002",8
"TOR202009260","haysa001",7,"iglej001",6,"mounr001",3,"stewd002",9,"sevep001",2,"ruizr002",5,"albeh001",10,"uriar001",4,"mullc002",8
"TOR202009270","haysa001",7,"stewd002",9,"mounr001",3,"nuner001",10,"ruizr002",5,"albeh001",4,"siscc001",2,"valap001",6,"mullc002",8
