"GAME_ID","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD"
"WAS202007230","turnt001",6,"eatoa002",9,"casts001",4,"kendh001",10,"thame001",3,"suzuk001",2,"cabra002",5,"steva001",7,"roblv001",8
"WAS202007250","turnt001",6,"eatoa002",9,"casts001",4,"kendh001",3,"cabra002",5,"suzuk001",2,"kiebc001",10,"roblv001",8,"taylm002",7
"WAS202007260","turnt001",6,"eatoa002",9,"casts001",4,"kendh001",10,"thame001",3,"cabra002",5,"roblv001",8,"gomey001",2,"taylm002",7
"WAS202007270","turnt001",6,"eatoa002",9,"casts001",4,"kendh001",3,"cabra002",5,"thame001",10,"suzuk001",2,"roblv001",8,"taylm002",7
"WAS202007280","turnt001",6,"eatoa002",9,"kendh001",3,"cabra002",5,"thame001",10,"casts001",4,"roblv001",8,"gomey001",2,"bonie001",7
"WAS202008040","turnt001",6,"eatoa002",9,"kendh001",3,"cabra002",10,"casts001",4,"harrj002",7,"kiebc001",5,"gomey001",2,"roblv001",8
"WAS202008050","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"kendh001",10,"cabra002",5,"thame001",3,"suzuk001",2,"roblv001",8
"WAS202008070","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"kendh001",3,"suzuk001",2,"harrj002",10,"kiebc001",5,"roblv001",8
"WAS202008080","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"kendh001",10,"thame001",3,"cabra002",5,"suzuk001",2,"roblv001",8
"WAS202008090","turnt001",6,"eatoa002",9,"casts001",4,"sotoj001",7,"cabra002",3,"thame001",10,"kiebc001",5,"gomey001",2,"taylm002",8
"WAS202008210","turnt001",6,"eatoa002",9,"sotoj001",7,"cabra002",3,"garcl006",4,"gomey001",2,"thame001",10,"kiebc001",5,"roblv001",8
"WAS202008221","turnt001",6,"sotoj001",7,"kendh001",10,"cabra002",3,"suzuk001",2,"harrj002",4,"kiebc001",5,"roblv001",8,"taylm002",9
"WAS202008230","turnt001",6,"eatoa002",9,"sotoj001",7,"kendh001",10,"thame001",3,"suzuk001",2,"garcl006",4,"kiebc001",5,"roblv001",8
"WAS202008240","turnt001",6,"eatoa002",9,"sotoj001",7,"kendh001",10,"cabra002",5,"garcl006",4,"gomey001",2,"thame001",3,"roblv001",8
"WAS202008250","turnt001",6,"eatoa002",9,"sotoj001",7,"cabra002",3,"suzuk001",2,"garcl006",4,"thame001",10,"kiebc001",5,"roblv001",8
"WAS202008260","turnt001",6,"eatoa002",9,"cabra002",5,"sotoj001",7,"kendh001",10,"gomey001",2,"garcl006",4,"thame001",3,"roblv001",8
"WAS202009070","eatoa002",9,"turnt001",6,"holtb002",10,"suzuk001",2,"harrj002",4,"thame001",3,"kiebc001",5,"taylm002",7,"roblv001",8
"WAS202009080","roblv001",8,"eatoa002",9,"turnt001",6,"sotoj001",10,"suzuk001",2,"cabra002",3,"harrj002",4,"holtb002",7,"kiebc001",5
"WAS202009100","roblv001",8,"eatoa002",9,"turnt001",6,"sotoj001",10,"cabra002",3,"harrj002",4,"gomey001",2,"taylm002",7,"kiebc001",5
"WAS202009110","eatoa002",9,"turnt001",6,"sotoj001",10,"thame001",3,"holtb002",7,"gomey001",2,"garcl006",4,"kiebc001",5,"roblv001",8
"WAS202009120","holtb002",7,"turnt001",6,"sotoj001",10,"cabra002",5,"thame001",3,"gomey001",2,"garcl006",4,"taylm002",8,"herny002",9
"WAS202009130","eatoa002",9,"turnt001",6,"sotoj001",7,"cabra002",3,"suzuk001",2,"thame001",10,"kiebc001",5,"garcl006",4,"roblv001",8
"WAS202009210","steva001",9,"turnt001",6,"sotoj001",7,"cabra002",3,"holtb002",10,"suzuk001",2,"garcl006",4,"kiebc001",5,"roblv001",8
"WAS202009221","steva001",9,"turnt001",6,"sotoj001",7,"cabra002",10,"holtb002",3,"gomey001",2,"garcl006",4,"harrj002",5,"roblv001",8
"WAS202009222","steva001",7,"turnt001",6,"sotoj001",9,"suzuk001",2,"holtb002",5,"garcl006",4,"thame001",3,"herny002",10,"taylm002",8
"WAS202009230","steva001",7,"harrj002",4,"sotoj001",9,"cabra002",3,"holtb002",5,"gomey001",2,"garcl006",6,"herny002",10,"taylm002",8
"WAS202009240","turnt001",6,"sotoj001",9,"suzuk001",10,"gomey001",2,"harrj002",5,"nollj001",3,"taylm002",7,"garcl006",4,"roblv001",8
"WAS202009261","steva001",7,"turnt001",6,"sotoj001",9,"herny002",10,"holtb002",3,"gomey001",2,"garcl006",4,"harrj002",5,"roblv001",8
"WAS202009262","steva001",7,"turnt001",6,"sotoj001",9,"herny002",10,"holtb002",3,"suzuk001",2,"garcl006",4,"harrj002",5,"taylm002",8
"WAS202009270","steva001",7,"turnt001",6,"sotoj001",9,"herny002",10,"gomey001",2,"holtb002",3,"harrj002",5,"garcl006",4,"roblv001",8
