"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"WAS202007230","hicka001",8,"judga001",9,"torrg001",6,"stanm004",10,"gardb001",7,"sancg002",2,"voitl001",3,"urshg001",5,"wadet002",4
"WAS202007250","lemad001",4,"judga001",9,"torrg001",6,"stanm004",10,"hicka001",8,"voitl001",3,"sancg002",2,"urshg001",5,"gardb001",7
"WAS202007260","lemad001",4,"judga001",9,"torrg001",6,"stanm004",10,"voitl001",3,"urshg001",5,"andum001",7,"higak001",2,"taucm001",8
"WAS202007270","hernt002",8,"biggc002",4,"gurrl001",7,"guerv002",3,"tellr001",10,"drurb001",5,"panij002",6,"jansd001",2,"fishd001",9
"WAS202007280","hernt002",8,"biggc002",9,"gurrl001",7,"guerv002",10,"tellr001",3,"drurb001",5,"panij002",4,"espis001",6,"mcgur002",2
"WAS202008040","nimmb001",7,"davij006",5,"alonp001",3,"ramow001",10,"confm001",9,"dozib001",4,"cordr001",8,"gimea001",6,"nidot001",2
"WAS202008050","nimmb001",7,"confm001",9,"alonp001",3,"smitd008",10,"davij006",5,"gimea001",6,"ramow001",2,"guill001",4,"hamib001",8
"WAS202008070","albeh001",4,"santa003",9,"iglej001",6,"nuner001",10,"smitd007",7,"sevep001",2,"ruizr002",5,"davic003",3,"haysa001",8
"WAS202008080","albeh001",4,"santa003",9,"iglej001",6,"ruizr002",5,"nuner001",10,"siscc001",2,"smitd007",7,"davic003",3,"haysa001",8
"WAS202008090","albeh001",4,"santa003",9,"nuner001",3,"ruizr002",5,"smitd007",7,"haysa001",8,"siscc001",10,"valap001",6,"holab001",2
"WAS202008210","villj001",4,"aguij001",3,"cervf001",2,"andeb006",5,"dickc002",7,"alfaj002",10,"brinl001",8,"sancj003",9,"rojam002",6
"WAS202008221","villj001",4,"joycm001",10,"aguij001",3,"dickc002",7,"andeb006",5,"sancj003",9,"alfaj002",2,"sierm002",8,"rojam002",6
"WAS202008230","villj001",4,"joycm001",10,"aguij001",3,"dickc002",7,"andeb006",5,"sancj003",9,"rojam002",6,"brinl001",8,"navab001",2
"WAS202008240","bertj001",8,"joycm001",10,"aguij001",3,"dickc002",7,"andeb006",5,"sancj003",9,"alfaj002",2,"villj001",4,"rojam002",6
"WAS202008250","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"gregd001",6,"seguj002",5,"bohma001",10,"quinr003",8,"kings001",4
"WAS202008260","mccua001",7,"hoskr001",3,"harpb003",9,"realj001",2,"seguj002",4,"gossp001",10,"gregd001",6,"bohma001",5,"kings001",8
"WAS202009070","meada001",7,"loweb001",9,"wendj002",4,"choij001",3,"adamw002",6,"tsuty001",5,"kierk001",8,"lowen001",10,"smitk002",2
"WAS202009080","meada001",10,"loweb001",4,"arozr001",7,"choij001",3,"tsuty001",5,"margm001",9,"kierk001",8,"adamw002",6,"perem005",2
"WAS202009100","acunr001",8,"freef001",3,"ozunm001",10,"duvaa001",7,"swand001",6,"rilea001",5,"albio001",4,"markn001",9,"flowt001",2
"WAS202009110","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"swand001",6,"rilea001",5,"duvaa001",7,"markn001",9,"albio001",4
"WAS202009120","acunr001",8,"freef001",3,"ozunm001",7,"darnt001",10,"swand001",6,"rilea001",5,"duvaa001",9,"flowt001",2,"albio001",4
"WAS202009130","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"swand001",6,"markn001",9,"duvaa001",7,"rilea001",5,"albio001",4
"WAS202009210","hasea001",7,"harpb003",10,"bohma001",3,"gregd001",6,"seguj002",5,"brucj001",9,"knapa001",2,"kings001",4,"quinr003",8
"WAS202009221","mccua001",10,"harpb003",9,"bohma001",5,"gregd001",6,"realj001",2,"seguj002",4,"brucj001",3,"hasea001",8,"monim001",7
"WAS202009222","mccua001",7,"bohma001",3,"harpb003",9,"realj001",10,"gregd001",6,"seguj002",5,"knapa001",2,"kings001",4,"quinr003",8
"WAS202009230","mccua001",7,"bohma001",5,"harpb003",10,"realj001",3,"gregd001",6,"seguj002",4,"brucj001",9,"knapa001",2,"kings001",8
"WAS202009240","mcnej002",9,"davij006",10,"smitd008",7,"alonp001",3,"canor001",4,"frazt001",5,"rosaa003",6,"hereg002",8,"chirr001",2
"WAS202009261","nimmb001",8,"mcnej002",9,"davij006",10,"smitd008",7,"canor001",4,"alonp001",3,"gimea001",6,"guill001",5,"ramow001",2
"WAS202009262","nimmb001",9,"mcnej002",7,"canor001",10,"alonp001",3,"frazt001",5,"guill001",4,"rosaa003",6,"hereg002",8,"chirr001",2
"WAS202009270","nimmb001",7,"canor001",10,"alonp001",3,"frazt001",5,"ramow001",2,"guill001",4,"rosaa003",6,"hereg002",8,"cordr001",9
