"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"TBA202010110",1,0,3,2,"FBBBFX","sprig001","5/L5",1
"TBA202010110",1,0,2,1,"BBFX","altuj001","HR/F78XD",2
"TBA202010110",1,0,2,2,"BSCFBFFFX","branm003","S7/L78",3
"TBA202010110",1,0,2,2,"CB*BCX","brega001","9/F9S",4
"TBA202010110",1,0,1,0,"B1>B","corrc001","SB2",5
"TBA202010110",1,0,3,1,"B1>B.S*BX","corrc001","63/G6M",6
"TBA202010110",1,1,1,2,"CCBS","brosm001","K",7
"TBA202010110",1,1,1,2,"BCCS","arozr001","K",8
"TBA202010110",1,1,0,2,"TCS","loweb001","K",9
"TBA202010110",2,0,1,2,"BFSX","tuckk001","9/F9",10
"TBA202010110",2,0,1,2,"BCFFX","gurry001","9/F9LSF/FL",11
"TBA202010110",2,0,1,2,"CBSS","diaza003","K",12
"TBA202010110",2,1,3,2,"BBBCCB","diazy001","W",13
"TBA202010110",2,1,2,2,"BCBSS","renfh001","K",14
"TBA202010110",2,1,1,1,"*BCX","adamw002","64(1)3/GDP/G6",15
"TBA202010110",3,0,2,0,"BBX","maldm001","8/F8XD+",16
"TBA202010110",3,0,1,2,"CSBX","sprig001","S7/G56",17
"TBA202010110",3,0,1,1,"CB11","altuj001","POCS2(134)",18
"TBA202010110",3,0,2,2,"CB11.SFBX","altuj001","S8/L89D",19
"TBA202010110",3,0,1,0,"*B1X","branm003","7/F7D",20
"TBA202010110",3,1,1,2,"BCFX","margm001","63/G6D",21
"TBA202010110",3,1,0,0,"X","kierk001","D9/L9D+",22
"TBA202010110",3,1,2,2,"CBCFB>B","zunim001","CS3(25)",23
"TBA202010110",3,1,3,2,"CBCFB>B.X","zunim001","9/F89S",24
"TBA202010110",4,0,3,2,"CBSBFFBX","brega001","S8/L8D",25
"TBA202010110",4,0,3,2,"BBFFB*B","corrc001","W.1-2",26
"TBA202010110",4,0,0,0,"X","tuckk001","6/L4MD/DP.2X2(6)",27
"TBA202010110",4,0,3,2,"*S*BS*BB>F1>B","gurry001","W.1-2",28
"TBA202010110",4,0,2,1,"*BBCX","diaza003","S1/G1.2-3;1-2",29
"TBA202010110",4,0,1,0,"BX","maldm001","9/L9",30
"TBA202010110",4,1,0,0,"X","brosm001","63/G6",31
"TBA202010110",4,1,1,2,"BSCFFX","arozr001","HR/L89XD",32
"TBA202010110",4,1,1,0,"BX","loweb001","S1/G25-",33
"TBA202010110",4,1,1,2,"1*BC1CS","diazy001","K",34
"TBA202010110",4,1,2,2,"*S*B1BCS","renfh001","K",35
"TBA202010110",5,0,3,2,"BBBCFFFS","sprig001","K",36
"TBA202010110",5,0,3,2,"BCBCBX","altuj001","53/G5",37
"TBA202010110",5,0,3,2,"FBSBBX","branm003","43/G4D+",38
"TBA202010110",5,1,3,1,"FBBBB","adamw002","W",39
"TBA202010110",5,1,0,0,"X","margm001","13/G1S-.1-2",40
"TBA202010110",5,1,0,2,"CCFX","kierk001","13/G6MS.2-3",41
"TBA202010110",5,1,0,0,"X","zunim001","S8/L78.3-H",42
"TBA202010110",5,1,1,1,"BCX","brosm001","E6/G6.1-2;B-1",43
"TBA202010110",5,1,1,2,"*BFFS","arozr001","K",44
"TBA202010110",6,0,3,2,".BBCSBX","brega001","S4/G34",45
"TBA202010110",6,0,1,1,"CBX","corrc001","54(1)/FO/G5+.B-1",46
"TBA202010110",6,0,2,1,"CBB1X","tuckk001","13/G1S-.1-2",47
"TBA202010110",6,0,2,0,"BBB","gurry001","PB.2-3",48
"TBA202010110",6,0,3,0,"BBB.B","gurry001","W",49
"TBA202010110",6,0,0,0,"X","diaza003","23/G2-",50
"TBA202010110",6,1,2,0,"BBX","loweb001","43/G4D+",51
"TBA202010110",6,1,3,1,"BBBCB","diazy001","W",52
"TBA202010110",6,1,1,2,"CB*SFFT","renfh001","K",53
"TBA202010110",6,1,3,1,"BCBB*B","adamw002","W.1-2",54
"TBA202010110",6,1,0,2,"CCX","margm001","63/G6",55
"TBA202010110",7,0,2,2,".CBBSS","maldm001","K",56
"TBA202010110",7,0,0,1,"FX","sprig001","43/G4D",57
"TBA202010110",7,0,3,1,"BBCBX","altuj001","63/G6M",58
"TBA202010110",7,1,2,2,".SBBFX","kierk001","D7/L7LD",59
"TBA202010110",7,1,2,2,"CFBBS","zunim001","K",60
"TBA202010110",7,1,1,1,"CBH","brosm001","HP",61
"TBA202010110",7,1,2,2,".SFBBS","arozr001","K",62
"TBA202010110",7,1,2,2,"FFBF*BFT","loweb001","K",63
"TBA202010110",8,0,0,0,".H","branm003","HP",64
"TBA202010110",8,0,1,2,"BCFS","brega001","K",65
"TBA202010110",8,0,0,0,"B","corrc001","WP.1-2",66
"TBA202010110",8,0,3,2,"B.BFCFB*B","corrc001","W",67
"TBA202010110",8,0,0,0,"X","tuckk001","S7/G6+.2-3;1-2",68
"TBA202010110",8,0,0,0,".X","gurry001","4(1)3/GDP/G6M",69
"TBA202010110",8,1,3,2,".BBCBFX","diazy001","S6/G56",70
"TBA202010110",8,1,1,2,".1BS1TC","renfh001","K",71
"TBA202010110",8,1,1,2,"C1F1*BS","adamw002","K",72
"TBA202010110",8,1,3,2,"1BFBFFB>F>F>B","margm001","W.1-2",73
"TBA202010110",8,1,3,2,"SBCB*B>X","kierk001","6/P4MD",74
"TBA202010110",9,0,2,2,"..BBFSX","diaza003","7/L7D",75
"TBA202010110",9,0,2,1,".BSBX","reddj001","S8/G4S+",76
"TBA202010110",9,0,0,2,".F1CX","sprig001","31/G34-.1-2",77
"TBA202010110",9,0,1,2,"C*BFS","altuj001","K",78
"TBA202010120",1,0,3,2,"SFBBBX","sprig001","S8/L89D",1
"TBA202010120",1,0,0,2,"CFC","altuj001","K",2
"TBA202010120",1,0,0,2,"FCX","branm003","S9/G4+.1-3",3
"TBA202010120",1,0,0,0,"X","brega001","6/L6+",4
"TBA202010120",1,0,1,2,"BFSFS","tuckk001","K",5
"TBA202010120",1,1,2,2,"BCCBFFX","meada001","63/G4",6
"TBA202010120",1,1,0,0,"X","loweb001","13/G4MS",7
"TBA202010120",1,1,0,0,"X","arozr001","S7/G6+",8
"TBA202010120",1,1,2,1,"CBB>X","choij001","E4/TH/G34D+.1-2;B-1",9
"TBA202010120",1,1,0,1,"FX","margm001","HR/F8XD.2-H(UR);1-H(UR);B-H(UR)",10
"TBA202010120",1,1,3,1,"BBCBX","wendj002","53/G6",11
"TBA202010120",2,0,0,1,"CX","corrc001","6/L56D",12
"TBA202010120",2,0,1,1,"CBX","gurry001","S9/F9LS",13
"TBA202010120",2,0,1,2,"CBFFFFFX","reddj001","2/P25",14
"TBA202010120",2,0,1,2,"CSBX","maldm001","DGR/L7LD+.1-3",15
"TBA202010120",2,0,1,1,"C*BX","sprig001","9/F9LF/FL",16
"TBA202010120",2,1,0,0,"X","adamw002","6/P7LS",17
"TBA202010120",2,1,0,2,"CST","kierk001","K",18
"TBA202010120",2,1,0,0,"H","zunim001","HP",19
"TBA202010120",2,1,1,2,"C*BSS","meada001","K",20
"TBA202010120",3,0,3,2,"CBBFBX","altuj001","S8/G6M+",21
"TBA202010120",3,0,2,2,"BCBFC","branm003","K",22
"TBA202010120",3,0,1,0,"BX","brega001","63/G56D.1-2",23
"TBA202010120",3,0,3,2,"BSSFB*BX","tuckk001","8/F8XD",24
"TBA202010120",3,1,0,1,"CX","loweb001","E4/TH/G34D+.B-1",25
"TBA202010120",3,1,2,1,"BCBX","arozr001","S8/G6M+.1-2",26
"TBA202010120",3,1,2,2,"CCFBF*BT","choij001","K",27
"TBA202010120",3,1,0,1,"FX","margm001","7/L78D",28
"TBA202010120",3,1,1,0,"BX","wendj002","43/G4D+",29
"TBA202010120",4,0,3,2,"CBBFFBS","corrc001","K",30
"TBA202010120",4,0,3,0,"BBBH","gurry001","HP",31
"TBA202010120",4,0,2,1,"BBCX","reddj001","7/L7",32
"TBA202010120",4,0,2,0,"BBB","maldm001","PB.1-2",33
"TBA202010120",4,0,3,0,"BBB.B","maldm001","W",34
"TBA202010120",4,0,3,2,"FBBFFFB>X","sprig001","43/G4M+",35
"TBA202010120",4,1,1,2,"CFBC","adamw002","K",36
"TBA202010120",4,1,2,0,"BBX","kierk001","3/L3D",37
"TBA202010120",4,1,0,1,"SX","zunim001","6/P6M",38
"TBA202010120",5,0,2,1,"BBFX","altuj001","53/G56",39
"TBA202010120",5,0,0,2,"FTC","branm003","K",40
"TBA202010120",5,0,2,1,"CBBX","brega001","63/G56+",41
"TBA202010120",5,1,1,2,"SFBS","meada001","K",42
"TBA202010120",5,1,3,2,"BBCSBC","loweb001","K",43
"TBA202010120",5,1,1,2,"CBSS","arozr001","K",44
"TBA202010120",6,0,0,0,".X","tuckk001","8/F8XD",45
"TBA202010120",6,0,1,0,"BX","corrc001","HR/F78XD",46
"TBA202010120",6,0,1,2,"CBCFX","gurry001","9/L9D",47
"TBA202010120",6,0,0,0,"X","reddj001","8/F8",48
"TBA202010120",6,1,2,2,"BFBFC","choij001","K",49
"TBA202010120",6,1,3,2,"BBBCSFX","margm001","53/G5",50
"TBA202010120",6,1,1,2,"BFSS","wendj002","K",51
"TBA202010120",7,0,1,2,"CCBS","maldm001","K",52
"TBA202010120",7,0,0,2,"CC*S","sprig001","K",53
"TBA202010120",7,0,1,2,"FBCS","altuj001","K",54
"TBA202010120",7,1,2,2,"CTBBS","adamw002","K",55
"TBA202010120",7,1,3,2,"BSBBSS","kierk001","K",56
"TBA202010120",7,1,1,1,"SBX","zunim001","HR/F8XD",57
"TBA202010120",7,1,0,0,"X","meada001","43/G4D",58
"TBA202010120",8,0,0,1,".CX","branm003","43/G4",59
"TBA202010120",8,0,1,2,"BCCX","brega001","53/G56+",60
"TBA202010120",8,0,1,0,"BX","tuckk001","S7/G56",61
"TBA202010120",8,0,0,1,".1CX","corrc001","54(1)/FO/G56S.B-1",62
"TBA202010120",8,1,2,2,".FTBBFS","loweb001","K",63
"TBA202010120",8,1,1,1,"BSX","arozr001","53/G5",64
"TBA202010120",8,1,2,2,"BCFB*S","choij001","K",65
"TBA202010120",9,0,0,1,"...SX","gurry001","S5/G56",66
"TBA202010120",9,0,0,0,"X","reddj001","S7/G56.1-2",67
"TBA202010120",9,0,2,2,".*BFBFX","diaza003","S8/L8D.2-3;1-2",68
"TBA202010120",9,0,0,0,".X","sprig001","4(1)3/GDP/G6MD.3-H(NR);2-3",69
"TBA202010120",9,0,3,0,"B*B*BB","altuj001","W",70
"TBA202010120",9,0,3,0,"BBBB","branm003","W.1-2",71
"TBA202010120",9,0,0,0,"X","brega001","8/L89XD",72
"HOU202010130",1,0,0,1,"FX","meada001","5/P5",1
"HOU202010130",1,0,2,0,"BBX","arozr001","8/F89XD",2
"HOU202010130",1,0,0,0,"X","loweb001","8/F78XD",3
"HOU202010130",1,1,2,2,"BCFBS","sprig001","K",4
"HOU202010130",1,1,1,1,"BCX","altuj001","HR/F7LD",5
"HOU202010130",1,1,0,2,"CCX","branm003","43/G4",6
"HOU202010130",1,1,1,1,"BCX","brega001","8/F8XD",7
"HOU202010130",2,0,1,0,"BX","diazy001","9/L9",8
"HOU202010130",2,0,0,2,"CFFX","wendj002","S7/G5",9
"HOU202010130",2,0,1,0,"B>X","margm001","S57/G5+.1-3",10
"HOU202010130",2,0,3,2,"1CB11BC1BS","kierk001","K",11
"HOU202010130",2,0,3,2,"*BF1BBS>B","adamw002","W.1-2",12
"HOU202010130",2,0,0,2,"CSFT","perem005","K",13
"HOU202010130",2,1,2,1,"BCBX","corrc001","9/F9",14
"HOU202010130",2,1,3,2,"CBBFBB","tuckk001","W",15
"HOU202010130",2,1,2,2,"BF1BFS","gurry001","K",16
"HOU202010130",2,1,3,2,"SBB1*BS>X","diaza003","S9/L9S-.1-3",17
"HOU202010130",2,1,1,2,"CF*BC","garnd001","K",18
"HOU202010130",3,0,1,1,"CBX","meada001","6/P3D",19
"HOU202010130",3,0,2,2,"BCSFBX","arozr001","D7/L7LD+",20
"HOU202010130",3,0,1,0,"BX","loweb001","63/G34D.2-3",21
"HOU202010130",3,0,2,0,"BBX","diazy001","9/L9D+",22
"HOU202010130",3,1,0,0,"X","sprig001","7/L7LD",23
"HOU202010130",3,1,3,2,"BCBBCFB","altuj001","W",24
"HOU202010130",3,1,2,2,"BBC1CX","branm003","6(1)/FO/G6MS.B-1",25
"HOU202010130",3,1,2,2,"CFBBFH","brega001","HP.1-2",26
"HOU202010130",3,1,0,0,"X","corrc001","8/L8D",27
"HOU202010130",4,0,1,2,"FFBFX","wendj002","43/G34D",28
"HOU202010130",4,0,0,2,"LSS","margm001","K",29
"HOU202010130",4,0,0,1,"FX","kierk001","53/G56S-",30
"HOU202010130",4,1,2,2,"SFBFBX","tuckk001","5/L6D",31
"HOU202010130",4,1,3,1,"BBCBX","gurry001","8/F78",32
"HOU202010130",4,1,0,2,"FSS","diaza003","K",33
"HOU202010130",5,0,3,1,"SBBBX","adamw002","8/F89XD+",34
"HOU202010130",5,0,1,2,"CBSC","perem005","K",35
"HOU202010130",5,0,2,1,"BFBX","meada001","8/F8",36
"HOU202010130",5,1,0,2,"CCS","garnd001","K",37
"HOU202010130",5,1,1,1,"CBX","sprig001","9/F89",38
"HOU202010130",5,1,1,0,"BX","altuj001","63/G25",39
"HOU202010130",6,0,2,2,"BBCFX","arozr001","S7/L78",40
"HOU202010130",6,0,1,1,"1B1SX","loweb001","FC4/G4.1-2(E4/TH);B-1",41
"HOU202010130",6,0,1,2,"..CFBX","diazy001","S8/L8D.2-3;1-2",42
"HOU202010130",6,0,0,2,"FCX","wendj002","S57/L7L.3-H(UR);2-H;1-2",43
"HOU202010130",6,0,0,0,"X","margm001","13/SH/BG2.2-3;1-2",44
"HOU202010130",6,0,0,2,"CSH","kierk001","HP",45
"HOU202010130",6,0,0,0,"H","adamw002","HP.3-H;2-3;1-2",46
"HOU202010130",6,0,3,1,"..BBCBX","renfh001","D9/F9LS.3-H;2-H;1-3",47
"HOU202010130",6,0,0,2,"FTX","meada001","5/P5SF-/FL",48
"HOU202010130",6,0,3,0,"VVVV","arozr001","IW",49
"HOU202010130",6,0,2,2,"CFFBFBS","loweb001","K",50
"HOU202010130",6,1,0,0,"...X","branm003","HR/F7D",51
"HOU202010130",6,1,2,2,".CCBBX","brega001","53/G5D",52
"HOU202010130",6,1,1,2,"SFBX","corrc001","63/G6D+",53
"HOU202010130",6,1,2,0,"BBX","tuckk001","13/G4MS",54
"HOU202010130",7,0,1,2,".CBFC","diazy001","K",55
"HOU202010130",7,0,1,2,"BCCX","wendj002","63/G4MD",56
"HOU202010130",7,0,2,2,"BFCBS","margm001","K",57
"HOU202010130",7,1,0,0,".X","gurry001","13/G6S",58
"HOU202010130",7,1,0,2,".CSX","reddj001","S8/F78",59
"HOU202010130",7,1,2,2,"CSB1BC","maldm001","K",60
"HOU202010130",7,1,0,1,"CX","sprig001","9/L9",61
"HOU202010130",8,0,3,2,".BSBFBFS","zunim001","K",62
"HOU202010130",8,0,1,2,"CSBX","adamw002","8/F8XD",63
"HOU202010130",8,0,0,1,"CX","renfh001","5/P6S",64
"HOU202010130",8,1,2,2,"CBCBX","altuj001","S9/G3",65
"HOU202010130",8,1,0,1,".1CX","branm003","S7/L7.1-2",66
"HOU202010130",8,1,3,2,"*BFBBFFS","brega001","K",67
"HOU202010130",8,1,2,2,"BSCFBFFX","corrc001","S5/G6S.2-3;1-2",68
"HOU202010130",8,1,2,1,".BBFX","tuckk001","9/F89",69
"HOU202010130",8,1,1,1,"BCX","gurry001","63/G6D",70
"HOU202010130",9,0,1,2,".SSBT","meada001","K",71
"HOU202010130",9,0,2,2,"FBBSX","arozr001","S9/F9L",72
"HOU202010130",9,0,2,2,"1B1SC11*BX","loweb001","7/F78XD",73
"HOU202010130",9,0,0,1,"CX","diazy001","46(1)/FO/G4MD.B-1",74
"HOU202010130",9,1,0,2,"..CSS","reddj001","K",75
"HOU202010130",9,1,3,2,".BBFFBFFB","toroa001","W",76
"HOU202010130",9,1,3,0,"B*BBB","sprig001","W.1-2",77
"HOU202010130",9,1,2,2,"FBSBS","altuj001","K",78
"HOU202010130",9,1,0,2,"C*SX","branm003","8/F78XD",79
"HOU202010140",1,0,1,2,"BCCC","margm001","K",1
