"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"TBA202010110",0,0,"snelb001",1,44
"TBA202010110",0,0,"curtj003",1,55
"TBA202010110",1,0,"valdf001",1,58
"TBA202010110",1,0,"taylb004",1,61
"TBA202010110",0,0,"thomr007",1,63
"TBA202010110",0,0,"loupa001",1,68
"TBA202010110",1,0,"paree003",1,69
"TBA202010110",1,4,"diazy001",3,70
"TBA202010110",0,1,"brosm001",5,74
"TBA202010110",0,4,"wendj002",12,74
"TBA202010110",0,9,"maldm001",2,75
"TBA202010110",0,9,"reddj001",11,76
"TBA202010120",0,0,"mortc002",1,44
"TBA202010120",0,0,"fairp001",1,58
"TBA202010120",0,0,"loupa001",1,61
"TBA202010120",1,0,"mccul002",1,62
"TBA202010120",0,3,"arozr001",7,65
"TBA202010120",0,5,"margm001",9,65
"TBA202010120",0,0,"thomr007",1,65
"TBA202010120",0,9,"maldm001",2,67
"TBA202010120",0,9,"diaza003",11,68
"HOU202010130",0,0,"urquj001",1,41
"HOU202010130",0,9,"garnd001",2,41
"HOU202010130",0,0,"paree003",1,46
"HOU202010130",0,9,"perem005",2,46
"HOU202010130",1,6,"margm001",9,50
"HOU202010130",1,7,"kierk001",8,50
"HOU202010130",1,9,"renfh001",11,50
"HOU202010130",1,0,"yarbr001",1,51
"HOU202010130",0,0,"raleb001",1,54
"HOU202010130",1,0,"fairp001",1,57
"HOU202010130",1,8,"diaza003",10,58
"HOU202010130",1,0,"curtj003",1,65
"HOU202010130",1,0,"thomr007",1,68
"HOU202010130",0,0,"jamej002",1,70
"HOU202010130",1,4,"diazy001",3,74
"HOU202010130",1,0,"loupa001",1,74
"HOU202010130",1,9,"maldm001",2,75
"HOU202010140",0,0,"greiz001",1,48
"HOU202010140",1,0,"glast001",1,52
"HOU202010140",1,8,"reddj001",10,52
"HOU202010140",0,1,"sprig001",8,56
"HOU202010140",0,2,"branm003",7,56
"HOU202010140",0,6,"tuckk001",9,56
"HOU202010140",1,0,"alvaj004",1,59
"HOU202010140",0,0,"javic001",1,63
"HOU202010140",0,5,"brosm001",4,63
"HOU202010150",1,0,"curtj003",1,15
"HOU202010150",0,0,"garcl007",1,17
"HOU202010150",0,0,"taylb004",1,20
"HOU202010150",0,0,"paree003",1,38
"HOU202010150",1,0,"flemj001",1,42
"HOU202010150",0,0,"scrua001",1,47
"HOU202010150",0,0,"raleb001",1,53
"HOU202010150",0,0,"jamej002",1,62
"HOU202010150",1,0,"slega001",1,63
"HOU202010150",0,9,"zunim001",2,67
"HOU202010150",1,3,"meada001",9,71
"HOU202010150",1,6,"margm001",8,71
"HOU202010150",1,9,"kierk001",12,71
"TBA202010160",0,0,"snelb001",1,33
"TBA202010160",0,0,"castd002",1,44
"TBA202010160",1,6,"tuckk001",9,49
"TBA202010160",1,8,"diaza003",7,49
"TBA202010160",0,0,"mccls003",1,60
"TBA202010160",1,0,"valdf001",1,62
"TBA202010160",1,0,"scrua001",1,68
"TBA202010160",0,0,"alvaj004",1,73
"TBA202010160",1,0,"taylb004",1,75
"TBA202010160",1,3,"renfh001",9,75
"TBA202010160",1,4,"diazy001",3,76
"TBA202010160",0,3,"meada001",11,80
"TBA202010160",0,4,"choij001",11,80
"TBA202010160",0,0,"loupa001",1,80
"TBA202010160",1,1,"sprig001",8,83
"TBA202010160",1,8,"reddj001",9,83
"TBA202010160",1,0,"javic001",1,83
"TBA202010160",1,9,"zunim001",2,84
"TBA202010170",1,0,"mccul002",1,30
"TBA202010170",1,0,"raleb001",1,34
"TBA202010170",0,0,"mortc002",1,42
"TBA202010170",1,0,"urquj001",1,52
"TBA202010170",0,9,"maldm001",2,56
"TBA202010170",0,0,"anden001",1,59
"TBA202010170",1,5,"brega001",5,63
"TBA202010170",1,9,"diaza003",11,63
"TBA202010170",1,0,"taylb004",1,65
"TBA202010170",1,5,"choij001",3,66
"TBA202010170",0,5,"brosm001",12,67
