"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"OAK202010050",1,0,1,2,"CBSX","sprig001","S7/G6+",1
"OAK202010050",1,0,1,0,"BX","altuj001","54(1)/FO/G56D.B-1",2
"OAK202010050",1,0,1,2,"BCF1>X","branm003","5/L6/DP.1X1(53)",3
"OAK202010050",1,1,2,2,"CBFBX","lastt001","53/G6D",4
"OAK202010050",1,1,1,0,"BX","semim001","13/G4MS+",5
"OAK202010050",1,1,3,2,"CCBBBFS","lambj001","K",6
"OAK202010050",2,0,2,2,"FBFBX","brega001","S6/G6",7
"OAK202010050",2,0,1,0,"BX","tuckk001","7/L7D+",8
"OAK202010050",2,0,2,2,"CB*BFFS","corrc001","K",9
"OAK202010050",2,0,1,1,"BFX","gurry001","S56/G6S-.1-2",10
"OAK202010050",2,0,0,2,"FTX","reddj001","6/P78S",11
"OAK202010050",2,1,3,2,"FBBBFC","canhm001","K",12
"OAK202010050",2,1,3,2,"CBBBFB","olsom001","W",13
"OAK202010050",2,1,0,0,"X","davik003","HR/F89XD.1-H",14
"OAK202010050",2,1,2,1,"BFBX","grosr001","8/F8XD",15
"OAK202010050",2,1,1,2,"CCBX","laurr001","3/G34",16
"OAK202010050",3,0,3,2,"BBCCBC","maldm001","K",17
"OAK202010050",3,0,2,1,"SBBX","sprig001","S7/L7D+",18
"OAK202010050",3,0,0,2,"SFS","altuj001","K",19
"OAK202010050",3,0,2,0,"11BBX","branm003","8/L78",20
"OAK202010050",3,1,1,1,"BCX","murps001","HR/F8XD",21
"OAK202010050",3,1,2,2,"CBBCX","lastt001","S9/L89",22
"OAK202010050",3,1,1,0,"BX","semim001","S8/L8D.1-2",23
"OAK202010050",3,1,0,2,"FSX","lambj001","46(1)3/GDP/G4D+.2-3",24
"OAK202010050",3,1,0,2,"CSS","canhm001","K",25
"OAK202010050",4,0,1,2,"CBCFX","brega001","HR/F7D",26
"OAK202010050",4,0,0,0,"X","tuckk001","S8/G6M",27
"OAK202010050",4,0,2,0,"1BBX","corrc001","HR/F8XD.1-H",28
"OAK202010050",4,0,1,1,"BCX","gurry001","8/L8D",29
"OAK202010050",4,0,1,0,"BX","reddj001","8/F8",30
"OAK202010050",4,0,2,2,"BCBCS","maldm001","K",31
"OAK202010050",4,1,2,1,"BBCX","olsom001","HR/F8XD",32
"OAK202010050",4,1,0,0,"X","davik003","S9/L89D",33
"OAK202010050",4,1,1,0,"BX","grosr001","D9/F9LD.1-3",34
"OAK202010050",4,1,2,2,"CF*BFFBFC","laurr001","K",35
"OAK202010050",4,1,0,1,"CX","murps001","53/G56S-",36
"OAK202010050",4,1,0,2,"CCS","lastt001","K",37
"OAK202010050",5,0,3,2,"FSBBBFX","sprig001","S9/L89",38
"OAK202010050",5,0,0,1,"FX","altuj001","S9/L9+.1-2",39
"OAK202010050",5,0,0,2,".CFC","branm003","K",40
"OAK202010050",5,0,0,1,"CX","brega001","8/F8",41
"OAK202010050",5,0,1,1,"BCX","tuckk001","8/F8XD",42
"OAK202010050",5,1,1,2,"BCFX","semim001","S5/G56-.B-2(E5/TH)",43
"OAK202010050",5,1,2,2,"..CBBSX","pindc001","63/G15-.2-3",44
"OAK202010050",5,1,0,1,"CX","canhm001","9/SF/F9D.3-H(UR)",45
"OAK202010050",5,1,1,1,"CBX","olsom001","7/F5D",46
"OAK202010050",6,0,1,2,"..CFFBS","corrc001","K",47
"OAK202010050",6,0,1,0,"BX","gurry001","8/F8XD",48
"OAK202010050",6,0,0,0,"X","reddj001","E6/G4D.B-1",49
"OAK202010050",6,0,0,0,"X","maldm001","S7/G56+.1-2",50
"OAK202010050",6,0,3,2,"BBBCT>X","sprig001","D7/G5.2-H(UR);1-3",51
"OAK202010050",6,0,2,1,"CBBX","altuj001","S7/L7.3-H(UR);2-H(UR);B-2",52
"OAK202010050",6,0,1,1,".BFX","branm003","S9/G34.2-H(UR)",53
"OAK202010050",6,0,2,2,"TSBBX","brega001","6/L6D+",54
"OAK202010050",6,1,0,2,".SSS","davik003","K",55
"OAK202010050",6,1,2,2,"BFBCT","grosr001","K",56
"OAK202010050",6,1,0,2,"CCX","laurr001","63/G6",57
"OAK202010050",7,0,2,2,"BCBFFX","tuckk001","7/F78S",58
"OAK202010050",7,0,1,1,".BSX","corrc001","HR/F8XD",59
"OAK202010050",7,0,0,1,"CH","gurry001","HP",60
"OAK202010050",7,0,0,1,"FX","reddj001","7/L7D",61
"OAK202010050",7,0,2,2,"SB1FBS","maldm001","K",62
"OAK202010050",7,1,1,2,"SCBX","murps001","9/F9LD",63
"OAK202010050",7,1,3,1,"BBBCX","lastt001","43/G34",64
"OAK202010050",7,1,0,0,"X","semim001","13/G13-",65
"OAK202010050",8,0,2,2,".CTBFBS","sprig001","K",66
"OAK202010050",8,0,0,0,"H","altuj001","HP",67
"OAK202010050",8,0,0,1,"CX","branm003","8/F78XD+",68
"OAK202010050",8,0,0,1,"C>B","brega001","CS2(24)",69
"OAK202010050",8,1,3,2,".SBBCBB","pindc001","W",70
"OAK202010050",8,1,3,2,"BSFBBX","canhm001","9/F9D",71
"OAK202010050",8,1,2,2,"FBFBFFC","olsom001","K",72
"OAK202010050",8,1,2,2,"SSFBBS","davik003","K",73
"OAK202010050",9,0,3,0,".BBBB","brega001","W",74
"OAK202010050",9,0,3,2,"BBBCFX","tuckk001","S9/G34+.1-3",75
"OAK202010050",9,0,0,1,"FX","corrc001","S9/L89D.3-H;1-3",76
"OAK202010050",9,0,1,1,".CBX","gurry001","7/SF/F78XD.3-H;1-2",77
"OAK202010050",9,0,1,2,".F*BSS","diaza003","K",78
"OAK202010050",9,0,0,1,"CX","maldm001","13/G1",79
"OAK202010050",9,1,1,0,"..BX","grosr001","2/P2F/FL",80
"OAK202010050",9,1,1,0,"BX","laurr001","2/P2F/FL",81
"OAK202010050",9,1,0,2,"CSS","murps001","K",82
"OAK202010060",1,0,1,2,"BFCC","sprig001","K",1
"OAK202010060",1,0,3,2,"BBBCCB","altuj001","W",2
"OAK202010060",1,0,2,1,"BBC1X","branm003","56(1)3/GDP/G56",3
"OAK202010060",1,1,2,0,"BBX","semim001","S6/G56",4
"OAK202010060",1,1,3,2,"BBBCF>F>X","lastt001","46(1)3/GDP/G4",5
"OAK202010060",1,1,0,0,"X","pindc001","43/G4",6
"OAK202010060",2,0,1,1,"BCX","brega001","9/F9D",7
"OAK202010060",2,0,1,1,"CBX","tuckk001","7/F7L",8
"OAK202010060",2,0,0,0,"X","corrc001","63/G6D",9
