"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"OAK202010050",0,0,"bassc001",1,39
"OAK202010050",1,0,"mccul002",1,43
"OAK202010050",1,3,"lambj001",5,43
"OAK202010050",0,3,"pindc001",11,46
"OAK202010050",0,0,"petiy001",1,46
"OAK202010050",0,0,"wendj001",1,52
"OAK202010050",1,0,"taylb004",1,54
"OAK202010050",0,0,"diekj001",1,58
"OAK202010050",0,0,"trivl001",1,65
"OAK202010050",1,0,"paree003",1,69
"OAK202010050",0,0,"minom001",1,73
"OAK202010050",0,0,"weemj001",1,76
"OAK202010050",0,8,"reddj001",10,77
"OAK202010050",1,0,"javic001",1,79
"OAK202010060",0,0,"manas001",1,34
"OAK202010060",0,0,"petiy001",1,40
"OAK202010060",0,0,"minom001",1,53
"OAK202010060",1,0,"valdf001",1,56
"OAK202010060",1,9,"piscs001",9,58
"OAK202010060",0,4,"canhm001",7,59
"OAK202010060",0,9,"grosr001",11,59
"OAK202010060",0,0,"sorij001",1,59
"OAK202010060",1,0,"paree003",1,62
"HOU202010070",0,0,"urquj001",1,34
"HOU202010070",1,0,"luzaj001",1,42
"HOU202010070",1,0,"petiy001",1,47
"HOU202010070",0,0,"taylb004",1,49
"HOU202010070",0,7,"piscs001",9,49
"HOU202010070",1,6,"canhm001",7,52
"HOU202010070",1,7,"grosr001",11,52
"HOU202010070",0,0,"jamej002",1,58
"HOU202010070",1,0,"diekj001",1,61
"HOU202010070",0,2,"lastt001",4,69
"HOU202010070",1,2,"orf-n001",12,71
"HOU202010070",1,9,"maldm001",2,75
"HOU202010070",0,9,"reddj001",11,76
"HOU202010070",0,0,"raleb001",1,76
"HOU202010080",1,0,"montf001",1,34
"HOU202010080",0,0,"greiz001",1,39
"HOU202010080",1,0,"wendj001",1,42
"HOU202010080",1,0,"minom001",1,46
"HOU202010080",0,0,"taylb004",1,47
"HOU202010080",1,0,"trivl001",1,50
"HOU202010080",1,0,"sorij001",1,62
"HOU202010080",0,1,"sprig001",8,67
"HOU202010080",0,8,"reddj001",9,67
"HOU202010080",0,0,"javic001",1,70
"HOU202010080",1,0,"diekj001",1,73
"HOU202010080",0,0,"paree003",1,77
