"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"TBA202010050",1,0,3,2,"CSBFBBFFX","lemad001","S8/L8D+",1
"TBA202010050",1,0,2,2,"F*BFF*BB","judga001","WP.1-2",2
"TBA202010050",1,0,3,2,"F*BFF*BB.X","judga001","13/G25.2-3",3
"TBA202010050",1,0,0,0,"X","hicka001","8/SF/F78XD.3-H",4
"TBA202010050",1,0,1,1,"FBX","voitl001","53/G56",5
"TBA202010050",1,1,1,1,"CBX","diazy001","63/G6D",6
"TBA202010050",1,1,2,2,"BCSBT","loweb001","K",7
"TBA202010050",1,1,2,0,"BBX","arozr001","HR/F8XD",8
"TBA202010050",1,1,1,2,"BCSX","choij001","5/P6M",9
"TBA202010050",2,0,3,1,"BBBCX","stanm004","13/G2-",10
"TBA202010050",2,0,3,1,"FBBBX","urshg001","9/F9LF/FL",11
"TBA202010050",2,0,2,2,"BBCFC","torrg001","K",12
"TBA202010050",2,1,0,1,"CX","margm001","53/G5",13
"TBA202010050",2,1,0,1,"TX","wendj002","53/G6",14
"TBA202010050",2,1,3,1,"BBSBX","adamw002","S6/G56+",15
"TBA202010050",2,1,0,0,"X","kierk001","7/F7D",16
"TBA202010050",3,0,1,0,"BX","frazc001","HR/F7D",17
"TBA202010050",3,0,0,0,"X","higak001","63/G6",18
"TBA202010050",3,0,0,1,"CX","lemad001","9/L9L",19
"TBA202010050",3,0,1,1,"CBX","judga001","3/G34",20
"TBA202010050",3,1,2,2,"FBSBF*S","zunim001","K.BX1(23)",21
"TBA202010050",3,1,2,2,"CFBBFX","diazy001","63/G6D",22
"TBA202010050",3,1,3,2,"BFBFBS","loweb001","K",23
"TBA202010050",4,0,0,1,"CX","hicka001","S7/L78",24
"TBA202010050",4,0,2,2,"BFB1F1S","voitl001","K",25
"TBA202010050",4,0,3,2,"B*B1BCCB","stanm004","W.1-2",26
"TBA202010050",4,0,1,1,"C*BX","urshg001","13/G1S-.2-3;1-2",27
"TBA202010050",4,0,3,0,"*BBBB","torrg001","W",28
"TBA202010050",4,0,2,2,"C*BBFT","frazc001","K",29
"TBA202010050",4,1,2,1,"BCBX","arozr001","S9/G4+",30
"TBA202010050",4,1,1,1,"1BCX","choij001","HR/L8XD.1-H",31
"TBA202010050",4,1,0,0,"X","margm001","9/L9",32
"TBA202010050",4,1,1,1,"CBX","wendj002","S9/L9D+",33
"TBA202010050",4,1,2,2,"BF1F*BS","adamw002","K",34
