"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"OAK202009290",0,0,"luzaj001",1,25
"OAK202009290",0,0,"wendj001",1,43
"OAK202009290",0,0,"petiy001",1,51
"OAK202009290",1,0,"gioll001",1,57
"OAK202009290",1,0,"marse001",1,60
"OAK202009290",0,0,"sorij001",1,61
"OAK202009290",1,0,"bumma001",1,64
"OAK202009300",1,0,"keucd001",1,34
"OAK202009300",0,5,"encae001",10,49
"OAK202009300",0,8,"garcl004",7,52
"OAK202009300",1,8,"collz001",11,54
"OAK202009300",1,0,"cordj001",1,54
"OAK202009300",0,0,"bassc001",1,58
"OAK202009300",1,0,"ceasd001",1,63
"OAK202009300",1,5,"pindc001",5,65
"OAK202009300",0,2,"lastt001",4,66
"OAK202009300",0,5,"lambj001",11,66
"OAK202009300",0,0,"hendl001",1,71
"OAK202009300",0,3,"grany001",2,72
"OAK202010010",1,0,"dunnd001",1,9
"OAK202010010",0,0,"fierm001",1,16
"OAK202010010",1,0,"crocg001",1,18
"OAK202010010",0,4,"jimee001",10,21
"OAK202010010",1,3,"lambj001",5,29
"OAK202010010",1,0,"bumma001",1,29
"OAK202010010",0,3,"pindc001",11,32
"OAK202010010",0,0,"petiy001",1,32
"OAK202010010",1,0,"heuec001",1,39
"OAK202010010",1,0,"rodoc001",1,42
"OAK202010010",1,0,"fostm001",1,51
"OAK202010010",0,0,"montf001",1,58
"OAK202010010",0,0,"wendj001",1,65
"OAK202010010",0,0,"trivl001",1,69
"OAK202010010",1,0,"marse001",1,71
"OAK202010010",0,0,"diekj001",1,74
"OAK202010010",0,2,"grany001",2,77
"OAK202010010",1,4,"mccaj001",10,78
"OAK202010010",1,2,"dysoj001",12,78
"OAK202010010",0,0,"sorij001",1,82
