"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"TBA202009290",1,0,2,2,"CFBBS","biggc002","K",1
"TBA202009290",1,0,1,2,"CFBX","bichb001","63/G6M",2
"TBA202009290",1,0,3,1,"BCBBB","gricr001","W",3
"TBA202009290",1,0,1,2,"BSSS","guerv002","K",4
"TBA202009290",1,1,0,0,"X","tsuty001","8/F78XD+",5
"TBA202009290",1,1,2,2,"BFSBX","loweb001","S6/G5-",6
"TBA202009290",1,1,2,2,"B1F11CBFF1X","arozr001","54(1)/FO/G56.B-1",7
"TBA202009290",1,1,0,2,"1CC>X","lowen001","63/G6MS",8
"TBA202009290",2,0,2,1,"BBCX","gurrl001","8/F8XD",9
"TBA202009290",2,0,3,2,"CBBFBS","hernt002","K",10
"TBA202009290",2,0,2,2,"CSBBS","villj001","K",11
"TBA202009290",2,1,1,0,"BX","adamw002","9/F9L",12
"TBA202009290",2,1,0,1,"CX","wendj002","7/F78XD",13
"TBA202009290",2,1,1,1,"BCX","margm001","S8/L8D",14
"TBA202009290",2,1,0,0,"X","kierk001","43/G34",15
"TBA202009290",3,0,0,0,"X","kirka001","8/F8XD",16
"TBA202009290",3,0,2,2,"BCSBX","jansd001","7/L7LD",17
"TBA202009290",3,0,2,2,"BFCBS","biggc002","K",18
"TBA202009290",3,1,0,2,"CSS","zunim001","K",19
"TBA202009290",3,1,0,2,"CSS","tsuty001","K",20
"TBA202009290",3,1,2,2,"FBFBX","loweb001","7/F78D",21
"TBA202009290",4,0,1,2,"FSB*S","bichb001","K.BX1(23)",22
"TBA202009290",4,0,2,2,"SCBBS","gricr001","K",23
"TBA202009290",4,0,0,0,"X","guerv002","63/G6",24
"TBA202009290",4,1,2,1,".BBTX","arozr001","T9/L89XD+",25
"TBA202009290",4,1,1,2,"BCCC","lowen001","K",26
"TBA202009290",4,1,3,2,"*BSBFBB","adamw002","W+WP.3-H(NR)",27
"TBA202009290",4,1,2,2,"1BFB1CC","wendj002","K",28
"TBA202009290",4,1,1,0,"B1>B","margm001","SB2",29
"TBA202009290",4,1,3,2,"B1>B.BCSFFX","margm001","2/P2F/FL",30
"TBA202009290",5,0,1,2,"SFB*S","gurrl001","K.BX1(23)",31
"TBA202009290",5,0,3,2,"BCBBSB","hernt002","W",32
"TBA202009290",5,0,0,0,"X","villj001","54(1)3/GDP/G56",33
"TBA202009290",5,1,3,2,"CBBSBFFX","kierk001","5/P5F/FL",34
"TBA202009290",5,1,3,2,"BFFFBBX","zunim001","53/G5",35
"TBA202009290",5,1,2,2,".CCBBC","renfh001","K",36
"TBA202009290",6,0,2,1,".CBBX","kirka001","S9/G34+",37
"TBA202009290",6,0,3,2,"C*S*BFBBFX","jansd001","9/L89D",38
"TBA202009290",6,0,2,2,"SF*BBC","biggc002","K",39
"TBA202009290",6,0,0,1,".CX","bichb001","46(1)/FO/G4.B-1",40
"TBA202009290",6,1,1,1,"BCX","loweb001","5/P6M",41
"TBA202009290",6,1,2,2,"CSBBFFS","arozr001","K",42
"TBA202009290",6,1,0,2,"CSC","lowen001","K",43
"TBA202009290",7,0,0,2,"CSS","gricr001","K",44
"TBA202009290",7,0,0,0,"H","guerv002","HP",45
"TBA202009290",7,0,3,2,"FFFBBBFX","gurrl001","S7/L78D.1-2",46
"TBA202009290",7,0,3,2,".CT*BBFBX","hernt002","3/P4",47
"TBA202009290",7,0,0,2,".CFX","panij002","6/L6M",48
"TBA202009290",7,1,1,2,"..CBCS","adamw002","K",49
"TBA202009290",7,1,3,2,"BFFBBFB","wendj002","W",50
"TBA202009290",7,1,1,1,"1BF111X","margm001","HR/L7D.1-H",51
"TBA202009290",7,1,0,0,".X","kierk001","4/P4D",52
"TBA202009290",7,1,3,2,"CBSBBC","zunim001","K",53
"TBA202009290",8,0,3,2,"CSFBBBX","kirka001","4/P4D",54
"TBA202009290",8,0,2,2,".SBTBX","tellr001","S8/L8-",55
"TBA202009290",8,0,0,0,"X","biggc002","D9/L9LD+.1-3",56
"TBA202009290",8,0,0,0,"X","bichb001","9/SF/L9L.3-H",57
"TBA202009290",8,0,1,2,"BSSFX","gricr001","6/L56D+",58
"TBA202009290",8,1,2,2,"...BBCFFX","choij001","8/L8D",59
"TBA202009290",8,1,1,2,"SBFFX","loweb001","8/F8XD",60
"TBA202009290",8,1,0,0,"X","arozr001","3/G34S",61
"TBA202009290",9,0,3,2,"...BSFBBFS","guerv002","K",62
"TBA202009290",9,0,1,1,"BSX","gurrl001","D7/L7LD+",63
"TBA202009290",9,0,3,2,"BBBSFC","hernt002","K",64
"TBA202009290",9,0,0,0,"B","panij002","WP.2-3",65
"TBA202009290",9,0,1,0,"B.X","panij002","5/L5-",66
"TBA202009300",1,0,0,2,"CCC","biggc002","K",1
"TBA202009300",1,0,0,0,"X","bichb001","8/F89XD+",2
"TBA202009300",1,0,1,1,"BCX","gurrl001","8/F8XD",3
"TBA202009300",1,1,1,1,"BCX","brosm001","S7/L7LD.BX2(74)",4
"TBA202009300",1,1,1,1,"BFX","arozr001","S9/L89D",5
"TBA202009300",1,1,0,0,"X","loweb001","S9/G34.1-3",6
"TBA202009300",1,1,1,2,"BCFS","diazy001","K",7
"TBA202009300",1,1,0,1,"CX","margm001","S9/G4.3-H;1-2",8
"TBA202009300",1,1,2,2,"BSFBX","renfh001","E6/TH/G56D.2-3;1-2;B-1",9
"TBA202009300",1,1,1,2,"BCSS","adamw002","K",10
"TBA202009300",2,0,3,2,"CBBBFFS","guerv002","K",11
"TBA202009300",2,0,1,2,"FBF*S","gricr001","K.BX1(23)",12
"TBA202009300",2,0,2,2,"SFBBX","hernt002","S9/L89D",13
"TBA202009300",2,0,0,0,"X","shawt001","S9/F9.1-3",14
"TBA202009300",2,0,0,0,"X","panij002","3/G3",15
"TBA202009300",2,1,1,0,"BX","kierk001","S8/L8",16
"TBA202009300",2,1,0,2,"S1SX","zunim001","HR/F7D.1-H",17
"TBA202009300",2,1,2,2,"BCFBFC","brosm001","K",18
"TBA202009300",2,1,0,0,"X","arozr001","D8/F89XD+",19
"TBA202009300",2,1,0,1,"FX","loweb001","4/L34D",20
"TBA202009300",2,1,3,0,"BBBB","diazy001","W",21
"TBA202009300",2,1,1,0,"BX","margm001","E6/G6.2-3;1-2;B-1",22
"TBA202009300",2,1,1,1,"FBX","renfh001","HR/F7LD.3-H(UR);2-H(UR);1-H(UR);B-H(UR)",23
"TBA202009300",2,1,1,2,".FBFX","adamw002","S4/G6M",24
"TBA202009300",2,1,1,0,"*BX","kierk001","7/F7",25
"TBA202009300",3,0,0,0,"X","jansd001","HR/F7D",26
"TBA202009300",3,0,3,2,"SBBBCS","biggc002","K",27
"TBA202009300",3,0,3,1,"BCBBB","bichb001","W",28
"TBA202009300",3,0,0,1,"CX","gurrl001","63/G6.1-2",29
"TBA202009300",3,0,1,2,"SCBX","guerv002","63/G6D",30
"TBA202009300",3,1,2,2,"FSBBFFC","zunim001","K",31
"TBA202009300",3,1,2,1,"CBBX","brosm001","S8/G6M",32
"TBA202009300",3,1,3,2,"*BCBBF>F>X","arozr001","D7/G5.1-H",33
"TBA202009300",3,1,3,2,"BFSBFBX","loweb001","3/G3.2-3",34
"TBA202009300",3,1,0,1,"CX","diazy001","53/G56",35
"TBA202009300",4,0,3,1,"BBBCX","gricr001","S8/G4",36
"TBA202009300",4,0,0,1,"CB","hernt002","WP.1-2",37
"TBA202009300",4,0,2,2,"CB.BCC","hernt002","K",38
"TBA202009300",4,0,0,0,"X","shawt001","7/F7D",39
"TBA202009300",4,0,1,1,"BFX","panij002","3/G3S",40
"TBA202009300",4,1,1,2,".SSBS","margm001","K",41
"TBA202009300",4,1,1,2,"CSBS","renfh001","K",42
"TBA202009300",4,1,1,2,"BSSS","adamw002","K",43
"TBA202009300",5,0,2,0,"BBX","jansd001","HR/F7D",44
"TBA202009300",5,0,0,0,"X","biggc002","8/F8XD",45
"TBA202009300",5,0,0,0,"X","bichb001","63/G6MD+",46
"TBA202009300",5,0,1,2,"SSBFX","gurrl001","8/F89D",47
"TBA202009300",5,1,2,1,"BFBX","kierk001","31/G34",48
"TBA202009300",5,1,2,2,"CBSBS","zunim001","K",49
"TBA202009300",5,1,3,2,".FBSBFBS","choij001","K",50
"TBA202009300",6,0,0,1,".CX","guerv002","S9/G34",51
"TBA202009300",6,0,0,1,"CB","gricr001","WP.1-2",52
"TBA202009300",6,0,1,2,"CB.F*S","gricr001","K.BX1(23)",53
"TBA202009300",6,0,3,2,"SF*BBFBC","hernt002","K",54
"TBA202009300",6,0,3,2,"F*BF*B*BS","shawt001","K",55
"TBA202009300",6,1,3,2,".CCBFFBB*B","arozr001","W",56
