"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"ANA202007280","20200728",0,640,"T","N","SEA","ANA","ANA01","millb901","mosce901","eddid901",0,"",0,1,79,0,8,0,1,1,195,"buchr001","shefj001",""
"ANA202007290","20200729",0,710,"T","N","SEA","ANA","ANA01","mosce901","eddid901","drakr901",0,"",0,1,77,0,8,0,1,1,227,"shawb001","barnj002","altad001"
"ANA202007300","20200730",0,640,"T","N","SEA","ANA","ANA01","eddid901","drakr901","millb901",0,"",0,1,86,2,7,0,1,1,179,"gonzm005","bundd001",""
"ANA202007310","20200731",0,610,"T","N","HOU","ANA","ANA01","blasc901","morag901","marqa901",0,"",0,1,92,8,8,0,1,1,261,"bielb001","andrm001","scrua001"
"ANA202008010","20200801",0,407,"T","D","HOU","ANA","ANA01","morag901","marqa901","guccc901",0,"",0,1,84,2,11,0,1,1,238,"buchr001","rodrn002",""
"ANA202008020","20200802",0,110,"T","D","HOU","ANA","ANA01","marqa901","guccc901","blasc901",0,"",0,1,82,2,10,0,1,1,277,"taylb004","barnj002",""
"ANA202008100","20200810",0,640,"T","N","OAK","ANA","ANA01","rippm901","hudsm901","knigb901",0,"",0,1,79,8,9,0,1,1,221,"penaf002","petiy001","buttt001"
"ANA202008110","20200811",0,640,"T","N","OAK","ANA","ANA01","hudsm901","knigb901","muchm901",0,"",0,1,83,2,7,0,1,1,176,"bundd001","fierm001",""
"ANA202008120","20200812",0,110,"T","D","OAK","ANA","ANA01","knigb901","muchm901","rippm901",0,"",0,1,86,3,9,0,1,1,200,"bassc001","canng001",""
"ANA202008140","20200814",0,640,"T","N","LAN","ANA","ANA01","libkj901","reynj901","barrl901",0,"",0,1,93,2,8,0,1,1,178,"kersc001","sandp002","jansk001"
"ANA202008150","20200815",0,640,"T","N","LAN","ANA","ANA01","reynj901","barrl901","hamaa901",0,"",0,1,88,2,8,0,1,1,197,"mcgej001","middk001","jansk001"
"ANA202008160","20200816",0,110,"T","D","LAN","ANA","ANA01","barrl901","hamaa901","libkj901",0,"",0,1,93,8,7,0,1,1,190,"alexs001","tehej001",""
"ANA202008170","20200817",0,640,"T","N","SFN","ANA","ANA01","hamaa901","libkj901","reynj901",0,"",0,1,90,0,5,0,1,2,192,"buttt001","gottt001",""
"ANA202008180","20200818",0,110,"T","D","SFN","ANA","ANA01","libkj901","reynj901","barrl901",0,"",0,1,99,2,9,0,1,1,186,"garcj006","bundd001",""
"ANA202008280","20200828",0,640,"T","N","SEA","ANA","ANA01","blasc901","marqa901","guccc901",0,"",0,1,82,0,10,0,1,1,170,"heana001","margn001","buttt001"
"ANA202008290","20200829",0,640,"T","N","SEA","ANA","ANA01","marqa901","guccc901","moorm901",0,"",0,1,75,0,9,0,1,1,206,"bundd001","shefj001",""
"ANA202008300","20200830",0,110,"T","D","SEA","ANA","ANA01","guccc901","moorm901","blasc901",0,"",0,1,81,3,12,0,1,1,207,"willt003","quijj001","ramiy002"
"ANA202008310","20200831",0,110,"T","D","SEA","ANA","ANA01","moorm901","blasc901","marqa901",0,"",0,1,79,8,9,0,1,1,150,"gonzm005","andrm001",""
"ANA202009020","20200902",0,640,"T","N","SDN","ANA","ANA01","johna901","barrt901","rippm901",0,"",0,1,79,8,7,0,1,1,193,"hillt002","buttt001",""
"ANA202009030","20200903",0,410,"T","D","SDN","ANA","ANA01","barrt901","rippm901","mahrn901",0,"",0,1,84,4,7,0,1,1,160,"heana001","clevm001","penaf002"
"ANA202009040","20200904",0,610,"T","N","HOU","ANA","ANA01","hudsm901","knigb901","muchm901",0,"",0,1,84,2,6,0,1,1,267,"andrm001","raleb001",""
"ANA202009051","20200905",1,407,"T","D","HOU","ANA","ANA01","knigb901","cejan901","woodt901",0,"",0,1,109,8,9,0,1,1,181,"penaf002","paree003",""
"ANA202009060","20200906",0,110,"T","D","HOU","ANA","ANA01","woodt901","hudsm901","knigb901",0,"",0,1,106,4,9,0,1,1,208,"mayem001","valdf001",""
"ANA202009150","20200915",0,640,"T","N","ARI","ANA","ANA01","barrl901","reynj901","mccrk901",0,"",0,1,82,4,7,0,1,1,186,"mellk001","andrm001","crics001"
"ANA202009160","20200916",0,640,"T","N","ARI","ANA","ANA01","reynj901","mccrk901","libkj901",0,"",0,1,87,0,5,0,1,1,190,"clart003","bundd001","crics001"
"ANA202009170","20200917",0,110,"T","D","ARI","ANA","ANA01","mccrk901","libkj901","barrl901",0,"",0,1,93,2,5,0,1,1,187,"canng001","youna002",""
"ANA202009180","20200918",0,610,"T","N","TEX","ANA","ANA01","libkj901","barrl901","reynj901",0,"",0,1,91,8,7,0,1,1,175,"barrj003","benjw001",""
"ANA202009190","20200919",0,610,"T","N","TEX","ANA","ANA01","barrl901","reynj901","mccrk901",0,"",0,1,79,3,6,0,1,1,155,"mayem001","martb002",""
"ANA202009200","20200920",0,110,"T","D","TEX","ANA","ANA01","reynj901","mccrk901","libkj901",0,"",0,1,82,2,8,0,1,1,180,"codyk001","tehej001",""
"ANA202009210","20200921",0,110,"T","D","TEX","ANA","ANA01","mccrk901","libkj901","barrl901",0,"",0,1,81,7,7,0,1,1,180,"bundd001","gibsk002","mayem001"
