"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"ANA202007280",1,0,"shefj001",1,32
"ANA202007280",0,0,"sandp002",1,39
"ANA202007280",0,0,"ramin002",1,50
"ANA202007280",1,0,"cortn001",1,53
"ANA202007280",0,0,"buchr001",1,61
"ANA202007280",0,0,"mayem001",1,69
"ANA202007280",1,4,"seagk001",5,72
"ANA202007280",1,7,"moord002",7,72
"ANA202007280",1,6,"pujoa001",3,77
"ANA202007280",0,0,"barnj002",1,78
"ANA202007280",0,7,"lastt001",4,78
"ANA202007280",0,6,"walsj001",12,78
"ANA202007280",0,4,"uptoj001",7,78
"ANA202007280",0,3,"renda001",5,78
"ANA202007280",0,9,"odomj001",2,82
"ANA202007290",1,0,"dunnj002",1,30
"ANA202007290",0,0,"heana001",1,42
"ANA202007290",0,0,"mayem001",1,48
"ANA202007290",1,0,"margn001",1,49
"ANA202007290",0,0,"milnh001",1,56
"ANA202007290",0,9,"odomj001",2,56
"ANA202007290",0,0,"barnj002",1,59
"ANA202007290",1,5,"lopet001",9,62
"ANA202007290",1,7,"moord002",7,62
"ANA202007290",1,8,"gordd002",4,62
"ANA202007290",1,9,"longs001",11,62
"ANA202007290",1,0,"shawb001",1,62
"ANA202007290",0,0,"buttt001",1,70
"ANA202007290",1,0,"willt003",1,74
"ANA202007290",1,7,"walsj001",3,75
"ANA202007290",1,8,"castj006",2,76
"ANA202007290",0,7,"wardt002",11,78
"ANA202007290",0,8,"stasm001",11,78
"ANA202007290",0,0,"buchr001",1,78
"ANA202007290",1,0,"misia001",1,85
"ANA202007300",0,0,"bundd001",1,46
"ANA202007300",1,0,"gonzm005",1,53
"ANA202007300",0,0,"penaf002",1,58
"ANA202007300",0,5,"marmj001",3,59
"ANA202007300",1,5,"white005",11,60
"ANA202007300",1,0,"edwac001",1,60
"ANA202007300",0,0,"milnh001",1,63
"ANA202007300",0,7,"voged001",10,65
"ANA202007300",0,0,"roblh001",1,68
"ANA202007300",1,0,"magim001",1,74
"ANA202007310",0,0,"andrm001",1,17
"ANA202007310",0,0,"bedrc001",1,36
"ANA202007310",0,0,"middk001",1,48
"ANA202007310",1,0,"mccul002",1,50
"ANA202007310",1,9,"hermm001",8,54
"ANA202007310",0,1,"fletd002",6,55
"ANA202007310",0,2,"goodb001",9,55
"ANA202007310",0,6,"lastt001",3,55
"ANA202007310",0,7,"rengl001",4,55
"ANA202007310",0,9,"walsj001",11,55
"ANA202007310",0,0,"buchr001",1,55
"ANA202007310",0,0,"ramin002",1,62
"ANA202007310",0,0,"mayem001",1,66
"ANA202007310",0,7,"reddj001",9,66
"ANA202007310",0,0,"milnh001",1,69
"ANA202007310",1,1,"sprig001",8,70
"ANA202007310",1,7,"stram002",11,70
"ANA202007310",1,0,"bielb001",1,70
"ANA202007310",1,0,"abreb002",1,73
"ANA202007310",0,0,"kellk003",1,89
"ANA202007310",1,0,"paree003",1,92
"ANA202008010",1,0,"greiz001",1,46
"ANA202008010",0,0,"canng001",1,48
"ANA202008010",0,9,"maldm001",2,49
"ANA202008010",1,9,"branm003",11,52
"ANA202008010",0,4,"uptoj001",7,56
"ANA202008010",1,0,"taylb004",1,59
"ANA202008010",1,0,"presr001",1,64
"ANA202008010",0,0,"penaf002",1,65
"ANA202008010",0,9,"stubg001",2,69
"ANA202008010",1,9,"stram002",12,73
"ANA202008010",1,0,"bailb002",1,73
"ANA202008010",1,0,"osunr001",1,75
"ANA202008010",1,7,"castj006",2,77
"ANA202008010",0,7,"walsj001",12,79
"ANA202008010",0,0,"roblh001",1,79
"ANA202008010",0,0,"ramin002",1,82
"ANA202008010",1,0,"sneec001",1,84
"ANA202008020",0,0,"ohtas001",1,17
"ANA202008020",0,0,"rodrj006",1,36
"ANA202008020",1,0,"jamej002",1,39
"ANA202008020",0,0,"bedrc001",1,45
"ANA202008020",0,0,"milnh001",1,51
"ANA202008020",0,0,"middk001",1,63
"ANA202008020",0,8,"mayfj001",6,68
"ANA202008020",0,9,"garnd001",2,69
"ANA202008020",0,0,"mayem001",1,70
"ANA202008020",1,8,"corrc001",11,73
"ANA202008020",1,9,"toroa001",11,73
"ANA202008020",0,4,"uptoj001",7,76
"ANA202008020",0,4,"branm003",10,77
"ANA202008020",0,0,"buttt001",1,85
"ANA202008020",1,0,"valdf001",1,91
"ANA202008020",1,6,"pujoa001",10,92
"ANA202008020",1,0,"scrua001",1,94
"ANA202008100",0,0,"tehej001",1,28
"ANA202008100",1,0,"manas001",1,36
"ANA202008100",1,0,"wendj001",1,50
"ANA202008100",0,0,"andrm001",1,54
"ANA202008100",0,0,"ramin002",1,63
"ANA202008100",1,0,"mcfat001",1,64
"ANA202008100",0,0,"middk001",1,76
"ANA202008100",1,0,"trivl001",1,79
"ANA202008100",0,2,"lastt001",4,83
"ANA202008100",0,7,"uptoj001",7,83
"ANA202008100",0,0,"penaf002",1,83
"ANA202008100",0,5,"canhm001",10,85
"ANA202008110",1,0,"fierm001",1,37
"ANA202008110",0,2,"lastt001",4,57
"ANA202008110",0,8,"uptoj001",7,65
"ANA202008110",0,0,"bundd001",1,65
"ANA202008110",1,1,"semim001",6,69
"ANA202008110",1,3,"olsom001",3,69
"ANA202008110",1,4,"chapm001",5,69
"ANA202008110",1,5,"canhm001",9,69
"ANA202008110",1,0,"mengd001",1,69
"ANA202008110",0,0,"mayem001",1,73
"ANA202008120",0,0,"canng001",1,34
"ANA202008120",0,0,"barnj002",1,42
"ANA202008120",0,8,"kempt001",4,44
"ANA202008120",0,0,"buchr001",1,46
"ANA202008120",1,8,"pindc001",11,48
"ANA202008120",1,0,"bassc001",1,51
"ANA202008120",0,0,"ramin002",1,53
