"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"ARI202007300","20200730",0,640,"T","N","LAN","ARI","PHO01","rippm901","wolcq901","barrt901",0,"",0,1,77,0,0,0,1,5,199,"strir001","ray-r002","baezp001"
"ARI202007310","20200731",0,640,"T","N","LAN","ARI","PHO01","wolcq901","barrt901","johna901",0,"",0,1,77,0,0,0,1,5,195,"rondh001","treib001","brada001"
"ARI202008010","20200801",0,510,"T","N","LAN","ARI","PHO01","barrt901","johna901","rippm901",0,"",0,1,77,0,0,0,1,5,169,"uriaj001","weavl001",""
"ARI202008020","20200802",0,110,"T","D","LAN","ARI","PHO01","johna901","rippm901","wolcq901",0,"",0,1,77,0,0,0,1,5,176,"kersc001","kellm002","jansk001"
"ARI202008040","20200804",0,610,"T","N","HOU","ARI","PHO01","wolcq901","mahrn901","barrt901",0,"",0,1,77,0,0,0,1,5,189,"javic001","bumgm001",""
"ARI202008050","20200805",0,610,"T","N","HOU","ARI","PHO01","mahrn901","barrt901","johna901",0,"",0,1,77,0,0,0,1,5,194,"ray-r002","mccul002",""
"ARI202008060","20200806",0,407,"T","D","HOU","ARI","PHO01","barrt901","johna901","wolcq901",0,"",0,1,77,0,0,0,1,5,195,"guerj003","presr001",""
"ARI202008140","20200814",0,640,"T","N","SDN","ARI","PHO01","blasc901","marqa901","guccc901",0,"",0,1,113,3,13,0,1,1,183,"kellm002","lamed001",""
"ARI202008150","20200815",0,510,"T","N","SDN","ARI","PHO01","marqa901","guccc901","cejan901",0,"",0,1,77,0,0,0,1,5,203,"crics001","johnp001","brada001"
"ARI202008160","20200816",0,110,"T","D","SDN","ARI","PHO01","guccc901","cejan901","blasc901",0,"",0,1,79,0,0,0,1,5,193,"clart003","pagae001","brada001"
