"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"ARI202007300",1,0,3,1,"CBBBB","bettm001","W",1
"ARI202007300",1,0,1,0,"BX","muncm001","S39/G34.1-3",2
"ARI202007300",1,0,1,0,"BX","turnj001","9/SF/L9LD.3-H",3
"ARI202007300",1,0,1,0,"1BX","bellc002","8/F8",4
"ARI202007300",1,0,1,1,"BCX","polla001","HR/F7D.1-H",5
"ARI202007300",1,0,3,2,"BBSBCC","taylc001","K",6
"ARI202007300",1,1,1,1,"CBX","martk001","S9/L89",7
"ARI202007300",1,1,0,0,"X","calhk001","8/F89XD",8
"ARI202007300",1,1,3,2,"CSBFFFFBFFBFF>X","marts002","8/F89",9
"ARI202007300",1,1,1,0,"BX","escoe001","6/L4MD",10
"ARI202007300",2,0,1,1,"SBX","seagc001","HR/L9D",11
"ARI202007300",2,0,2,2,"CBSBFS","herne001","K",12
"ARI202007300",2,0,3,0,"BBBB","smitw003","W",13
"ARI202007300",2,0,1,2,".CBFB","bettm001","WP.1-2",14
"ARI202007300",2,0,3,2,".CBFB.F*BX","bettm001","S9/L89+.2-3;B-2",15
"ARI202007300",2,0,1,0,"BX","muncm001","2/P2F/FL",16
"ARI202007300",2,0,3,2,"CB*BBCB","turnj001","W",17
"ARI202007300",2,0,0,1,".*SX","bellc002","43/G34D+",18
"ARI202007300",2,1,1,1,"BCX","walkc002","7/F7D",19
"ARI202007300",2,1,3,1,"BCBBB","perad001","W",20
"ARI202007300",2,1,2,1,"BCBX","kellc002","6/P6D",21
"ARI202007300",2,1,1,2,"CCBX","lambj001","8/L8XD",22
"ARI202007300",3,0,1,1,"BCX","polla001","53/G5+",23
"ARI202007300",3,0,3,1,"BBSBB","taylc001","W",24
"ARI202007300",3,0,2,2,"BBFS11X","seagc001","13/G1S-.1-2",25
"ARI202007300",3,0,0,0,"X","herne001","9/F9S",26
"ARI202007300",3,1,1,1,"BCX","ahmen001","43/G6MS",27
"ARI202007300",3,1,1,0,"BX","martk001","HR/L7D",28
"ARI202007300",3,1,2,2,"BCCBX","calhk001","9/L9",29
"ARI202007300",3,1,3,0,"BBBB","marts002","W",30
"ARI202007300",3,1,0,2,"CSS","escoe001","K",31
"ARI202007300",4,0,3,2,"SBFBBC","smitw003","K",32
"ARI202007300",4,0,2,2,"BBCFFC","bettm001","K",33
"ARI202007300",4,0,3,1,"BBBCB","muncm001","W",34
"ARI202007300",4,0,3,0,"BBBB","turnj001","W.1-2",35
"ARI202007300",4,0,0,2,"STFX","bellc002","63/G4S",36
"ARI202007300",4,1,1,2,"FBCS","walkc002","K",37
"ARI202007300",4,1,1,1,"CBX","perad001","43/G34D",38
